,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,15,,1,1,,2,,4,1,1,2,,,,,,,1,,1,,,,,,
1981,11,3,1,3,1,2,,,,5,,,1,,,1,2,,,,1,,,,,
1982,14,6,,4,1,1,1,4,2,4,,,2,,1,2,4,,,1,,,,1,,
1983,14,3,1,7,3,3,2,2,1,3,,,,,,3,,1,1,,,,,,,
1984,17,5,2,7,,2,,5,,4,,1,,,1,2,1,2,3,,1,,,,,
1985,23,4,2,10,3,,,2,2,5,,5,1,1,2,,,1,1,1,1,,,,,
1986,37,12,6,11,1,1,1,6,3,7,11,,4,3,1,,3,8,3,1,1,,2,,,
1987,30,10,1,14,,3,,6,1,9,6,2,1,1,,,1,2,2,2,,,,1,,
1988,18,1,5,10,4,6,2,5,9,9,,1,2,,,1,4,3,1,,,1,,,1,
1989,39,7,,11,4,6,1,8,6,14,,4,,1,5,3,4,5,2,,,1,,1,3,
1990,35,13,6,11,1,9,1,3,4,12,2,2,1,3,,3,4,2,2,1,1,,1,,1,
1991,44,18,3,16,4,4,1,10,10,13,,1,4,,,3,4,1,1,,4,1,,,,
1992,46,4,4,8,,9,,5,12,17,1,4,2,1,,5,11,2,,1,1,2,1,1,3,
1993,55,4,,19,4,8,,5,8,13,1,2,1,2,2,1,16,1,1,1,2,,1,,,
1994,59,9,3,14,6,9,1,8,15,19,1,2,5,6,2,2,18,1,,,,1,1,,1,2
1995,45,13,4,11,3,5,,12,18,22,2,1,5,3,4,2,8,,,1,,,,,1,
1996,62,14,3,14,3,5,1,3,6,45,,3,5,2,,1,7,3,,1,1,2,,,,
1997,57,13,3,24,6,1,1,8,5,31,,1,4,4,,3,13,2,1,1,4,,,,5,1
1998,85,15,1,16,2,8,3,8,6,28,2,5,8,2,3,6,9,1,,1,2,,3,,,
1999,78,11,3,33,8,7,1,9,9,31,3,6,6,1,2,1,6,4,1,1,2,1,2,,1,
2000,136,9,5,20,4,17,1,8,7,51,2,1,6,1,2,2,8,4,2,1,4,2,2,1,,3
2001,197,13,5,23,10,23,4,7,3,50,5,3,10,6,4,6,8,9,1,3,4,5,9,3,1,2
2002,151,19,2,45,7,8,9,13,8,53,3,,11,3,3,5,5,4,2,4,4,1,6,,,1
2003,168,28,4,57,8,19,9,13,7,45,4,6,19,6,5,5,6,4,,4,3,2,9,,,
2004,207,16,6,41,5,17,30,17,18,53,6,2,14,8,1,6,9,3,2,4,3,7,4,1,4,1
2005,209,21,8,79,13,20,16,12,10,68,3,10,19,10,6,8,9,5,3,1,3,2,6,2,5,
2006,233,31,9,92,17,21,39,13,16,56,4,15,19,16,3,5,8,6,4,3,1,6,5,2,,1
2007,245,38,7,144,17,32,50,18,27,60,6,17,16,13,4,3,11,9,6,17,1,5,9,5,5,1
2008,303,44,12,156,17,33,92,32,18,71,3,22,24,32,9,10,10,17,4,13,7,15,9,2,5,1
2009,385,57,4,241,31,29,93,25,23,70,8,26,19,35,8,14,13,15,6,12,5,10,3,5,4,1
2010,457,99,18,279,47,56,122,41,30,81,9,33,29,48,11,23,14,14,15,18,6,20,16,4,11,3
2011,535,126,20,341,56,74,187,60,37,101,21,40,33,45,9,43,14,12,29,26,8,17,5,8,27,4
2012,675,172,27,488,94,150,290,56,51,86,17,56,43,47,15,29,34,7,32,36,8,25,10,15,33,1
2013,790,165,32,560,91,159,345,57,73,101,36,82,50,64,15,52,37,30,24,24,13,35,7,15,21,
2014,986,224,36,833,132,181,417,76,121,104,63,105,58,79,32,55,41,40,56,30,17,46,6,17,22,2
2015,1050,255,48,905,184,218,418,96,186,109,55,117,68,122,39,58,57,44,71,24,10,53,8,11,46,4
2016,1272,396,84,1003,253,248,473,93,217,155,72,148,79,140,35,60,53,65,91,36,15,54,18,22,34,2
2017,1355,344,60,913,177,212,429,95,200,145,68,127,88,125,32,63,55,48,99,41,17,53,27,19,37,5
2018,1488,378,65,970,257,251,463,122,180,136,77,161,95,142,37,58,57,42,101,30,23,70,30,16,35,2
2019,1665,424,80,1073,263,312,528,111,228,183,70,101,84,168,35,70,55,59,120,36,23,76,44,15,39,8
2020,2448,476,95,1274,340,349,633,200,333,211,72,103,120,196,54,99,70,90,145,99,30,77,29,32,42,11
2021,2685,498,88,1303,362,387,630,260,285,189,62,87,116,215,66,107,57,86,159,96,33,84,51,27,23,13
2022,2601,574,147,1203,502,430,610,234,228,209,73,66,136,252,48,107,52,90,167,62,28,102,86,20,39,8
2023,2555,718,177,1317,506,435,693,227,244,255,78,68,144,291,42,126,56,100,181,52,35,87,79,27,25,12
2024,2518,523,157,1071,297,387,528,242,177,236,57,40,123,171,36,120,62,102,157,46,37,60,70,35,24,10
