,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,2,,,,,,,,,,,,,,,,,,,,,,,,
1981,,1,,,,,,,,,2,,,,1,,,,,,,,,,,
1982,,2,,,2,,,,,1,1,,,,4,,,,,,,,,,,
1983,,,1,,,,1,,,,,,,,,,,,,,,,,,,
1984,,6,,,,1,,,,,1,,,,1,,,,,,,,,,,
1985,,2,,,,1,,,,3,5,,,,,,,,,,,,,,,
1986,1,6,1,,,1,,1,,,6,,,,,,,,,,,,,,,
1987,1,2,,,1,,,1,,,,,,,,,,1,,,,,,,,
1988,5,2,,,2,,,,,,3,,,,2,,,2,,,,,,,,
1989,2,4,1,1,,,,1,,,3,,,,1,,,1,,,,,,,,
1990,3,12,1,,,2,,,,1,3,,,,1,,,,,,,,,,,
1991,1,7,,,1,1,1,,,,4,,,,,,2,,,,,,,,,
1992,2,20,3,,2,5,2,1,,,11,,1,,2,,,,,,,,,,,
1993,3,22,2,,1,1,,,,,16,,,,3,,3,,,,,,,,,
1994,2,18,6,,,5,,2,,1,17,,,1,1,,3,1,,1,,,,,,
1995,2,15,4,1,2,5,2,1,,2,13,,,,2,,2,,,1,,,,,1,
1996,10,12,5,2,3,5,4,1,,1,17,,2,,7,1,9,,,,1,,,,,
1997,4,14,7,1,5,3,1,1,1,1,10,2,,1,7,,5,,,1,,,,,,
1998,10,29,11,4,5,4,6,1,,,20,,2,3,10,,3,1,,1,,1,,,,
1999,5,33,6,2,6,5,8,2,,,14,,3,,2,2,2,1,,1,,,,,,
2000,6,27,6,5,2,3,8,3,1,1,18,,3,3,10,,2,,,2,,,,,,
2001,3,23,12,5,3,1,6,1,,2,15,,4,,7,,1,,,3,,,,,,1
2002,3,41,10,2,8,3,17,,,,31,,6,2,8,,2,,,,,1,,,,
2003,7,34,12,8,6,3,18,3,,2,15,1,11,,12,3,2,1,,,,2,,1,,
2004,22,47,20,9,11,5,6,2,,4,21,1,5,,14,4,1,2,,,,,,,1,
2005,6,67,27,8,11,7,9,,,2,33,,5,1,18,2,,,,5,,2,,,,
2006,29,52,30,13,12,8,10,2,2,2,30,6,9,4,11,,,1,,4,,1,,,,
2007,23,73,35,4,15,15,17,1,,3,41,2,12,1,17,2,,1,,2,,1,,,,
2008,29,112,50,7,29,19,13,6,,1,79,3,12,2,31,2,,,2,3,,5,,,,
2009,35,98,42,13,28,19,17,5,1,4,75,5,8,1,39,1,1,4,,2,,1,,,,
2010,25,140,50,11,37,17,9,7,1,7,60,1,20,3,38,2,,1,1,2,1,1,,,,
2011,39,179,49,8,49,21,5,3,1,3,104,4,15,6,36,1,1,4,,,2,4,,,1,
2012,61,154,77,9,36,20,16,4,2,15,79,8,7,11,25,,1,6,,1,1,2,,,,
2013,68,117,80,11,49,17,21,7,,14,57,3,6,11,30,4,1,5,1,,2,,,1,,
2014,47,107,70,17,40,22,17,9,1,11,52,2,9,3,43,,1,9,,,,5,,1,1,
2015,66,96,73,13,60,26,14,5,1,8,44,4,12,1,49,3,,6,,2,2,,1,1,1,1
2016,75,83,93,18,79,34,18,11,1,19,38,6,7,4,57,1,1,7,,2,5,3,1,1,,
2017,95,88,93,26,67,46,9,3,,12,33,5,16,7,57,4,1,11,,,3,,,,,
2018,85,102,66,14,93,36,16,8,,11,33,,12,3,67,4,,6,6,,4,1,,2,,1
2019,93,101,94,8,112,34,17,9,1,11,35,1,9,6,54,,,9,3,,2,4,,,,
2020,91,72,83,14,101,49,22,9,1,14,19,8,17,4,62,2,3,13,6,1,1,1,,4,,
2021,101,110,97,16,144,37,20,12,1,14,37,4,14,5,75,5,2,17,4,6,1,,1,1,,
2022,129,118,100,24,141,46,41,13,4,21,25,9,4,5,51,4,2,9,7,3,,1,,1,,
2023,118,160,102,23,142,58,24,12,3,28,42,4,13,10,72,5,2,11,5,3,3,1,,1,,
2024,88,174,71,18,121,34,14,26,1,14,27,6,5,2,59,9,2,8,4,3,4,2,,,,
