,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,2,,,,,,,,,,,,1,,,,,,1,,,,,,,
1981,2,,,,,1,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,1,,,,,,,,
1983,2,,1,,,1,,1,,1,,,,,,,,,,,,,,,,
1984,1,,1,,,,,,,,,,,,,,,,,,,,,,,
1985,7,,1,,,2,,,,,,,,,,,,3,,,,,,,,
1986,2,,5,,,3,,,,,,,,,,,3,3,1,,,,,,,1
1987,6,,1,,,4,,,,,,,1,,,,1,2,,,,,,1,,
1988,8,1,2,,1,4,,,1,,,,,,,,,2,,,1,,,,,
1989,5,1,2,1,1,3,1,,1,,1,,,,,,,3,,,,,,1,,
1990,7,1,3,,,1,,,,,,,,,,1,,1,,,,,,,,
1991,6,2,2,,,,,,,1,,,,1,,,,2,1,,,,,,,
1992,10,,1,1,,,,,,,,,,,,,,5,,,,1,,,,
1993,15,2,2,,,,,,,,,,1,,,,,4,,1,,,,,,
1994,13,,3,2,1,1,2,,,,,,,,,,,,,,,,,,,
1995,5,1,5,1,,,,,,1,,,,,,,,4,,,,,,,,
1996,7,2,5,,2,,,,,1,,,,,,,,,,,,,,,,
1997,4,1,5,,,4,,,,1,,,,,,,,1,,,,,,,,
1998,9,,2,2,1,,,1,,1,,,,,,,,4,,,1,,,,,
1999,4,3,1,,1,1,,,,,,,,,,,,3,,,,,,,1,
2000,2,,2,,,2,1,1,,,1,,,,,,,1,,1,,,,,,
2001,5,1,1,1,1,,,1,,,,1,,,,,,,,,,,,,,
2002,4,2,1,1,,1,,1,,1,,1,,,,,1,,,,1,,,,,
2003,5,1,2,3,,,,3,,2,1,3,,,,,,1,,,,,,,,
2004,12,6,2,1,,1,,1,,,,,,2,1,1,,3,,,,,,,,
2005,8,2,6,3,1,1,1,2,,,,,2,1,,,,,,1,,,,1,,
2006,15,7,3,8,3,1,4,1,2,2,2,1,2,,,,2,2,,,1,,,,,
2007,27,7,8,4,2,,6,1,,1,,1,2,,,1,1,2,,1,1,,,1,,
2008,30,17,7,1,6,1,4,,,3,,,4,4,,1,,4,,,,,,1,,1
2009,31,13,7,4,12,3,5,10,2,3,,2,1,3,,1,1,7,,1,1,,,2,,1
2010,46,9,5,8,8,3,7,7,1,,,,4,4,2,,,8,1,1,2,1,,1,1,
2011,58,17,13,10,12,5,6,8,3,6,4,1,1,6,3,,,8,,3,3,1,,1,1,
2012,94,28,42,8,25,7,10,10,4,13,7,3,8,7,1,,3,9,,3,2,,,,,
2013,108,24,42,14,20,13,9,7,1,14,2,6,4,6,1,,4,6,,2,3,2,,1,,1
2014,150,50,47,20,22,11,12,11,2,19,1,5,8,5,4,2,5,17,2,2,9,2,2,1,,3
2015,187,55,42,15,32,20,9,20,2,32,,5,11,8,2,1,5,13,1,3,14,2,4,4,,2
2016,187,52,45,11,27,15,15,13,2,28,3,2,14,13,4,2,1,5,,5,12,3,,,,2
2017,193,66,71,18,35,15,12,15,4,21,11,8,15,18,3,1,3,15,1,4,19,3,1,,,2
2018,225,69,79,41,39,29,31,22,6,32,9,10,19,15,7,3,5,13,3,2,26,2,1,,,5
2019,273,93,81,34,62,22,23,20,4,38,5,19,19,35,8,1,4,21,3,2,26,2,4,,,1
2020,395,122,123,73,101,40,36,49,7,59,14,12,61,39,11,4,6,18,7,16,25,7,8,4,1,2
2021,429,178,138,83,150,43,50,55,7,61,8,20,44,54,11,6,8,19,14,36,20,12,6,2,,5
2022,405,217,111,101,140,45,53,62,9,61,8,18,51,50,13,6,7,38,13,31,32,10,9,8,,4
2023,505,219,117,99,148,73,85,56,8,82,4,26,70,58,11,6,9,29,10,28,37,18,7,4,1,7
2024,589,253,104,79,135,73,77,60,7,95,28,10,57,77,17,10,7,40,9,23,47,19,14,4,,1
