,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,1,,,,,,,,,,,,,,,1,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,1,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,1,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,1,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,1,,,,,,,,,,,,,,,,,,,,,
1987,,,,,1,,,,,,,,,,,,,,,,,,,,,
1988,,,,,1,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,2,,,,,,,,,,,,,,,,,,,,,,,,
1991,4,1,,,,,,,,1,,,,4,,,,1,,,1,,,,,
1992,,,,,1,,,,,,,,,1,,,,1,,,,,,,,
1993,,,1,,3,,,,,,,,,1,,,,,,,,,,,,
1994,1,1,,,1,,,,,,,,,,1,,,,,,,,,,,
1995,1,,,,3,,,,,,,,,,2,,,,,,,,,,,
1996,,1,,1,2,,,,,,,,,,1,,,,,,,,,,,
1997,,,,,4,2,,,,,,,,,,,,,,,,,,,,
1998,1,,1,1,1,,,,,,,,1,,1,,,1,,,,,,,,
1999,2,1,,,,,,,,,,,,,,,,2,,,,,,,,
2000,4,,,,7,,,,,1,,,,,,,,1,,,,,,,,
2001,,,,,,,,,,,,,1,,,,,,,,,,,,,
2002,4,1,,,3,2,,,,,,,,1,,,,,,,,,,,,
2003,,,1,,8,1,,,,,,,,,,,,,,,,,,,,
2004,4,,,,7,,,,,,,,1,,2,,,,,,,,,,,
2005,3,,1,,1,,,,,,,,,,2,,,,,,,,,,,
2006,5,,1,,13,,,,,1,,,,,,,,,,,2,,,1,,
2007,7,,3,,13,1,,,,,,,,,,,,1,,,,1,,,,
2008,13,,2,,10,1,,,,,,,,,,,,,,,3,,,,,
2009,6,,5,,11,,,,,1,1,,1,,,,,,,,,,,,,
2010,5,1,5,,14,1,,1,,,,,1,1,,,,,,,1,,,,,
2011,9,3,5,,14,1,,2,,,,,1,1,,,,2,,,1,,,,,
2012,14,2,2,,18,1,,3,,1,,,,2,,,,,,,2,,,,,
2013,8,,3,,24,1,,1,,1,,,,2,,,,1,,,2,,,,,
2014,6,4,2,,24,2,,,,1,,,,,1,,,,,,3,,,,,
2015,7,6,7,,13,2,,,,,1,,,1,,1,,1,,,1,,,,,
2016,10,4,13,,26,4,,,,1,,,,1,,,1,2,,,1,,,,,
2017,13,6,9,,19,2,,1,,1,,,2,4,3,,,1,,,,,1,,,
2018,16,3,9,,18,1,1,,,1,,,2,1,1,1,,1,,,2,,,,,
2019,10,6,8,,22,5,,,,3,,,1,,,,,3,1,,2,,,,,
2020,19,5,9,1,46,7,1,1,,1,1,,2,4,,,,1,,1,2,,3,,,
2021,19,4,15,,48,9,,3,,5,,,4,1,8,1,,2,1,,3,,,,,
2022,14,9,8,1,58,3,1,1,,1,,,1,1,3,,,,2,,1,,,,,
2023,11,3,16,,41,10,1,,,,,,,1,1,,,,,1,2,,,,,
2024,18,4,12,,43,7,,1,,,,,,,6,,,1,2,,,,,,1,
