,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1704,129,181,394,178,759,84,80,155,51,29,298,27,12,88,298,199,137,22,62,51,30,68,59,23,22
1981,1933,130,212,433,167,767,72,76,178,60,51,330,34,18,97,336,216,142,16,69,54,26,45,61,33,23
1982,2078,120,247,393,213,772,100,89,150,79,42,356,32,15,93,357,213,166,14,82,70,32,72,58,25,24
1983,2214,154,264,513,251,854,105,89,167,110,30,397,61,16,118,425,271,138,17,90,64,26,69,44,33,34
1984,2379,145,285,531,261,873,131,112,169,93,47,387,62,25,131,465,279,146,23,87,85,29,93,57,30,27
1985,2566,176,312,639,307,925,84,116,224,103,55,469,63,35,149,466,231,176,19,82,109,20,87,68,39,30
1986,2583,180,351,626,348,976,112,124,238,92,69,499,66,40,139,519,249,157,24,86,94,29,100,54,43,21
1987,3123,161,384,644,353,1118,172,128,273,160,55,530,78,42,176,568,394,233,16,75,120,32,100,64,33,23
1988,3497,201,405,768,417,1210,210,134,297,178,49,587,66,35,177,652,384,291,22,119,119,41,119,70,53,39
1989,3554,215,418,819,458,1219,235,156,298,161,55,605,102,43,206,670,378,335,10,89,107,33,106,75,47,38
1990,3939,197,470,803,456,1411,209,185,327,234,71,643,117,56,193,639,389,345,22,104,110,41,138,66,39,34
1991,3995,274,477,938,507,1523,318,201,382,268,60,742,139,57,232,655,392,371,35,98,116,43,134,68,47,30
1992,3959,249,539,1030,545,1415,305,188,353,252,65,836,113,59,241,647,443,310,24,136,112,60,172,71,32,33
1993,3873,303,575,1154,544,1541,376,217,405,246,107,892,152,73,264,608,478,349,24,133,122,69,184,74,52,42
1994,4165,314,583,1225,667,1649,450,227,446,251,100,994,160,113,308,657,453,335,35,155,134,77,128,68,62,33
1995,4521,317,609,1299,752,1645,444,225,463,304,109,1089,170,113,288,693,505,374,21,181,134,77,181,81,42,50
1996,4681,365,665,1451,719,1784,567,302,503,322,125,1188,219,125,473,689,622,422,36,182,116,99,178,93,71,34
1997,4946,443,579,1578,711,1774,530,295,551,315,127,1292,217,150,377,684,582,455,35,242,93,91,142,85,65,38
1998,4940,494,678,1682,809,2064,610,318,594,317,143,1280,283,169,352,770,633,415,41,227,113,111,176,83,68,50
1999,5175,510,642,1931,836,2073,742,353,638,343,139,1346,295,207,414,724,589,462,49,289,121,108,146,95,80,50
2000,5220,570,673,2052,888,2078,755,401,646,379,161,1338,344,247,384,684,685,468,56,257,134,107,155,93,75,52
2001,5226,715,710,2167,999,2132,833,393,666,389,157,1430,346,275,502,669,744,453,51,251,116,127,173,113,71,67
2002,5470,772,808,3794,986,2252,2329,450,794,388,172,1658,368,346,539,730,702,444,59,338,123,170,139,102,102,74
2003,5701,869,880,3198,1125,2374,1657,484,709,417,215,1503,457,415,504,723,732,440,79,340,127,207,176,114,77,66
2004,5955,955,882,2867,1137,2497,1429,461,798,464,186,1609,447,409,556,722,718,515,84,379,151,175,196,105,97,67
2005,6226,1147,903,3302,1234,2482,1844,511,868,507,248,1670,507,482,587,709,712,514,87,372,125,205,171,110,95,78
2006,6669,1291,947,3551,1358,2624,1784,619,943,507,290,1723,534,572,604,754,764,544,92,393,144,251,161,104,101,90
2007,6482,1444,989,3383,1380,2613,1807,644,929,632,300,1714,609,642,659,722,758,569,125,412,122,260,185,138,86,67
2008,7305,1747,1159,3474,1456,2884,1925,708,956,703,366,1781,667,735,724,790,733,546,128,420,149,286,181,138,104,76
2009,7922,1985,1333,3669,1672,2992,2092,793,1008,684,448,1849,675,807,787,864,647,647,150,471,175,327,171,119,133,73
2010,8031,2176,1229,4089,1659,3047,2265,843,1125,779,472,1950,691,853,874,879,674,623,159,461,153,301,213,126,112,81
