,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,48,27,7,30,13,15,2,3,6,2,2,14,13,2,5,2,6,4,,8,2,,,4,2,
1981,54,22,5,36,11,13,13,4,10,5,2,14,5,1,2,5,3,5,1,6,1,,,2,,
1982,82,42,6,59,10,17,10,7,13,6,6,29,9,7,3,3,12,3,2,9,1,5,,2,1,
1983,94,43,11,71,21,25,22,5,14,7,5,37,8,7,5,8,9,6,5,12,1,3,3,4,1,
1984,101,55,15,124,38,36,31,4,19,7,10,34,9,10,7,13,11,9,6,20,1,4,1,1,4,
1985,122,45,26,124,21,38,25,9,9,9,13,39,7,12,6,8,18,6,2,30,2,5,2,6,4,
1986,139,52,10,177,26,31,32,9,25,8,7,43,23,16,5,13,24,7,4,20,6,4,3,5,4,1
1987,217,38,31,188,43,55,35,15,24,10,13,38,15,9,9,11,38,13,2,32,4,10,6,4,5,1
1988,231,62,29,176,44,75,35,24,31,11,15,36,18,13,5,11,36,13,9,39,6,15,7,6,5,1
1989,258,82,34,220,35,73,66,18,44,13,17,35,29,22,9,16,55,18,8,29,6,14,17,14,3,2
1990,421,94,35,247,39,104,98,23,63,26,23,27,26,23,6,20,63,14,3,31,7,12,19,15,8,1
1991,390,111,40,322,52,98,135,33,68,20,26,45,36,34,7,22,78,29,7,32,13,24,21,12,2,
1992,511,89,44,407,50,127,152,26,63,39,15,49,30,54,14,23,51,21,9,46,7,29,26,11,7,1
1993,422,119,50,580,70,141,198,33,96,31,26,67,42,59,23,28,78,17,9,47,10,33,17,14,10,1
1994,472,167,56,646,84,146,210,47,105,30,37,104,45,68,28,44,74,28,4,60,6,44,13,10,11,2
1995,542,169,41,737,69,166,297,40,110,34,42,79,60,76,27,35,71,43,9,92,14,39,15,11,2,1
1996,535,183,50,738,79,180,311,52,122,32,28,106,56,83,21,31,110,39,6,93,13,43,19,7,14,
1997,626,214,67,931,92,182,352,50,191,38,52,136,115,114,42,47,94,36,9,142,15,47,22,14,11,1
1998,692,249,78,969,74,214,432,47,241,38,41,190,99,112,26,43,97,26,2,124,14,60,19,11,17,2
1999,760,256,77,1360,82,247,484,55,376,40,44,259,114,148,23,40,112,35,14,148,14,48,11,19,20,
2000,862,293,82,1641,119,259,571,68,461,37,37,299,131,183,38,47,122,44,9,152,15,91,19,10,19,1
2001,948,339,101,1687,142,314,609,66,507,56,68,314,153,203,32,55,173,43,14,151,17,87,24,27,24,2
2002,1053,383,111,3365,154,351,2060,90,570,56,53,415,208,282,75,65,208,62,11,145,16,163,26,29,24,3
2003,1255,387,96,3010,218,521,1528,96,592,65,47,369,238,299,44,74,214,66,21,153,12,146,30,32,25,2
2004,1576,456,101,3158,253,664,1851,98,756,62,47,427,268,299,42,90,241,77,33,132,22,128,53,32,23,4
