,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,1,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,5,,,1,,,,,,,,,,,
1997,,,,,,,,,,,,2,,,,,,,,,,,,,,
1998,,,,,,,,,,,,3,,,,,,,,,,,,,,
1999,,,,,1,,,,,,,2,,,1,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,1,1,,,,,,,,,,2,,,,,,,,,,,
2004,,,,,1,,,,,,,2,,,4,,,,,,,,,,,
2005,,1,1,,3,1,,,,,,,,,5,,,,,,,,,,,
2006,,,,1,1,,,,1,,,2,,,3,,,,,,,,,,,
2007,,,,,2,,,,,,,2,,,7,,,,,,,,,,,
2008,,,,,4,,,,,,,4,,,4,,1,,,,,,,,,
2009,,,,1,4,,,,,,,3,,,10,,,,,,,,,,,
2010,,,,,4,1,,,,,,3,,,11,,,,,,,,,,,
2011,,,2,1,3,,1,,,,,4,,,12,,,,,,,,,,,
2012,,,,2,7,1,,,,,,4,,,14,,,1,,,,,,,,
2013,,,4,2,7,,,,,1,,,,,14,,,,,,,,,,,
2014,,,4,3,10,1,,,,,,3,,,11,,,,,,,,,,,
2015,,,3,1,3,2,,,,,,2,,,12,,,1,,,,,,,,
2016,,2,,16,3,,,,4,,1,,,,8,,,,,,,,,,,
2017,,1,,1,3,,,2,2,,,1,,,7,,,,,,,1,,,,
2018,,,2,,4,,,1,,1,,1,,,16,,,,,,,,,,,
2019,,1,,1,3,,,,,,,1,,,11,,,,,,,,,,,
2020,,1,,1,8,,,,,,,7,,,14,,,,,,,,,,,
2021,,2,,1,7,,,,,,,7,,,16,,,,,,,,,,,
2022,,,,2,13,1,2,,2,,,3,,,14,,,,,,,,,,,
2023,,2,,,16,,4,,,,,3,,,25,,,,,,,1,,,,
2024,,,,,9,1,,,,,,6,,,13,,,,,,1,,,,,
