,Documents,Share
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,1,4.1168002088041066e-07
1996,6,2.278794563251931e-06
1997,2,7.329293426796483e-07
1998,3,1.0317944005205746e-06
1999,4,1.329188480588033e-06
2000,,
2001,,
2002,1,2.3457928557001945e-07
2003,4,8.84624996406211e-07
2004,7,1.4245176583208925e-06
2005,11,2.0946571769810125e-06
2006,8,1.3969250884952043e-06
2007,11,1.7574470620997114e-06
2008,13,1.953942861299817e-06
2009,18,2.496535709961358e-06
2010,19,2.464857297086785e-06
2011,23,2.745635275540019e-06
2012,29,3.3578580478246984e-06
2013,28,3.079609782644441e-06
2014,33,3.432842062426545e-06
2015,24,2.445284467583628e-06
2016,35,3.4554185355955993e-06
2017,18,1.8046598121008255e-06
2018,25,2.5013209475924237e-06
2019,17,1.652667599937782e-06
2020,31,2.8180534686556547e-06
2021,33,3.2742015834634167e-06
2022,38,3.939872567932216e-06
2023,52,5.1561766236403555e-06
2024,32,3.3933003737826404e-06
