,Documents,Share
1980,2,1.5433718353160516e-06
1981,1,7.777095985696365e-07
1982,,
1983,1,7.300735549106573e-07
1984,2,1.4044776150846513e-06
1985,2,1.3508329235806798e-06
1986,6,3.847105758219662e-06
1987,2,1.21654501216545e-06
1988,2,1.164145709133538e-06
1989,1,5.467244372155324e-07
1990,2,1.0051205868296034e-06
1991,3,1.50571418533334e-06
1992,3,1.4438306559900203e-06
1993,1,4.6016130494383503e-07
1994,3,1.3102021510898916e-06
1995,2,8.233600417608213e-07
1996,6,2.278794563251931e-06
1997,8,2.931717370718593e-06
1998,6,2.0635888010411492e-06
1999,6,1.9937827208820496e-06
2000,7,1.9169957281119483e-06
2001,4,1.093909984335209e-06
2002,6,1.4074757134201167e-06
2003,4,8.84624996406211e-07
2004,4,8.140100904690815e-07
2005,12,2.285080556706559e-06
2006,8,1.3969250884952043e-06
2007,13,2.0769828915723864e-06
2008,18,2.705459346415131e-06
2009,11,1.525660711643052e-06
2010,11,1.427022645681823e-06
2011,22,2.626259828777409e-06
2012,36,4.168375507644453e-06
2013,45,4.94937286496428e-06
2014,21,2.184535857907801e-06
2015,40,4.07547411263938e-06
2016,50,4.9363121937079986e-06
2017,65,6.516827099252981e-06
2018,56,5.602958922607029e-06
2019,63,6.124591693887074e-06
2020,59,5.363392085505924e-06
2021,86,8.532767762965268e-06
2022,59,6.117170566000019e-06
2023,70,6.941006993362017e-06
2024,48,5.08995056067396e-06
