,Documents,Share
1980,23,1.7748776106134593e-05
1981,36,2.7997545548506916e-05
1982,36,2.7268864183634592e-05
1983,49,3.577360419062221e-05
1984,58,4.072985083745489e-05
1985,60,4.0524987707420396e-05
1986,63,4.039461046130645e-05
1987,58,3.527980535279805e-05
1988,52,3.0267788437471988e-05
1989,92,5.029864822382898e-05
1990,103,5.176371022172458e-05
1991,118,5.9224757956444706e-05
1992,102,4.909024230366069e-05
1993,129,5.936080833775472e-05
1994,139,6.0706033000498314e-05
1995,119,4.8989922484768865e-05
1996,212,8.051740790156822e-05
1997,194,7.109414623992588e-05
1998,162,5.5716897628111035e-05
1999,186,6.180726434734353e-05
2000,219,5.9974580636645235e-05
2001,192,5.2507679248090036e-05
2002,235,5.5126132108954575e-05
2003,295,6.524109348495806e-05
2004,307,6.2475274443502e-05
2005,355,6.760029980256904e-05
2006,301,5.2559306454632066e-05
2007,378,6.039227177033554e-05
2008,398,5.982071221517901e-05
2009,424,5.88072856124231e-05
2010,449,5.82484698101035e-05
2011,596,7.114776627051526e-05
2012,785,9.089374370835822e-05
2013,797,8.76588927417007e-05
2014,925,9.622360326498648e-05
2015,1050,0.00010698119545678372
2016,1183,0.00011679314650313125
2017,1344,0.00013474793263686165
2018,1511,0.00015117983807248607
2019,1701,0.000165363975734951
2020,2086,0.00018962772695534503
2021,2063,0.0002046872080813645
2022,2195,0.00022757948122661088
2023,2340,0.000232027948063816
2024,1764,0.00018705568310476805
