,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,2,,,,,,,,,,,,,1,,1,,,,,,,,
1981,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,
1982,1,,,,,,,,,,,,,,,,,,,,1,,,1,,
1983,2,,,,,,,,,,,,,,,,,,,,,,,1,,
1984,1,,,,,,,,,,,,,,,1,,,,,,,,,,
1985,4,1,,,,1,,,1,1,,,,,,,1,,,,2,,,,,
1986,,,2,,1,2,,,1,,,,,,,,1,,,,,,,1,,
1987,5,2,4,,,,,,,,3,,,,1,,1,2,,,,,,1,,1
1988,2,,2,,,,,,,,,,,,1,,1,4,,,,,,,,
1989,6,1,6,,2,1,,,,,1,,,,,,3,3,,,,,,1,,
1990,6,,4,,2,1,,,,,,,,,,,1,3,,,1,,,,,
1991,9,,1,1,,,,,,,,,1,,,,2,1,,,,,,,,
1992,6,,2,1,,,,,,,,,,,1,,1,,,,1,,,,,
1993,7,,2,,,,,,,,,,,,,,1,,,,,,,,,
1994,4,,1,,1,,,1,,,,1,,,,,1,1,,,2,,,,,
1995,4,,,,,,,,,,,,,,,,,,,,,,,,,
1996,2,,,,,,,,,,,,,,,,,,,,,,,,,
1997,2,,,,,,,,,,,,1,,,,,,,,,,,,,
1998,,,,,,,,,,1,,,,,,,,,,,1,,,,,
1999,,,,1,,,,,,,,,,,,,,,,,,,,,,
2000,1,,,1,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2003,4,,,,,,,,,,,,1,,,1,,,,,,,,,,
2004,1,,2,,,,,,,,,,,,,,,,,,,,,,,
2005,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2006,1,,,1,,,,,,1,,,,,,,,,,,,,,,,
2007,1,2,,,,,,,,,,,,,,,,,,,,1,,,,
2008,3,3,,,,1,,,,1,,,,1,,,,,,,,1,,,,
2009,3,2,1,,1,1,,,,,,,,,,,,,,,,,,,,
2010,1,5,,,1,,,2,,1,3,,,1,,,,,,,,1,,,,
2011,2,3,2,2,2,,1,,,1,4,,,,,,,,,,,2,,,,
2012,5,6,2,,,1,1,,,,2,,,1,,,,1,,,,,,,,
2013,5,12,2,,,1,1,2,,1,5,,,2,,,,,,1,,,,,,
2014,4,11,2,,1,,,3,,3,2,,,,1,1,,1,,,,,,,,
2015,15,7,1,,1,,,,,,,,,2,,,,,,,1,,,,,1
2016,8,7,2,3,1,,1,1,,3,1,,,3,,,,1,,,,,,,,1
2017,25,11,2,,2,1,1,2,1,2,2,,5,2,,,,1,,,3,1,,,,
2018,20,24,5,2,5,3,6,1,1,,7,,2,3,,,,2,,,1,3,,1,,
2019,28,11,5,5,,6,6,2,,1,4,,3,4,1,,,,1,,2,1,,,,
2020,37,20,6,1,7,9,2,5,1,2,1,,5,3,,2,,6,,4,1,4,,,,3
2021,56,29,7,12,6,2,11,12,1,7,,,7,4,1,,,3,,7,6,6,,2,,
2022,87,36,24,9,15,6,8,10,,5,2,1,18,16,1,4,,6,1,9,2,1,2,,,2
2023,123,71,24,17,17,3,22,18,,15,1,3,38,34,4,1,,7,3,14,6,10,1,2,,2
2024,185,70,25,20,32,16,28,12,,16,6,4,35,51,2,2,1,16,3,7,15,9,4,2,1,2
