,Documents,Share
1980,4,3.0867436706321032e-06
1981,4,3.110838394278546e-06
1982,3,2.2724053486362157e-06
1983,3,2.1902206647319718e-06
1984,2,1.4044776150846513e-06
1985,11,7.429581079693739e-06
1986,8,5.129474344292883e-06
1987,20,1.2165450121654501e-05
1988,10,5.82072854566769e-06
1989,24,1.3121386493172778e-05
1990,18,9.046085281466431e-06
1991,15,7.5285709266667005e-06
1992,12,5.775322623960081e-06
1993,10,4.60161304943835e-06
1994,13,5.677542654722864e-06
1995,4,1.6467200835216426e-06
1996,4,1.5191963755012873e-06
1997,3,1.0993940140194725e-06
1998,2,6.878629336803832e-07
1999,1,3.3229712014700825e-07
2000,2,5.477130651748423e-07
2001,,
2002,2,4.691585711400389e-07
2003,6,1.3269374946093163e-06
2004,3,6.105075678518111e-07
2005,4,7.616935189021864e-07
2006,3,5.238469081857017e-07
2007,6,9.586074884180244e-07
2008,10,1.5030329702306284e-06
2009,9,1.248267854980679e-06
2010,17,2.2053986342355446e-06
2011,19,2.2681334884895807e-06
2012,21,2.4315523794592645e-06
2013,32,3.5195540373079327e-06
2014,30,3.120765511296859e-06
2015,28,2.852831878847566e-06
2016,32,3.159239803973119e-06
2017,63,6.316309342352889e-06
2018,90,9.004755411332725e-06
2019,82,7.971690776170477e-06
2020,120,1.0908594072215438e-05
2021,181,1.795849959414783e-05
2022,267,2.768278883257636e-05
2023,437,4.333171508713145e-05
2024,565,5.9912959724599744e-05
