,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1,,,,,,,,,,,,,,,,,,,,,,,,,
1981,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,
1982,2,,,1,,,,,,,,,,,,,,,1,,,,,,,
1983,,,,,,,,1,,,,,,,,,,,,,,,,,,
1984,1,,,,1,,,,,,,,,,,,,,,,,,,,,
1985,1,1,,,,,,,,,,,,,,,,1,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,1,,,,,,,,,,,,,,,,,,,,,,,,,
1988,3,1,,,,,,,,,,,,,,,,,,,,,,,,
1989,2,1,,,1,,,,,1,,,,,,,,,,,,,,,,
1990,1,,1,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,3,,3,,,,,,,,,,,,,,,1,,,,,,,,
1993,,,2,,1,,,,,,,,,,,,,,,,,,,,,
1994,,,,,1,,,,,,,,,,,,,,,,,,,,,
1995,,,,,2,,,,,,,,,,,,,,,,,1,,,,
1996,,,1,,2,,,,,,,,,,,,,,,,,,,,,
1997,,,1,,1,,,,,,,,,,,,,1,,,,,,,,
1998,,,,,2,,,,,,,,,,,,,,,,,,,,,
1999,2,,,,1,,,,,,,,,,,,,1,,,,,,,,
2000,2,,,,1,,,,,,,,,,,,,,,,,,,,,
2001,1,,,,3,,,,,1,,,,,,,,1,,,,,,,,
2002,2,1,1,,,,,,,1,,,1,,,,,,,,,,,,,
2003,1,,,,1,,,,,,,,,1,,,,,,,,,,,,
2004,3,,,,1,1,,,,,,,1,,,,,1,,,,,,1,,
2005,2,,3,,1,,,,,,,,,,,,,,,,,,,,,
2006,4,1,1,,4,,,,,,,,,,,,,,,,,,,,,
2007,4,,2,,2,1,,1,,,,,,,2,,,,,,,,,,,
2008,4,,,,,,,,,,,,,1,,,,,,,,,,,,
2009,3,1,2,,1,,,,,,,,,,,,,,,1,,,,,,
2010,1,2,,,2,,,,1,,,,,,2,,,,,1,,,,,,
2011,4,3,,,2,,,2,,,,,,,,,,1,1,1,,,,,,
2012,8,1,4,2,5,4,,,,,,,,,,,,3,,,,,,,,
2013,15,1,2,2,5,,,,,,,,1,,1,,,2,,,,,,,,
2014,4,3,,5,2,,,1,,1,1,,4,,,,,1,1,,,,,,,
2015,13,8,,8,9,3,,1,2,1,,,2,3,1,,,,,,1,,,,,
2016,32,1,2,1,9,3,,,,,,,,6,8,,,3,,,,,,,,1
2017,27,9,6,,8,1,1,8,,2,1,,4,2,1,,,1,1,,2,2,,,,
2018,22,21,8,2,12,3,1,5,,3,5,,2,2,3,,,2,,1,,,1,,,
2019,19,20,12,5,12,4,1,4,,,6,,,2,1,,1,1,1,1,,,,1,,
2020,37,13,6,3,17,3,1,5,1,,4,,1,2,1,,,,,,1,,,,,
2021,43,22,15,3,11,3,7,6,,2,2,,6,1,5,,1,1,,,2,,,,,
2022,35,14,13,,12,4,1,7,,2,2,,,1,3,,,,,1,,,,,,
2023,47,29,30,,21,13,,7,,4,6,,4,3,7,1,1,3,,1,1,,,,,
2024,24,8,10,,7,,2,6,,4,2,,2,1,1,,,2,,1,1,1,,3,,
