,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,1,,,,,,,,,1,,,,,,,,1,,,,,,,,
1982,,2,2,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,2,1,,,,,,,,,,,,,,,1,2,,,,,,,,
1985,4,,,,,,,,,,,,,,,,,,,,,,,,,
1986,6,,1,,,,,,,1,,,,,,,,1,,,,,,,,
1987,1,,1,,,,,,,1,,,,,,,,2,,,,,,,,
1988,2,1,,,,,,,,,,,,1,,,,1,,,,,,,,
1989,7,1,,,1,,,,,,1,,,,,,,2,,,,,,,,
1990,2,,,,,,,,,1,,,,,,,,2,,,,,,,,
1991,2,,,,,1,,,,2,,,,,,,,,,,,,,,,
1992,5,1,,,,,,,,,,,,,,,,1,,,,,,,,
1993,5,1,,,1,1,,,,1,,,,,,,,,,,,,,,,
1994,5,,1,,,1,,,,,,,,,,,,3,,,,,,,,
1995,6,2,,,,,,,,2,,,,,,,,1,,,,,,,,
1996,5,2,,,,,,1,,,,,,,,,,2,,,,,,,,
1997,5,1,1,,,,,,,,,,1,,,,,,,,,,,,,
1998,6,1,1,,2,1,,,,,,,,,,,,1,,,,1,,,,
1999,12,2,,,,,,,,4,,,,,,,,1,,,1,,,,,
2000,11,1,,,,2,,,,5,,,1,,,,,2,,,,,,,,
2001,13,6,2,,,,,,,3,,1,1,,,,,2,,,,,,,,
2002,16,3,2,,1,,1,,,4,,,,1,,,,3,,,,,,,,
2003,20,9,,,1,1,,,,5,,,,,,,,2,,,,1,,,1,
2004,23,10,,,1,1,,1,,10,1,,,1,,,,3,,,,1,,,,
2005,22,13,1,,3,2,1,2,,10,1,,2,,,,1,3,,,,,,,,
2006,26,10,3,1,3,,1,2,,18,1,,,,,,,4,,,,2,,,,
2007,30,12,3,,3,,,2,,19,,,,,,,,2,,1,,3,1,1,,
2008,42,10,4,,3,2,,2,,18,,,2,2,,,,1,,,,3,,,,
2009,38,24,4,,5,4,1,4,,21,3,1,2,1,,,,3,,,,3,,,,
2010,34,27,9,,3,1,,4,,18,4,,2,2,,,,4,,,2,4,2,,,2
2011,45,14,6,1,2,3,1,2,,21,2,,,3,,,,1,,1,1,4,,,,
2012,50,24,5,,3,2,,2,,42,3,,4,2,,,1,9,1,1,1,7,5,,,2
2013,35,23,,2,3,1,2,3,,30,,,4,,,,,5,,,4,4,,,,
2014,26,30,4,1,10,,2,3,,27,,,,2,,,,4,,,1,4,1,,,
2015,37,39,4,,4,,2,4,1,27,1,,5,3,1,,,5,,,6,2,,,,
2016,61,41,5,,10,2,,1,,56,1,,4,1,,2,,5,,,5,7,1,,,
2017,52,35,6,1,9,4,2,5,,37,,,1,4,,1,,8,,,1,2,1,,,
2018,55,25,5,1,8,,2,2,,30,,,5,3,,1,,5,,,2,6,,,,
2019,56,33,4,1,6,1,1,2,1,39,3,1,4,8,,1,,8,,,3,5,,1,,
2020,84,63,5,3,15,1,4,7,1,40,3,,1,4,,,1,2,,5,2,7,4,,,1
2021,82,58,2,,13,1,14,7,,41,3,,3,2,,1,,14,,3,4,5,5,1,,
2022,88,62,8,,17,3,5,6,,66,6,,4,8,1,,1,9,,1,,3,2,,,
2023,107,112,9,,21,4,17,15,1,94,3,,3,5,1,1,,20,,,3,4,2,,,
2024,99,71,11,,15,5,7,9,,61,2,,3,1,1,,,12,,1,2,7,,1,,
