,Documents,Share
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,1,4.6016130494383503e-07
1994,,
1995,,
1996,,
1997,,
1998,,
1999,1,3.3229712014700825e-07
2000,,
2001,,
2002,1,2.3457928557001945e-07
2003,5,1.1057812455077638e-06
2004,5,1.0175126130863517e-06
2005,12,2.285080556706559e-06
2006,12,2.0953876327428067e-06
2007,6,9.586074884180244e-07
2008,3,4.509098910691885e-07
2009,2,2.773928566623731e-07
2010,1,1.2972933142562028e-07
2011,2,2.3875089352521903e-07
2012,2,2.3157641709135852e-07
2013,9,9.898745729928562e-07
2014,20,2.0805103408645725e-06
2015,10,1.018868528159845e-06
2016,11,1.0859886826157598e-06
2017,14,1.4036242983006421e-06
2018,24,2.4012681096887268e-06
2019,16,1.5554518587649712e-06
2020,37,3.3634831722664266e-06
2021,69,6.8460578563325985e-06
2022,85,8.812872849322062e-06
2023,100,9.915724276231454e-06
2024,82,8.695332207818016e-06
