,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1,,,,,1,,,1,,,,,,,,,,,,,,,,,
1981,3,,3,,,,,,,1,,,,,,,1,,,,,,,,,
1982,1,1,6,,3,1,,,,,,,,,,1,1,,,,,,,,,
1983,2,,6,1,3,,,,,,1,,,,,,,,,,,,,,,
1984,2,1,21,1,,1,,,,,,1,,,,,1,,,,,,,,1,
1985,,,13,1,1,1,,1,1,,1,1,,,1,,,,,,,,,,,
1986,1,,7,5,4,,1,,,,,1,,,,1,,,,2,,,,,,
1987,4,1,17,4,4,1,2,,1,2,2,2,,,,,1,,,1,,,,,,
1988,,1,29,2,3,3,1,,,,,1,,,1,,,,,1,1,,,,1,2
1989,1,2,27,1,2,,,,1,,,1,,,,,,,,1,,1,,,,
1990,1,4,32,2,1,2,,,,,,4,,,3,,,,,,,,,,,
1991,3,2,45,13,2,,3,,2,,,1,,,2,,1,,,1,,1,,,,
1992,9,4,44,7,1,2,,1,1,,,1,,,2,,2,,,,,,,,,1
1993,2,6,65,5,5,3,3,,,1,,1,,,2,,2,,,1,,,,,,
1994,3,2,69,3,6,3,,,1,1,,4,,,1,,,,,1,1,1,,,1,
1995,5,4,40,7,5,4,2,,5,2,,2,,,1,,5,,,1,,,1,,,1
1996,5,3,52,4,6,3,5,1,5,2,2,3,,1,,,6,1,,,,1,,,1,1
1997,6,2,41,9,14,4,1,1,5,7,2,3,,,8,,8,1,1,,,2,,,,
1998,10,4,50,8,7,6,1,,4,4,,2,,,1,,3,1,1,,,2,1,,,
1999,13,4,45,12,10,4,1,1,4,6,2,5,,,3,1,5,2,,1,,,1,,1,
2000,16,2,56,14,12,5,2,1,2,3,1,7,1,,8,,5,1,,1,1,,3,,1,1
2001,13,,53,10,7,1,5,2,5,5,1,8,,,6,,6,,1,,,,2,,4,1
2002,11,,44,24,6,4,9,2,5,6,3,14,2,2,8,,6,,,2,,,2,1,2,
2003,17,8,62,23,8,8,6,1,5,3,,3,2,,4,,8,1,,,2,1,7,,3,
2004,17,4,67,45,17,9,21,,5,9,5,8,,1,4,2,2,1,,,4,2,4,,1,
2005,24,6,73,40,17,8,4,2,3,6,1,12,,,14,,3,,,1,1,2,3,,,
2006,24,4,54,35,22,4,24,1,7,8,4,12,,3,11,,6,1,2,,2,1,3,,,
2007,24,6,98,36,16,8,7,,8,4,3,14,2,3,9,,3,1,2,4,2,1,5,1,,2
2008,35,7,78,40,19,9,48,1,11,3,2,6,2,2,3,3,6,2,,2,1,1,6,,1,3
2009,33,6,113,41,21,15,12,1,11,5,2,11,3,2,12,,8,1,,,,1,10,1,,3
2010,80,10,124,48,29,26,17,3,23,4,8,21,6,3,15,1,10,1,1,2,2,2,15,4,1,9
2011,84,16,142,66,20,31,22,2,22,7,8,17,1,15,12,2,15,3,3,3,3,2,17,3,,2
2012,136,10,123,64,31,37,23,3,25,18,7,14,5,10,9,2,8,6,5,4,5,1,25,3,2,5
2013,102,11,130,52,26,35,19,1,25,12,10,13,5,10,7,2,20,,4,1,3,4,29,3,2,2
2014,96,15,92,65,22,37,20,5,17,22,5,14,8,19,13,1,14,1,1,5,3,3,29,4,3,4
2015,113,18,107,80,26,41,21,6,33,9,5,13,6,13,13,2,29,1,2,1,2,2,33,7,3,1
2016,112,13,70,65,22,29,35,5,31,14,9,14,7,17,7,5,26,4,5,8,4,3,31,5,3,4
2017,114,22,74,48,15,25,32,8,27,20,8,13,3,16,13,2,22,3,4,9,2,6,21,7,2,1
2018,146,19,71,83,32,28,35,16,25,9,6,11,7,16,14,4,33,5,6,7,8,8,30,5,1,2
2019,187,40,93,157,39,37,43,18,39,14,27,14,14,20,15,6,21,6,5,8,8,9,36,9,4,
2020,295,27,111,157,43,62,59,31,50,21,19,14,9,32,14,5,32,11,5,28,11,17,55,13,1,1
2021,409,30,121,169,60,81,82,47,70,25,10,18,18,21,16,6,34,12,16,27,9,11,101,19,2,3
2022,680,43,148,151,67,70,66,43,52,44,6,22,15,20,23,16,42,28,19,24,15,9,111,14,2,1
2023,802,61,124,146,79,118,62,46,45,44,8,22,30,18,26,23,43,23,8,16,10,6,107,23,6,3
2024,831,41,85,138,52,75,51,33,40,39,2,10,15,24,14,15,36,15,4,6,17,10,142,6,,4
