,Documents,Share
1980,3,2.3150577529740774e-06
1981,8,6.221676788557092e-06
1982,14,1.0604558293635674e-05
1983,13,9.490956213838544e-06
1984,29,2.0364925418727445e-05
1985,22,1.4859162159387478e-05
1986,23,1.4747238739842038e-05
1987,42,2.5547445255474453e-05
1988,46,2.6775351310071373e-05
1989,37,2.02288041769747e-05
1990,51,2.5630574964154887e-05
1991,78,3.914856881866684e-05
1992,75,3.6095766399750506e-05
1993,98,4.5095807884495834e-05
1994,98,4.2799936935603125e-05
1995,86,3.540448179571532e-05
1996,103,3.911930666915815e-05
1997,115,4.2143437204079776e-05
1998,106,3.6456735485060304e-05
1999,122,4.0540248657935e-05
2000,144,3.943534069258865e-05
2001,130,3.5552074490894296e-05
2002,155,3.635978926335301e-05
2003,173,3.826003109456862e-05
2004,229,4.660207767935491e-05
2005,220,4.189314353962025e-05
2006,231,4.033621193029903e-05
2007,261,4.1699425746184064e-05
2008,294,4.4189169324780474e-05
2009,317,4.396676778098613e-05
2010,470,6.097278577004153e-05
2011,525,6.267210955037e-05
2012,583,6.750452558213101e-05
2013,532,5.851258587024438e-05
2014,524,5.4509370930651804e-05
2015,594,6.052079057269479e-05
2016,550,5.429943413078799e-05
2017,526,5.273617006472412e-05
2018,631,6.313334071723277e-05
2019,892,8.671644112614714e-05
2020,1134,0.00010308621398243589
2021,1436,0.0001424773779955596
2022,1757,0.00018216726583833957
2023,1943,0.00019266252268717714
2024,1720,0.0001823898950908169
