,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,1,,,,,,,,,,1,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,1,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,1,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,1,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,1,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,1,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,1,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,2,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,1,,,,,3,,,1,,,,3,,,,,,,,,,,,
2014,,,,1,,,4,,,,,,,1,,,,,,,,,,,,
2015,,1,3,1,,,3,,,,1,,3,3,,,,,,,,,,,,
2016,1,,,1,1,,2,,,,,,1,3,,,,,,,,1,,1,,
2017,2,12,2,1,,,3,,,4,,,6,3,,,,,,,,,,,,
2018,,8,3,2,,,2,,,,,,1,1,,,,,1,,,,,,,
2019,2,8,3,5,,,7,,,2,,,9,7,,,,,,,,1,,,,
2020,,1,2,,2,3,2,,,,1,,5,8,,,,,,,,3,,,,
2021,3,4,2,3,1,,,,,,,,2,13,,,,,1,,,,,,,
2022,7,10,,,,1,1,3,,3,,,4,3,,,,3,,,,,,,,
2023,26,8,,,4,1,1,,,5,1,1,3,4,,1,,,,,,2,,1,,
2024,26,5,,1,1,,3,1,,3,,,,4,,,,1,,,2,1,,,,
