,Documents,Share
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,2,9.203226098876701e-07
1994,,
1995,,
1996,,
1997,,
1998,1,3.439314668401916e-07
1999,,
2000,1,2.7385653258742117e-07
2001,,
2002,,
2003,1,2.2115624910155274e-07
2004,,
2005,,
2006,1,1.7461563606190054e-07
2007,1,1.597679147363374e-07
2008,,
2009,1,1.3869642833118655e-07
2010,1,1.2972933142562028e-07
2011,2,2.3875089352521903e-07
2012,,
2013,8,8.798885093269832e-07
2014,6,6.241531022593718e-07
2015,15,1.5283027922397675e-06
2016,11,1.0859886826157598e-06
2017,36,3.609319624201651e-06
2018,18,1.800951082266545e-06
2019,44,4.277492611603671e-06
2020,27,2.4544336662484734e-06
2021,29,2.87732866425573e-06
2022,35,3.6288299967796725e-06
2023,58,5.751120080214243e-06
2024,48,5.08995056067396e-06
