,Documents,Share
1980,5,3.8584295882901295e-06
1981,6,4.666257591417819e-06
1982,2,1.5149368990908106e-06
1983,5,3.650367774553286e-06
1984,4,2.8089552301693025e-06
1985,7,4.727915232532379e-06
1986,5,3.2059214651830518e-06
1987,7,4.257907542579076e-06
1988,1,5.82072854566769e-07
1989,9,4.920519934939792e-06
1990,13,6.5332838143924225e-06
1991,24,1.204571348266672e-05
1992,10,4.812768853300068e-06
1993,17,7.822742184045195e-06
1994,30,1.3102021510898917e-05
1995,29,1.1938720605531909e-05
1996,26,9.874776440758368e-06
1997,21,7.695758098136307e-06
1998,42,1.4445121607288045e-05
1999,36,1.1962696325292297e-05
2000,42,1.150197436867169e-05
2001,39,1.0665622347268287e-05
2002,35,8.21027499495068e-06
2003,55,1.21635937005854e-05
2004,62,1.2617156402270763e-05
2005,54,1.0282862505179515e-05
2006,61,1.0651553799775933e-05
2007,90,1.4379112326270366e-05
2008,87,1.3076386841006466e-05
2009,85,1.1789196408150857e-05
2010,124,1.6086437096776913e-05
2011,126,1.5041306292088798e-05
2012,169,1.9568207244219795e-05
2013,198,2.1777240605842834e-05
2014,251,2.6110404777850387e-05
2015,356,3.627171960249048e-05
2016,363,3.583762652632007e-05
2017,392,3.930148035241798e-05
2018,469,4.692478097683387e-05
2019,510,4.958002799813346e-05
2020,612,5.5633829768298736e-05
2021,719,7.133790722758171e-05
2022,798,8.273732392657654e-05
2023,860,8.52752287755905e-05
2024,654,6.935057638918271e-05
