,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,102,13,24,24,14,30,11,1,2,1,1,3,3,,3,3,6,10,5,3,5,6,1,4,,
1981,91,8,19,34,15,29,5,4,10,6,3,6,2,5,4,1,8,12,4,,5,3,1,2,,
1982,84,9,17,17,7,23,4,4,1,5,1,2,4,2,2,8,10,12,2,1,1,2,2,5,,3
1983,111,29,30,25,11,39,6,4,2,3,3,7,4,4,1,3,4,18,2,2,1,3,1,7,,2
1984,110,17,27,15,27,42,5,2,3,3,3,10,8,4,4,5,13,11,1,4,3,6,8,4,,2
1985,107,15,36,45,18,44,1,1,3,4,2,17,,2,3,2,10,12,1,4,3,3,,1,,1
1986,100,16,39,36,27,52,8,7,4,1,2,10,2,5,7,3,9,15,6,2,5,8,2,7,1,5
1987,192,37,42,47,29,53,8,3,5,6,3,5,8,6,5,4,6,37,5,2,9,,2,12,,4
1988,248,34,59,42,46,64,14,3,5,4,3,11,7,2,5,4,12,45,6,1,9,2,2,12,1,2
1989,221,31,59,50,29,58,12,6,4,7,6,9,7,2,2,6,23,27,1,2,5,7,2,23,,6
1990,375,36,49,56,35,81,8,6,5,13,4,12,8,11,7,4,20,42,3,4,15,6,4,10,,5
1991,378,32,64,66,49,77,6,5,14,22,2,17,7,8,9,11,11,50,4,,13,5,24,11,4,5
1992,447,44,59,61,36,94,13,8,4,7,9,10,12,6,11,9,11,41,4,2,16,4,11,10,1,5
1993,412,38,85,80,37,80,18,5,7,6,8,10,15,14,14,16,16,41,4,1,17,1,11,14,4,7
1994,386,48,59,72,53,83,18,13,13,14,7,12,11,14,7,16,20,49,6,3,10,6,6,23,2,5
1995,453,65,77,71,54,106,10,5,5,16,6,11,18,10,20,9,13,50,7,3,6,8,7,15,2,1
1996,475,60,83,100,80,93,20,12,13,11,10,14,16,17,6,11,21,52,4,4,14,6,11,25,,3
1997,485,67,118,135,59,100,26,16,20,21,9,22,17,22,8,12,27,69,7,4,13,4,13,19,8,12
1998,582,70,139,141,84,148,40,14,23,39,12,26,21,29,12,23,28,62,8,10,11,6,16,23,3,9
1999,764,65,140,138,98,159,42,16,34,27,6,20,24,18,6,24,43,76,3,7,21,3,13,25,3,2
2000,890,57,183,205,112,174,62,17,57,34,14,35,27,27,23,23,47,96,11,15,23,4,22,30,14,6
2001,940,85,197,184,146,220,91,16,81,36,39,33,46,26,37,19,80,120,4,20,22,8,23,27,14,10
2002,1063,91,242,593,197,256,246,34,102,44,34,58,37,48,21,23,93,135,12,21,42,23,31,32,10,14
2003,1101,106,264,598,205,350,275,26,151,51,45,71,35,38,32,25,129,151,19,22,44,28,29,48,22,21
2004,1312,107,307,570,202,348,290,47,235,60,43,77,38,75,33,36,106,149,15,19,40,18,33,55,21,17
2005,1664,158,362,709,257,450,392,42,255,68,54,95,46,69,58,28,152,182,33,35,53,25,42,58,25,20
2006,1766,188,439,1064,323,505,493,56,368,99,58,114,57,105,62,56,204,208,38,52,59,27,50,89,25,24
2007,1765,213,515,1018,327,571,439,66,444,95,75,156,67,117,71,49,219,221,52,49,65,40,68,107,34,17
2008,2004,262,598,1268,357,645,640,99,624,102,88,137,97,147,73,64,268,211,57,65,70,54,54,98,32,21
2009,2265,339,629,1394,407,681,755,112,569,115,88,163,119,172,70,78,254,240,55,76,70,98,77,120,40,27
2010,2451,386,801,1780,434,802,789,124,606,155,87,186,138,235,99,82,253,246,100,96,92,93,67,179,59,38
2011,2770,433,778,1896,477,817,806,141,735,167,109,223,150,297,101,83,267,242,128,94,80,116,84,145,42,24
2012,3727,535,887,1994,530,976,847,221,832,235,117,201,233,367,118,135,307,324,166,123,90,133,106,197,42,36
2013,3249,735,904,2273,671,941,880,275,990,215,162,252,221,487,129,128,313,264,165,196,106,137,87,175,48,35
2014,3607,969,1151,2495,687,1044,1035,298,933,272,254,309,273,543,156,141,324,302,204,221,123,184,119,183,75,33
2015,3754,1074,1127,2331,724,1137,973,351,931,321,226,299,259,610,167,133,299,316,202,182,151,202,112,174,72,47
2016,4121,1229,1167,2476,862,1240,1056,319,1014,323,233,334,294,663,176,158,320,323,223,202,161,223,108,162,79,39
2017,4539,1405,1369,2751,888,1228,1210,413,1142,407,316,362,347,756,186,167,381,358,270,205,134,196,182,186,95,40
2018,4736,1435,1429,3054,988,1289,1347,429,1208,338,341,362,379,830,199,191,352,414,296,228,195,220,173,137,109,50
2019,5154,1538,1466,3231,1040,1476,1296,441,1215,375,261,391,341,949,229,231,394,419,296,276,185,228,163,171,96,58
2020,6148,1418,1669,3375,1366,1685,1219,537,1297,375,302,420,394,779,240,238,431,518,329,374,238,288,200,204,85,64
2021,6904,1752,2040,3824,1521,1833,1481,644,1476,436,304,455,414,817,268,280,444,532,385,525,222,309,264,229,122,78
2022,7196,1881,2105,3909,1761,1876,1642,774,1536,507,364,445,527,918,266,279,463,596,406,652,243,384,301,246,96,78
2023,7195,2278,2101,4041,1694,1882,1727,767,1468,520,381,483,556,1153,285,299,431,516,398,408,235,368,291,263,104,75
2024,6980,1935,1980,3467,1476,1721,1575,766,1248,551,384,359,407,933,215,286,383,490,305,279,225,373,360,264,90,102
