,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,1,1,12,,3,3,1,6,,2,23,,,1,1,14,,,,,1,,,,
1981,,,1,6,,9,1,,6,,,25,,,2,3,18,,1,2,,,,2,,
1982,1,1,3,5,1,5,2,1,6,1,,22,,,1,,17,,,1,,1,,3,1,
1983,2,1,1,13,1,6,1,,8,,,20,,,2,1,31,,,1,,2,,2,,
1984,2,,,10,,7,1,1,6,,,26,1,,1,1,10,,2,6,,,,1,,
1985,4,2,2,11,,10,2,,11,,2,39,,1,5,,28,,1,5,,3,,1,1,
1986,2,2,1,11,,8,2,5,5,,1,14,,,2,1,18,,,1,,,,2,,
1987,3,2,,7,2,6,7,1,9,,1,28,,,2,,60,,,5,,,,7,1,
1988,6,,3,5,1,22,,,14,,,27,,,4,1,70,,,7,,1,,6,,
1989,3,3,1,17,2,15,4,,11,,2,30,1,,3,,60,,1,3,,,,3,1,
1990,3,3,1,19,,8,6,,15,,1,32,1,,3,3,63,1,1,8,,,,3,1,
1991,8,4,4,5,2,3,3,,5,,,29,,,3,4,13,,,19,,,,1,,
1992,4,4,2,12,2,4,1,1,9,1,,21,1,,5,5,16,,,5,1,1,,1,,
1993,4,8,3,13,1,6,8,1,10,1,6,16,2,2,2,4,19,1,,2,,,,,2,
1994,6,8,3,9,,3,7,,7,,3,28,1,1,1,4,19,1,,11,,,,,2,
1995,4,3,1,13,2,7,5,3,3,,1,21,1,1,3,10,13,1,,9,,1,,1,1,
1996,7,4,5,12,1,4,15,1,5,,1,25,,,8,3,15,,,7,,,,,,
1997,8,5,9,21,5,7,17,2,8,1,4,24,,1,3,5,8,,,14,,,,,,
1998,7,15,8,12,2,16,12,2,7,,2,26,,,3,12,11,,,18,,1,,,1,
1999,20,7,11,18,8,21,2,2,6,,,29,,1,3,2,8,2,,16,,,,1,1,
2000,20,8,6,18,2,15,8,3,8,1,2,21,1,,7,8,12,1,,27,,1,,3,,
2001,7,8,8,15,2,15,9,,18,,3,34,2,3,3,3,8,1,,13,,1,,2,2,
2002,17,12,4,17,6,15,7,1,13,,,15,2,,10,5,8,,,13,,,,1,,
2003,8,19,3,22,3,17,8,1,10,1,4,22,4,,3,5,9,,,16,,,,2,,
2004,8,14,2,25,6,16,16,2,17,,1,38,2,,8,9,10,,,27,1,1,,,2,
2005,5,14,7,37,10,14,16,2,17,,1,41,10,1,11,,15,,1,19,,2,,1,3,
2006,19,18,10,58,10,17,24,2,18,,2,57,5,4,18,3,20,,3,56,,2,,,5,
2007,15,17,8,28,10,15,16,4,31,,2,50,6,2,12,1,19,,5,36,1,2,1,1,2,
2008,54,26,75,252,56,126,95,6,170,1,7,294,15,8,129,21,150,1,9,179,,9,,7,12,1
2009,48,24,90,296,77,152,105,17,206,6,12,331,34,7,126,15,149,3,7,193,1,8,,11,26,
2010,74,52,87,260,85,129,136,5,233,4,11,273,26,3,145,16,140,3,19,175,1,10,1,8,28,
2011,80,50,88,280,85,148,99,8,256,6,18,311,29,8,130,18,135,11,8,162,,9,1,6,22,1
2012,86,48,63,227,59,114,87,15,185,3,20,230,15,9,147,30,114,4,13,190,5,5,,7,23,
2013,66,66,69,225,79,108,112,10,195,5,9,182,19,12,131,14,115,3,18,174,2,8,,10,21,
2014,97,107,90,242,109,116,105,14,189,4,18,171,33,17,140,12,101,5,13,165,7,6,2,10,23,1
2015,89,133,58,176,66,84,93,16,141,6,27,153,35,25,83,11,68,2,8,133,2,9,,2,12,1
2016,86,200,35,133,40,31,78,24,52,6,35,55,48,55,44,11,38,4,3,77,2,4,,2,9,2
2017,116,202,45,122,45,31,60,37,41,11,38,52,37,32,99,9,37,9,8,60,1,3,2,1,5,2
2018,147,309,74,143,54,60,85,43,62,7,70,57,47,23,71,10,32,8,11,58,3,12,2,6,7,1
2019,195,411,95,221,124,73,129,68,88,9,87,59,68,40,216,28,52,9,14,106,8,11,1,3,13,2
2020,244,576,133,268,110,94,169,51,81,16,139,66,101,77,140,22,72,17,18,63,10,15,1,6,8,1
2021,296,717,128,285,130,83,176,77,57,24,156,65,123,94,125,35,53,9,16,88,5,22,1,9,4,1
2022,331,834,86,262,135,93,167,57,103,27,191,91,115,105,200,27,46,11,27,89,4,22,2,4,7,
2023,357,723,171,372,215,185,161,66,154,19,180,179,108,82,272,59,98,18,15,135,5,23,4,12,19,
2024,392,692,183,299,200,161,151,87,113,26,191,172,127,98,271,53,57,23,20,156,6,14,1,5,16,2
