,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,1,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,1,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,,,,1,,,,,,,,,,,,,,,,,,,,,
2006,,1,2,,,1,,,,,,,,,,,,,,,1,,,,,
2007,3,1,,,1,,,,,,2,,,,,,,,,,,,,,,1
2008,,1,,,,,,,,1,1,,,,,,,,,,,,,,,
2009,5,2,1,,,,,1,,,,,,,,,,,,,,,,,,
2010,4,3,,,,,,,,,1,,1,,,,,,,,,,1,,,
2011,3,1,,,,1,,1,,,1,,,,,,,,,,1,,,,,
2012,3,2,4,,2,,,,,,2,,1,,,,,,,,,,,,,
2013,7,6,4,1,2,,,,,,,,,,,,,1,,,3,,,,,
2014,7,6,5,,1,,,,1,2,1,,1,,1,,1,,,,,1,,,,
2015,8,6,3,2,2,,,,,2,,,1,,,,,,,,1,,,,,
2016,4,12,2,1,2,,,1,1,3,3,,,,2,,2,2,,,1,,,,,
2017,6,17,9,8,4,1,2,2,2,1,4,,,,1,,,2,,,,,,,,
2018,11,11,1,3,3,,2,,,2,3,1,,1,,,1,2,,,1,,,,,
2019,17,19,8,3,8,,7,3,,3,1,,1,3,2,,,,,1,1,,,,,
2020,17,41,6,5,3,,9,3,,6,5,,3,3,4,,,,1,,,2,,,,
2021,20,44,11,6,3,2,7,1,3,1,3,1,2,7,1,,,2,,,,,,,1,
2022,40,48,7,8,5,1,5,2,2,10,2,,4,11,,,2,3,,1,4,1,1,,,
2023,35,82,16,10,3,2,9,3,1,17,4,2,6,11,1,,,,,2,1,1,,,,1
2024,29,44,17,12,6,3,5,5,1,11,3,,5,11,5,,2,1,,1,2,2,,,,
