,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,14,1,4,8,7,3,1,,7,1,1,,,1,7,,5,1,,,,,,,,
1981,19,,5,8,6,8,,,3,2,,5,,1,6,1,4,1,,,,,,,1,
1982,26,3,4,4,12,8,,1,7,2,1,2,,,6,1,8,,,1,1,,,,,
1983,17,1,8,6,6,6,,,8,,2,6,,,11,1,10,1,,1,,,,,1,
1984,25,2,5,8,17,12,,1,2,2,1,4,,,14,1,4,3,1,3,1,,,,2,
1985,27,2,5,14,13,8,4,4,4,1,1,4,11,1,11,2,8,1,,,,,1,,1,
1986,39,,7,13,9,17,3,3,3,1,3,6,,,16,1,4,4,,1,2,1,,,,
1987,71,4,10,11,17,18,3,2,6,1,1,9,,,17,4,4,3,,2,2,2,,,2,
1988,102,2,17,9,12,25,5,3,7,4,1,11,1,,10,,8,4,1,9,,,,,1,
1989,115,6,14,11,8,28,3,3,14,4,1,6,1,,26,2,6,5,1,5,1,2,1,2,2,
1990,197,5,15,17,17,36,6,3,8,5,6,4,5,,29,7,9,8,2,6,3,,,3,2,2
1991,167,4,7,13,17,31,9,3,11,10,3,11,3,2,28,3,15,13,,6,7,,2,2,2,3
1992,178,9,17,22,8,32,13,2,14,12,5,8,2,2,23,3,7,11,1,3,4,,,1,2,1
1993,207,9,23,11,16,37,9,1,7,5,1,14,,,19,7,12,7,,1,3,1,1,2,4,1
1994,195,5,23,22,12,34,6,2,17,4,1,7,1,,25,5,9,10,1,8,3,1,1,2,6,1
1995,194,13,39,38,12,41,11,7,13,5,4,12,3,1,17,14,4,11,1,5,5,1,1,6,3,2
1996,156,6,28,30,22,42,9,1,21,7,1,10,1,2,25,3,9,14,1,6,2,1,1,5,8,
1997,209,5,31,33,24,46,19,6,36,7,2,20,4,5,31,12,11,10,1,16,5,3,,2,5,
1998,202,9,31,53,25,43,27,1,32,9,9,21,13,1,39,12,27,18,4,13,4,,5,1,5,
1999,205,14,22,49,25,50,29,5,58,10,4,33,2,4,31,11,35,20,4,23,5,3,,5,4,
2000,231,12,48,80,36,62,29,4,48,13,3,28,5,5,47,16,51,7,6,39,1,3,1,6,10,
2001,295,15,63,84,39,72,42,6,61,13,10,27,6,7,44,9,29,19,6,38,5,2,,1,8,1
2002,321,15,57,166,43,60,104,6,66,15,10,39,11,7,38,15,49,17,6,61,4,2,3,3,7,1
2003,414,23,78,154,51,84,92,6,100,17,20,46,11,7,37,10,63,19,9,58,4,6,3,1,9,2
2004,641,27,87,198,68,126,94,5,128,34,10,67,13,13,60,14,55,32,18,72,8,5,1,6,7,3
2005,791,40,114,269,72,133,182,17,115,31,15,71,22,15,55,17,66,31,9,64,8,6,10,5,8,2
2006,1094,29,132,327,92,189,223,16,136,30,16,72,22,22,58,28,83,40,11,85,9,19,6,3,11,5
2007,1105,43,232,381,135,243,259,11,165,28,16,85,36,24,88,27,95,30,15,96,10,22,7,8,10,8
2008,1231,58,259,452,174,259,370,8,162,30,25,78,33,36,84,26,100,56,15,95,16,20,10,3,18,2
2009,1256,76,338,592,202,318,415,20,177,46,24,89,77,68,122,33,107,66,25,108,20,20,6,9,23,5
2010,1309,74,373,629,226,313,497,15,207,63,25,92,72,97,127,33,112,65,30,139,35,26,11,12,13,4
2011,1544,81,464,885,263,402,576,28,243,45,33,119,83,123,160,55,124,63,42,170,34,35,12,15,27,8
2012,1785,119,481,912,287,432,733,48,343,89,27,105,120,143,166,55,154,65,52,186,37,31,6,7,29,9
2013,1774,150,494,1184,391,429,853,78,398,93,45,116,160,237,168,51,180,90,74,147,33,63,12,14,24,14
2014,1991,125,516,1355,350,382,991,67,511,105,48,150,247,246,172,50,207,86,102,139,35,73,20,25,32,10
2015,2311,168,582,1663,378,468,1143,66,611,86,43,188,242,248,156,61,202,79,129,218,44,64,21,20,25,14
2016,2152,233,594,1810,419,529,1345,102,698,110,108,187,254,304,193,62,275,90,122,221,49,86,14,34,41,12
2017,2254,227,674,2110,502,506,1427,124,692,100,54,205,243,322,191,60,252,89,179,265,48,74,27,23,29,12
2018,2904,210,634,1936,458,535,1218,106,582,175,83,157,257,316,200,103,232,96,153,237,56,65,31,21,18,15
2019,2291,260,665,2126,513,500,1158,122,581,100,85,195,259,363,228,68,206,87,161,320,50,89,26,26,21,10
2020,2982,276,723,1872,512,478,1154,163,621,184,81,203,300,371,178,100,203,102,161,349,47,70,44,22,20,17
2021,3992,379,845,1922,631,575,1121,302,728,154,113,213,366,452,252,117,266,136,197,469,59,89,42,33,25,18
2022,3398,339,961,2107,712,567,1154,304,735,184,107,142,377,388,292,117,303,146,244,496,68,80,48,25,28,14
2023,3824,335,825,2072,690,528,1198,312,710,248,85,126,436,411,231,142,219,115,226,464,49,84,62,33,30,23
2024,2909,292,774,1722,624,467,908,286,568,277,68,114,375,322,171,130,223,110,180,368,61,64,47,31,35,18
