,Documents,Share
1980,402,0.0003102177388985264
1981,399,0.00031030612982928496
1982,436,0.0003302562440017967
1983,450,0.00032853309970979575
1984,591,0.0004150231352575145
1985,534,0.00036067239059604155
1986,619,0.0003968930773896618
1987,813,0.0004945255474452555
1988,978,0.0005692672517663001
1989,1373,0.0007506526522969261
1990,1623,0.0008156553562122232
1991,1884,0.0009455885083893375
1992,2185,0.0010515899944460647
1993,2527,0.001162827617593071
1994,2836,0.0012385777668303109
1995,3309,0.0013622491890932789
1996,4537,0.0017231484889123352
1997,4856,0.001779552444026186
1998,5566,0.0019143225444325062
1999,6249,0.0020765247037986545
2000,7326,0.0020062729577354473
2001,8911,0.002436957967602762
2002,12201,0.0028621018632398075
2003,15128,0.0033456517364082896
2004,18257,0.003715345555423505
2005,19472,0.003707924050015843
2006,22406,0.0039124379416029436
2007,23956,0.003827400165423699
2008,24370,0.0036628913484520412
2009,26959,0.003739117011380458
2010,30006,0.003892658318757162
2011,33983,0.0040567358073337586
2012,38003,0.004400299289361449
2013,44807,0.004928145554676767
2014,52301,0.005440638566877901
2015,60289,0.006142656469422889
2016,66657,0.006580795237919881
2017,68796,0.006897409801849355
2018,77742,0.007778307724309208
2019,88240,0.008578317001088817
2020,106465,0.009678195565820138
2021,125052,0.012407438073189914
2022,133110,0.013800958882038349
2023,138266,0.013710075327774181
2024,117287,0.012437188154370142
