,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,1,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1,,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,,,,,,,,,,,,,,,,,,,,,,,,,
1992,1,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,1,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,2,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,1,,,,,,,,,,,,,,,,,,,,,,,,
2002,,1,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,1,,,,,,,,,,,,,,,,,,,,,
2006,1,2,,,,,,,,,,,,,,,,1,,,,,,,,
2007,,1,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,1,,,,,,,,,,,,,,,,,,,,,
2009,,4,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,1,,,,,,,,,,,,,,,,,,,,,
2012,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,2,,,,,,,,,,1,,,,,,,,,,,
2014,3,,,,,,,,,,,,,,1,,,,,,,,,,,
2015,1,,,,,,,,,,,,,,1,,,,,,,,,,,
2016,,,,,1,,,,,,,,,,,,,,,,,,,,,
2017,,1,,,1,,,,,,,,,,1,,,,,,,,,,,
2018,,,1,,1,,,1,,,,,,,,,,,,,,,,,,
2019,,,,,1,,,,,,,,,,,,,,,,,,,,,
2020,,1,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,
2022,1,5,,,1,,,,,,,,,,1,,,,,,,,,,,
2023,1,,,,1,,,,,,,,,1,,,,,,,1,,,,,
2024,3,2,,,1,,,,,,,,,,1,,,,,,,,,,,
