,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,64,6,58,121,25,50,22,5,35,4,1,53,5,4,12,14,30,6,6,29,2,5,,6,3,
1981,78,6,55,138,42,62,29,3,47,1,,60,6,1,20,8,53,14,1,37,2,5,1,6,4,1
1982,74,10,51,188,42,82,35,2,51,2,6,121,9,3,40,6,46,8,4,48,2,4,,2,5,
1983,104,10,44,227,35,92,41,7,61,2,7,97,7,1,23,16,61,7,4,42,2,5,,7,5,2
1984,146,14,66,244,53,123,49,17,88,2,4,119,21,7,52,22,94,5,11,38,4,11,,7,19,3
1985,186,14,62,355,60,91,76,5,137,4,4,196,10,1,52,30,113,12,10,57,4,6,1,17,10,2
1986,188,17,65,514,57,128,110,12,162,3,4,238,19,3,58,31,106,8,16,58,2,9,2,24,12,1
1987,260,21,78,627,71,156,134,5,174,7,3,264,19,13,52,44,169,21,9,55,11,16,7,15,20,
1988,418,22,116,692,69,215,127,10,233,4,4,291,26,7,86,41,183,24,15,57,13,22,8,25,27,3
1989,439,41,143,879,101,282,198,14,285,11,6,357,27,17,60,47,220,42,13,81,8,23,6,39,28,3
1990,891,42,153,1037,109,330,295,17,356,16,6,448,45,26,104,65,254,55,20,75,30,21,21,40,25,4
1991,1080,47,173,1315,131,393,400,17,395,26,14,542,40,32,99,67,300,56,22,77,32,28,19,36,32,3
1992,1438,54,205,1565,154,464,510,26,471,33,10,577,46,21,117,80,354,75,19,125,27,38,21,36,41,4
1993,1490,55,215,1786,174,534,570,31,591,31,6,598,53,31,103,83,393,44,24,123,40,42,18,49,35,4
1994,1693,92,200,1897,191,524,677,28,584,31,15,736,48,41,117,96,419,67,19,155,36,67,22,57,43,7
1995,1839,62,216,1948,216,582,659,43,586,46,12,699,74,59,111,149,387,104,18,169,47,70,24,60,48,5
1996,2192,100,228,2274,291,698,783,58,705,58,17,721,92,61,128,162,469,118,21,194,53,72,29,76,65,3
1997,2144,136,236,2439,315,726,915,59,761,65,20,680,97,71,170,173,516,132,17,202,59,98,43,52,63,7
1998,2368,144,277,2602,390,841,941,67,783,65,24,779,124,78,193,154,497,126,18,249,62,81,33,61,58,4
1999,2503,207,322,3103,404,922,1103,95,922,69,30,884,174,139,226,182,585,151,31,259,51,129,41,72,75,10
2000,2731,467,404,3587,556,1081,1475,144,968,79,92,1028,231,228,276,198,630,167,44,336,70,156,51,76,100,8
2001,3068,653,421,4454,680,1150,1621,161,1108,109,144,1082,305,286,342,226,669,176,68,377,68,217,66,99,109,5
2002,3511,866,467,7646,741,1264,5041,188,1353,157,154,1361,354,427,395,269,671,176,84,385,67,335,72,95,110,6
2003,3945,881,519,6717,800,1487,3481,235,1421,135,188,1349,417,565,382,265,711,199,102,398,100,324,71,117,130,11
2004,4642,658,553,6876,747,1693,3086,286,1651,187,122,1518,417,508,404,350,674,240,80,313,102,361,95,112,107,5
2005,4925,770,585,7923,943,1925,4273,309,1827,222,136,1789,475,640,412,355,780,249,107,376,107,421,92,110,118,7
2006,5502,852,647,9526,1145,2152,4720,397,2070,222,115,1901,495,813,515,367,784,328,146,406,119,586,103,127,141,7
2007,5541,826,626,9486,990,2043,4469,457,2317,263,132,2072,556,886,502,400,745,299,189,426,89,636,93,115,132,8
2008,6350,947,654,9777,1109,2323,4811,517,2351,268,176,1958,677,1100,580,480,785,325,258,424,91,718,121,152,145,15
