,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,38,12,25,4,11,41,3,1,3,1,,3,1,1,2,7,4,8,,1,3,2,,1,,2
1981,31,7,19,5,14,47,3,3,3,1,,5,1,1,1,13,3,11,,,4,1,,,1,1
1982,42,8,12,3,10,44,3,7,2,2,,2,1,1,2,5,6,14,1,1,2,,,,1,4
1983,50,13,19,3,7,37,2,5,,3,1,1,1,,,10,2,19,,1,4,,,,,
1984,45,12,20,8,16,40,3,,,,,,,1,6,6,2,12,2,1,3,,1,,,1
1985,34,11,25,9,8,29,4,3,2,1,2,3,1,1,,5,2,16,1,2,1,,1,,,
1986,44,12,27,8,14,29,4,2,3,3,,1,,1,4,5,1,10,,1,3,1,4,,2,4
1987,28,10,15,9,19,32,,1,1,1,1,2,,2,3,5,4,15,,,5,,1,1,,
1988,38,19,21,15,15,27,3,3,3,4,2,,2,1,,4,4,11,1,3,1,,2,,1,1
1989,42,15,16,18,14,33,2,2,1,2,4,3,2,,2,3,,16,,,1,,4,2,,1
1990,60,18,38,13,14,24,3,1,1,2,3,,7,1,2,5,2,14,,4,3,1,4,,,3
1991,62,16,22,17,13,32,1,5,3,2,2,,2,1,3,3,2,12,,3,3,,4,1,1,
1992,65,19,30,10,21,31,1,3,4,3,3,,5,3,10,4,2,9,,1,5,2,4,,,1
1993,73,10,29,18,22,25,,6,4,6,2,,5,7,,3,2,17,2,1,5,1,5,,,
1994,82,18,37,18,18,23,2,4,4,12,1,,4,4,4,,1,16,2,1,5,,2,1,,
1995,88,15,25,6,22,22,1,7,1,11,1,1,5,3,7,1,2,10,,1,7,1,4,,,4
1996,91,14,31,3,18,20,3,6,1,4,,,6,6,7,5,1,23,1,,2,,5,,1,1
1997,74,14,35,6,21,18,4,2,2,14,2,1,1,,6,1,2,25,1,2,5,1,3,1,,3
1998,80,17,44,20,32,12,5,3,1,8,1,1,5,3,3,3,,19,,,1,1,2,2,1,6
1999,82,19,31,13,42,18,2,4,4,14,1,3,4,5,8,3,2,23,3,1,3,1,1,3,,3
2000,93,40,35,11,29,18,4,4,5,14,3,1,5,4,10,,1,23,1,1,9,2,,2,,1
2001,114,20,41,15,30,17,6,3,3,13,4,,8,9,18,1,2,27,1,3,6,1,4,3,,3
2002,111,28,32,32,44,15,7,6,5,17,2,,9,6,13,3,6,18,1,5,3,3,8,,,4
2003,124,27,56,26,40,27,5,4,1,9,3,3,13,9,13,2,2,22,1,4,5,,3,1,,5
2004,151,19,61,32,65,26,5,7,5,14,3,2,9,8,19,7,3,27,2,,7,2,6,,1,3
2005,169,47,57,27,78,28,3,9,5,17,9,3,10,10,12,2,1,26,,1,11,5,2,2,,6
2006,232,59,74,28,70,30,12,22,10,42,3,4,12,13,16,4,1,29,3,2,13,3,12,3,2,1
2007,258,53,71,33,102,35,10,13,5,23,5,2,23,12,13,5,3,22,,2,10,4,4,2,1,2
2008,284,68,69,45,84,32,13,15,2,41,9,3,14,15,20,6,1,36,,2,11,2,5,2,,3
2009,323,73,104,45,117,39,15,24,6,53,9,,21,14,26,3,5,46,,5,13,4,9,2,1,6
2010,372,100,103,31,113,35,16,18,5,51,15,,15,20,18,9,1,54,1,4,10,5,7,5,,8
2011,428,116,89,48,120,47,27,17,14,41,15,6,23,27,16,4,3,43,,2,19,7,5,2,,1
2012,539,129,152,48,144,81,29,27,16,51,17,7,45,25,24,4,8,64,4,3,19,5,9,5,,3
2013,512,153,124,68,145,59,27,16,12,61,15,21,33,45,23,13,7,37,5,2,27,19,5,2,,2
2014,605,190,262,127,216,75,61,28,12,60,13,7,47,46,31,7,10,61,7,6,41,25,4,6,,4
2015,696,199,236,99,200,69,59,40,31,68,18,57,48,77,20,12,8,70,10,5,40,18,8,7,,10
2016,634,237,276,71,249,72,59,29,14,77,30,14,55,85,38,8,12,69,10,15,45,22,3,5,,6
2017,754,316,276,103,223,76,60,45,12,70,41,27,66,67,49,9,11,77,3,6,56,34,11,3,2,3
2018,734,355,345,116,270,95,76,46,15,71,49,6,85,99,38,4,5,85,9,7,54,53,9,4,1,9
2019,951,375,416,141,304,119,95,46,18,121,31,27,96,120,36,6,4,95,11,21,91,42,11,5,4,8
2020,1363,467,478,187,391,111,101,83,27,142,37,8,145,186,44,10,15,145,11,31,95,57,10,8,1,18
2021,1300,538,483,215,555,129,114,111,30,152,60,15,145,192,56,20,27,124,24,50,89,59,10,11,2,18
2022,1422,722,499,235,598,174,183,147,37,132,177,23,191,259,60,18,13,161,23,60,91,75,10,11,,12
2023,1561,816,571,286,610,177,178,119,44,199,66,26,225,362,63,26,18,152,22,58,114,91,12,9,1,15
2024,1616,747,494,251,469,145,177,117,39,160,55,14,213,265,62,15,13,143,15,29,99,66,20,10,3,13
