,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,102,7,9,,4,8,4,3,1,3,5,1,,2,2,,1,1,1,,,,1,2,,
1981,112,8,10,1,2,11,,7,1,4,4,,,1,1,4,,3,,1,4,1,,,,2
1982,61,5,6,,3,7,,,,2,3,2,,1,1,5,1,1,,,1,2,1,,,
1983,33,2,8,,1,11,,2,,1,,,,1,2,4,,,,,2,1,,,,1
1984,21,7,16,1,12,9,2,1,1,4,4,1,,1,3,4,,1,1,,2,,,,,
1985,39,8,16,1,15,6,1,2,,1,3,2,3,,7,,,,1,,2,,1,,,
1986,24,5,8,2,4,3,1,1,,3,1,1,2,2,5,5,1,,1,,,1,,,,1
1987,24,8,15,2,6,10,,,1,,1,2,3,,1,2,2,,1,,,,,1,,1
1988,28,9,14,,8,16,1,1,,2,1,1,,,5,5,,1,,1,,,,,1,
1989,20,9,4,1,4,4,,3,1,1,,4,,,1,6,1,1,1,2,,,,,,
1990,33,7,20,,6,14,3,2,,3,1,4,1,,3,10,3,3,3,2,,,,2,,
1991,44,5,9,5,6,13,3,1,,3,3,6,,,2,7,3,2,,3,1,,,1,1,
1992,44,25,15,4,7,18,3,5,,4,5,5,1,1,2,8,8,4,,,2,,,,,2
1993,64,15,16,6,7,18,2,2,4,4,4,6,,,6,8,6,4,,1,4,1,,,,
1994,75,18,17,8,10,19,2,3,3,3,4,5,2,1,2,12,,4,,5,,2,1,2,,2
1995,78,17,19,7,13,30,5,7,1,4,3,7,1,1,5,16,10,3,1,5,1,,2,1,,
1996,109,28,17,16,5,35,3,3,6,2,3,24,4,2,4,13,4,5,2,7,,1,,,,2
1997,117,27,44,11,18,35,14,6,3,3,11,19,3,4,4,14,12,13,3,11,1,2,,1,,1
1998,131,22,44,9,18,45,16,4,7,5,7,20,5,3,7,10,7,5,1,8,,1,,1,2,2
1999,129,25,29,14,25,35,16,8,7,8,6,15,9,3,8,11,8,5,2,7,1,,1,2,,3
2000,137,46,33,12,21,50,16,8,6,6,15,17,8,4,11,10,22,11,,8,4,1,,3,1,3
2001,167,58,41,19,29,40,25,4,5,12,16,20,14,1,14,17,19,7,3,9,,2,,,2,2
2002,159,70,56,36,29,63,26,11,5,10,11,23,12,5,17,26,22,9,2,13,2,4,1,1,2,2
2003,183,85,59,32,46,46,27,7,11,6,13,16,17,11,17,18,17,16,,13,3,10,,,,2
2004,203,95,70,46,45,72,28,10,11,13,15,18,10,9,21,14,26,12,,10,2,7,,1,2,2
2005,259,199,79,43,39,60,38,14,13,19,20,17,14,8,29,23,28,9,3,5,6,12,3,2,,3
2006,286,133,94,52,58,91,50,20,14,32,17,20,31,16,14,20,27,20,3,11,6,6,3,3,,9
2007,303,161,95,39,58,91,61,25,20,32,17,16,30,10,21,16,20,25,4,12,7,6,2,3,1,3
2008,317,204,168,55,73,95,52,44,23,21,29,16,24,16,24,29,32,14,3,23,7,23,6,3,,4
2009,341,178,123,50,104,87,80,18,18,35,31,28,26,25,32,24,24,15,4,27,9,24,8,3,2,4
2010,387,252,189,57,99,145,76,38,15,47,54,20,41,41,38,32,32,23,4,20,11,26,5,5,2,9
2011,404,313,174,66,116,166,82,33,38,47,53,25,41,29,44,29,30,35,5,35,13,24,6,3,1,15
2012,442,297,226,85,121,160,103,31,27,58,61,18,43,29,34,28,31,42,7,32,11,34,16,9,7,10
2013,441,346,213,79,150,174,113,51,31,58,67,33,56,46,39,41,52,35,10,29,14,32,15,9,6,14
2014,539,449,210,76,185,149,141,53,32,70,62,33,38,33,54,33,30,35,9,40,13,36,17,11,3,13
2015,577,477,279,135,162,191,168,83,32,80,95,37,68,56,49,36,47,34,6,33,16,30,25,10,3,25
2016,599,672,277,126,198,179,155,70,32,101,114,36,65,74,46,32,34,48,7,40,25,36,63,10,4,15
2017,666,623,277,140,211,194,125,68,52,95,100,38,70,55,74,44,39,39,13,40,23,50,30,11,4,23
2018,703,637,324,161,236,227,166,81,53,74,113,48,57,79,75,55,39,43,14,37,17,49,29,10,3,28
2019,753,756,363,158,244,234,170,89,40,146,136,52,58,73,56,39,39,47,10,48,25,43,34,15,7,25
2020,999,909,385,182,337,258,181,124,43,231,134,50,79,85,66,68,40,69,18,42,23,43,27,8,1,33
2021,1132,869,420,173,339,273,231,151,44,210,132,50,84,91,81,68,30,55,13,52,28,42,40,25,2,37
2022,900,665,357,174,340,294,198,132,32,192,108,55,102,76,77,64,37,55,19,37,24,41,50,18,3,30
2023,1072,749,436,166,338,279,216,157,41,187,116,48,88,77,84,48,32,46,20,46,29,35,38,15,4,31
2024,981,532,329,180,275,255,155,123,31,186,54,42,62,57,61,71,28,41,13,45,23,37,47,10,6,19
