,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,1,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,2,,,,,,,,,,,,,,,,,1,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,2,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,1,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,1,,,,,,,,,,,,
1994,1,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,1,,,,,,,,,,,,,,,,,,,,,,,,
1996,2,,,,,,,,,,,,,,,,,,,,,,,,,
1997,2,1,,,,,,,,,,,,,,1,,,,,,,,,,
1998,3,1,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,1,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,1,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,1,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2009,1,,,,1,1,,,,,,,,,,,,,,,,,,,,
2010,,,1,,,1,,,,,,,,,,,,,,,,,,,,
2011,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2012,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,,,,,,1,,,,,,,,,,,,,,,,,,
2014,4,1,,,1,,,,,,,,1,,,,,,,,,,,,,
2015,2,1,,,,1,,2,,1,,,,,,,,,,,,,,,,
2016,4,1,,,,,,,,1,,,,,,,,,,,,,,1,,
2017,12,1,,,,1,,1,,,,,,,,1,,,,,,,,,,
2018,10,,,,,1,,,,,,,,,,,1,,,,,,,,,
2019,7,3,1,,,,,,,,,,,,,,,1,,,1,,,,,
2020,9,3,,,,5,,1,,,,,,,,,,,1,1,,,,,,
2021,12,1,,2,2,,,1,,1,1,,,,1,,,,,,,,,,,
2022,11,4,,1,1,,,,,,,,1,,,,,,,,,,,,,
2023,18,,,,,,,2,,1,,,1,,,,,,,,,,,,,
2024,19,3,1,2,1,,,1,,,,,1,,,,,1,,,,,,,,
