,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,85,27,41,52,18,55,5,2,17,9,11,32,3,2,22,16,24,4,7,12,,2,1,1,2,1
1981,92,32,47,39,18,31,7,6,13,8,12,25,9,5,9,7,29,12,2,11,2,2,1,4,2,2
1982,113,52,66,46,33,36,6,8,15,11,22,40,6,10,16,9,27,10,6,15,3,1,2,2,1,2
1983,124,42,43,50,19,34,11,9,27,11,8,37,2,2,10,17,33,3,2,16,2,2,1,2,2,1
1984,122,41,63,44,30,46,15,7,21,8,10,37,7,2,10,12,33,16,4,15,5,2,,4,5,
1985,92,41,57,46,22,27,9,9,19,3,16,29,7,7,11,12,27,10,6,11,5,,1,,2,
1986,109,38,43,38,29,29,11,8,21,8,8,49,9,4,12,13,34,11,7,22,2,1,1,,2,2
1987,99,29,46,47,30,50,6,5,25,7,17,50,4,3,10,9,30,6,2,15,5,,2,,1,2
1988,98,40,40,49,25,37,12,7,15,10,8,45,4,2,11,18,28,11,2,12,5,1,2,1,1,2
1989,102,34,47,50,33,36,8,7,18,8,10,43,6,3,12,18,33,10,4,15,6,1,4,1,3,1
1990,141,44,47,50,31,43,15,5,24,11,12,44,7,3,17,18,41,13,8,17,9,1,,1,5,1
1991,122,44,54,66,26,48,16,7,15,10,15,50,10,8,13,19,47,14,6,26,7,4,3,2,2,1
1992,125,31,63,92,47,50,23,7,20,7,18,57,4,2,15,9,40,16,,38,4,3,1,1,2,4
1993,240,88,84,72,50,59,15,11,22,26,24,56,5,4,19,19,47,20,4,30,5,5,1,4,8,4
1994,213,87,89,95,53,70,19,11,33,12,21,53,4,4,19,17,54,11,8,20,8,4,1,4,8,2
1995,185,99,80,79,50,64,18,11,37,12,20,75,11,11,20,21,61,35,3,29,13,5,1,4,8,5
1996,208,129,144,110,58,72,25,8,35,16,41,63,19,14,20,13,52,24,9,33,5,6,,7,7,1
1997,193,155,179,118,62,93,26,16,54,28,42,71,11,8,19,15,63,19,8,27,16,4,2,6,5,4
1998,241,128,171,161,66,76,38,12,53,27,48,73,15,11,31,17,64,37,9,35,13,2,1,4,8,7
1999,258,201,209,205,72,114,46,21,80,31,46,76,25,24,50,21,81,45,9,29,15,7,5,4,7,9
2000,310,234,231,191,108,114,56,24,66,42,60,75,24,20,44,31,81,31,24,44,23,4,7,3,8,7
2001,338,314,231,269,114,102,60,20,73,39,74,112,27,33,43,18,90,44,13,60,13,6,11,3,8,12
2002,444,316,332,427,100,121,152,25,72,53,76,112,35,41,41,36,90,32,14,48,25,9,9,8,14,12
2003,440,323,309,255,133,148,94,25,91,42,89,114,38,47,56,34,101,53,17,30,21,10,9,12,10,8
2004,448,426,354,204,120,149,112,32,67,45,93,96,34,49,41,30,91,33,22,38,29,19,11,5,12,4
2005,469,529,392,295,167,132,151,46,94,55,130,102,51,74,74,27,80,34,24,47,30,18,9,7,15,11
2006,549,627,449,356,192,144,159,59,104,107,118,134,54,95,78,20,77,66,39,38,24,18,20,10,14,15
2007,624,742,528,339,210,165,167,69,104,100,141,102,59,111,71,30,92,65,28,59,35,20,19,11,18,18
2008,660,869,538,349,250,169,192,73,103,128,153,90,64,135,69,24,86,77,40,55,36,20,44,10,12,14
2009,670,840,613,297,225,187,189,101,95,112,165,102,113,141,97,36,99,61,32,43,38,26,28,11,9,41
2010,673,732,544,328,243,169,177,86,91,113,245,91,93,167,87,19,91,72,42,59,37,26,15,7,16,20
2011,660,834,435,321,205,155,199,98,97,133,147,85,148,179,87,15,90,39,52,67,25,22,25,10,16,21
2012,615,733,438,259,192,139,195,91,92,121,141,72,90,120,59,23,78,63,38,54,29,15,12,12,16,16
2013,632,709,387,260,221,136,179,102,81,126,177,77,94,177,75,27,75,60,34,62,35,29,16,11,13,9
2014,598,799,354,320,190,141,169,96,84,121,149,75,112,138,66,17,61,49,41,70,25,23,10,9,12,14
2015,598,725,326,264,173,134,207,76,88,115,151,83,125,134,73,19,70,47,39,54,16,20,18,14,12,10
2016,574,736,342,252,242,120,199,68,67,139,131,86,117,110,93,13,69,49,39,47,17,16,19,9,11,6
2017,537,798,315,245,193,111,159,72,78,111,192,76,138,137,57,18,56,31,35,52,13,24,16,8,11,3
2018,541,665,280,217,185,96,185,59,59,137,153,60,143,93,43,19,51,36,35,47,15,14,29,12,9,5
2019,512,687,259,179,207,92,156,63,68,109,145,48,129,93,56,14,50,34,37,41,13,20,19,9,6,2
2020,617,811,311,221,261,108,219,124,60,131,174,61,200,101,66,24,63,28,38,47,18,16,36,10,7,4
2021,698,861,292,197,245,101,250,107,51,145,118,81,238,128,69,26,47,44,24,38,16,27,45,9,10,5
2022,620,743,284,133,243,93,162,94,38,141,109,54,193,111,55,28,36,30,20,39,19,15,46,7,3,1
2023,668,750,288,162,230,109,170,95,42,155,89,47,207,105,52,21,42,29,25,18,9,20,45,11,7,4
2024,469,377,155,130,136,57,126,57,34,104,51,36,63,74,23,18,27,19,12,15,10,15,36,7,2,3
