,Documents,Share
1980,5,3.8584295882901295e-06
1981,22,1.7109611168532004e-05
1982,15,1.136202674318108e-05
1983,34,2.4822500866962347e-05
1984,32,2.247164184135442e-05
1985,52,3.5121656013097676e-05
1986,50,3.2059214651830516e-05
1987,46,2.7980535279805354e-05
1988,68,3.9580954110540293e-05
1989,47,2.5696048549130024e-05
1990,54,2.7138255844399292e-05
1991,96,4.818285393066688e-05
1992,65,3.128299754645044e-05
1993,82,3.773322700539447e-05
1994,95,4.148973478451324e-05
1995,89,3.663952185835655e-05
1996,122,4.633548945278926e-05
1997,148,5.423677135829398e-05
1998,196,6.741056750067755e-05
1999,190,6.313645282793156e-05
2000,353,9.667135600335967e-05
2001,308,8.423106879381109e-05
2002,365,8.56214392330571e-05
2003,311,6.87795934705829e-05
2004,388,7.89589787755009e-05
2005,474,9.026068198990908e-05
2006,548,9.56893685619215e-05
2007,550,8.787235310498557e-05
2008,430,6.463041771991702e-05
2009,501,6.948691059392446e-05
2010,620,8.043218548388456e-05
2011,493,5.885209525396649e-05
2012,572,6.623085528812854e-05
2013,648,7.127096925548563e-05
2014,844,8.779753638448496e-05
2015,851,8.670571174640281e-05
2016,700,6.910837071191198e-05
2017,610,6.115791585452798e-05
2018,627,6.273312936561799e-05
2019,694,6.746772437393063e-05
2020,569,5.1724916892421533e-05
2021,691,6.85597967931279e-05
2022,545,5.6506067092712046e-05
2023,85,8.428365634796736e-06
2024,36,3.81746292050547e-06
