,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,2,,1,,1,,,,,,,,,,,,,1,,,,,,,
1981,1,2,,,2,,,,,,,,,,,,,,,,,,,,,
1982,,,,1,2,1,,,,,,,,,2,,,,,,,,,,,
1983,1,1,6,1,5,,,1,,,1,,,,3,,,,,,,,,,,
1984,,3,2,,4,,,,,,,,,,2,,,,1,,,,,,,
1985,1,3,1,,1,,1,,,,1,,,,3,,1,,,,,,,,,
1986,,3,1,,2,1,1,,,,,,,,,,,2,,,,,,,,
1987,1,,1,,1,,1,,,,1,,,,1,,,,1,,,,,,,
1988,,2,1,1,2,1,,,,,,,1,,1,,,,,,,,,,,
1989,2,1,2,2,3,2,,,,,,,,,,,,,,,,,,,,
1990,,1,2,,2,,,,,1,,,1,,,,,,,,1,,,,,
1991,,1,1,,,4,,,,1,,,1,1,2,,,,,1,,,,,,
1992,1,1,4,,3,1,1,2,,,,,,,2,,,,,,,,,,,
1993,3,2,4,,5,3,,1,,,,,,1,1,,,,,1,,,,,,
1994,,2,1,2,3,,,1,,2,1,,2,,,,,,,,,,,,,
1995,,1,4,1,4,1,,,,,,,,,,,,,,,,,,,,
1996,1,,,1,4,2,,1,,,1,1,,3,,,,1,,,,,,,,
1997,,2,2,1,2,2,1,,,,,1,,1,,,,,,1,,,,,,
1998,4,1,5,2,3,1,1,,,1,,,,,,,1,,,,,,,,,
1999,,1,2,1,,1,,,,1,,,,2,1,,,,,2,,,,,,
2000,3,2,3,,5,1,,1,,,,,,,,,,,,,,,,,,
2001,2,2,5,,,,,2,,,2,2,,,,,,,,,,,,,,
2002,1,,2,,1,1,,,1,,,,,,1,,,,,1,,,,,,1
2003,4,,2,,5,,3,1,,,,,1,,1,,,,,2,,,,,,
2004,3,5,4,,1,3,2,2,,2,1,,3,3,1,,1,,,,,1,,,,
2005,4,5,3,,6,2,1,1,,,2,,,,,,,,,1,,,,,,
2006,1,5,1,1,11,3,8,1,,3,1,1,,1,1,,2,,,,,,1,,,1
2007,6,1,,,10,3,2,2,,1,,6,,,3,1,2,,,2,,,,,,
2008,2,2,3,,10,1,,,,1,,1,,1,1,,,,,,,,,,,
2009,1,5,2,,14,,3,3,,,1,6,,1,,,,2,,,,,,,,
2010,4,3,2,2,13,3,1,,,,1,4,2,1,1,,,1,,,,,,,,
2011,10,2,2,1,8,3,5,,,1,2,7,,3,5,,,,,,,,,,,
2012,4,5,1,,6,3,,1,1,,,3,1,1,3,,1,,,,,,,,,
2013,2,6,3,1,16,1,,2,,,1,5,2,1,2,,,,,,,2,,,,
2014,6,9,3,1,15,5,,2,,1,1,2,,3,3,,,,,,,,,,,
2015,3,5,2,3,15,2,1,,1,,2,5,1,2,2,,,,,,,,,,,
2016,7,5,9,2,21,3,,1,1,3,,7,,1,7,,,,,1,,1,,1,,
2017,13,7,7,,14,4,6,4,,,2,12,,2,1,,1,,,,,,,,,
2018,9,7,3,2,29,3,1,1,,2,1,8,1,15,3,1,,,,,,,,,,
2019,6,4,6,1,24,5,2,4,,3,1,7,,,9,1,,2,,1,,,,,,
2020,12,8,3,2,29,4,3,2,,4,,7,1,11,8,1,,2,,2,,2,,,,
2021,19,17,12,4,36,5,2,2,,3,1,4,2,3,8,1,,4,,,1,,,,,
2022,19,14,4,4,34,7,1,7,1,2,,7,,3,6,,,2,,,3,1,,,,
2023,13,17,5,2,48,5,2,4,,6,3,5,2,5,15,,,1,,,,,,,,
2024,9,6,5,5,26,2,1,3,1,3,4,3,,2,4,2,,1,,1,,,,,,
