,Documents,Share
1980,6,4.630115505948155e-06
1981,5,3.888547992848183e-06
1982,9,6.817216045908648e-06
1983,19,1.3871397543302488e-05
1984,13,9.129104498050235e-06
1985,12,8.104997541484078e-06
1986,11,7.053027223402714e-06
1987,7,4.257907542579076e-06
1988,9,5.238655691100921e-06
1989,13,7.1074176838019215e-06
1990,8,4.0204823473184136e-06
1991,12,6.02285674133336e-06
1992,15,7.2191532799501015e-06
1993,21,9.663387403820536e-06
1994,14,6.114276705086161e-06
1995,12,4.940160250564928e-06
1996,16,6.076785502005149e-06
1997,13,4.764040727417714e-06
1998,19,6.53469786996364e-06
1999,11,3.6552683216170908e-06
2000,16,4.381704521398739e-06
2001,16,4.375639937340836e-06
2002,9,2.111213570130175e-06
2003,19,4.201968732929502e-06
2004,33,6.715583246369922e-06
2005,26,4.951007872864211e-06
2006,42,7.333856714599823e-06
2007,39,6.230948674717159e-06
2008,22,3.3066725345073826e-06
2009,42,5.825249989909835e-06
2010,38,4.92971459417357e-06
2011,51,6.088147784893085e-06
2012,30,3.4736462563703776e-06
2013,44,4.839386801298408e-06
2014,51,5.30530136920466e-06
2015,45,4.584908376719303e-06
2016,70,6.9108370711911985e-06
2017,74,7.4191570053033935e-06
2018,86,8.604544059717938e-06
2019,76,7.3883963291336135e-06
2020,103,9.363209911984918e-06
2021,129,1.2799151644447901e-05
2022,120,1.2441702846101735e-05
2023,133,1.3187913287387834e-05
2024,78,8.271169661095185e-06
