,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,2,1,1,,,,1,,,,,,,,,,,,,,,,,,,
1982,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,1,,,,,,,,,,,,,,,,,,,,,,,
1985,3,,,,,,1,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,3,,,,,,,,,,1,,,,,,,,,,,,,,,
1988,,,2,,,1,,,1,,,,,,,,,,,,,,,,,
1989,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
1990,,,1,,,1,,,,,,,1,,1,,,,,,,,,,,
1991,1,,2,,,,,,,,,,,,,,,,,,,,,,,
1992,2,4,2,,,1,,,,,,,,,,,,1,,,,,,,,
1993,1,1,,,,,,,,,,,1,,,,1,,,,,,,,,
1994,2,1,1,,3,,,,,,,,,1,,,,,,,,,,,,
1995,2,3,,1,1,,,,1,,,,,,,,,,,,,,,,,
1996,,1,,,,,,,,,,,,,,,,,,,,,,,,
1997,,1,2,,1,,,,,,,,,,,,,,,,,,,,,
1998,2,2,,,2,,,,,,,,,,,,,,,,,,,,,
1999,1,1,2,,3,1,,,,,,,,,,,,,,,,,,,,1
2000,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,
2001,,2,,,1,1,,1,,1,,,,,,,,,,,,,,,,
2002,,1,5,,1,,,,,,,,1,,,1,,,,,,,,,,
2003,,3,5,,,,,,,,1,,,,,,,1,,,,,,,,
2004,1,,3,,,,,,,1,,,,,,,,2,,,,,,,,
2005,1,4,2,,3,,,,,,,,,,,,,,,,,,,,,
2006,2,3,1,,2,,,1,,,1,,,,,,,,,,,,,,,
2007,2,2,2,1,,,,1,,,,,,,,,,,,,,,,,,
2008,4,3,,2,,1,1,,,,,,,,,1,,,,,,,,,,
2009,1,2,2,,2,3,,,,1,,,,,,,,,,,,,,,,
2010,1,6,3,1,3,1,,2,,,,,,,,,,,,,,,,,,
2011,4,7,5,2,3,1,,2,,,,,,,,,,,,,,,,,,
2012,3,4,1,2,2,2,2,1,,1,,,,,1,,,,,,2,,,,,
2013,1,7,,,6,,,1,,1,,,,,1,,,,,,,,,,,
2014,3,9,5,,4,2,,,,2,,,1,2,3,,,,,,,,,,,
2015,,5,3,,1,,,,,,1,,,1,,,,3,,,,,,,,
2016,8,9,10,2,3,2,,1,,,1,,,2,,,,1,,1,1,,,,,
2017,7,8,10,1,5,3,2,,,3,2,,,2,,,,1,,,1,1,,,,
2018,7,13,8,1,6,3,,,,4,,,1,1,,,,1,,,1,,,,,
2019,15,12,10,,5,2,1,1,,3,1,,1,1,1,,1,3,,,1,,,1,,
2020,26,17,17,,6,5,,3,,3,,,3,2,1,,,2,,,5,,,1,,
2021,29,14,6,,14,4,1,2,,3,,,,6,4,,1,,1,,1,,,,,
2022,23,25,16,,8,14,2,4,,5,1,1,,2,4,,,1,,,,1,,,,
2023,13,25,6,,6,12,2,2,,1,,,3,3,1,1,,1,,,1,2,,,,
2024,24,20,2,,6,3,,,,2,2,,,3,1,1,,,,,,,1,,,
