,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,3,,,1,,,,,,
1981,,,,,,2,,,1,,,,,,,,,,,,,,,1,,
1982,,,,,1,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,1,,,,,,
1985,1,,,2,1,1,,,,,,,,,,,1,,1,,,,,,,
1986,3,,,,,,,,1,,,,,,,,,,,,,,,,,
1987,2,,1,,,,,,,1,,1,1,,,,,,,,,1,,,1,
1988,1,,,2,,1,,,,,,,,,,,,,,,,,,,,
1989,1,1,,,,,,,,,,,,,,,1,,,,,,,,,
1990,,,,,,,,,,,,2,,,,,1,,,,,,,,,
1991,2,,,1,2,,1,,,,,,,,,,,,,,,,,,,
1992,,2,,,1,,1,,,,,,,,,,,,,,,,,,,
1993,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
1994,1,,,,1,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,1,,,,,,,,,,,,,,,,
1996,3,1,,,,,,,,2,,,,,,,,,,,1,,,,,
1997,2,,,1,,,,,1,1,1,2,,,,,,,,,,,,,,
1998,,2,1,3,,1,,,1,,,,,,,,,,,1,1,,,,,
1999,,2,,1,,,1,,2,1,,2,,,,1,,,1,,,,,,,
2000,1,1,,1,1,,,3,1,,,,3,,1,1,,,,,,,,,,
2001,,1,,,2,,,,,1,,1,2,,,,1,,,,1,1,,,,
2002,1,2,,6,,,,,,1,,1,1,,,,,,,,,,,,1,
2003,3,5,1,2,,2,1,4,1,,,,1,,,1,1,,,,,1,,,,
2004,6,4,2,2,,4,,5,,5,,,,,,4,,,,,1,,,1,,
2005,7,2,2,11,,3,1,1,2,,1,1,2,,,,,,,,1,1,,,,
2006,29,6,8,16,1,2,3,2,2,2,,3,,,1,2,3,1,2,,2,,1,,1,
2007,26,6,5,16,5,5,5,1,1,3,,2,2,1,1,1,7,,2,3,1,,2,,,
2008,48,8,6,15,3,7,6,3,1,4,,,5,2,,4,2,2,4,5,,,1,,,1
2009,73,8,8,24,1,6,6,1,3,4,1,,9,3,,5,2,,2,6,1,,3,,2,
2010,74,14,10,33,11,6,5,4,4,6,2,2,12,1,3,3,10,6,4,7,,1,3,2,2,
2011,65,27,17,32,13,8,10,9,5,10,9,1,14,4,4,4,8,6,,7,6,2,8,,,1
2012,82,26,16,25,11,24,19,8,2,8,14,,26,15,5,2,4,4,1,6,4,4,6,1,,
2013,102,58,31,44,22,16,13,15,4,11,15,5,32,22,6,2,4,6,6,10,5,5,8,,1,
2014,113,54,21,44,15,22,15,7,3,7,10,2,27,17,2,4,3,5,2,19,1,4,9,,1,2
2015,121,83,25,48,27,14,29,23,4,21,16,3,51,36,4,6,6,2,2,9,5,3,15,,1,2
2016,143,82,29,61,38,20,38,17,3,24,23,7,62,34,4,2,3,7,6,14,6,4,18,1,1,1
2017,143,132,40,90,45,23,51,32,11,18,44,6,67,46,4,5,12,10,9,16,9,7,18,2,,
2018,166,208,52,114,51,32,70,22,7,36,55,3,89,76,6,7,12,3,13,19,6,9,16,5,,
2019,139,173,52,57,32,25,49,39,8,44,54,4,74,48,2,5,8,7,1,17,5,7,19,1,,
2020,167,180,46,46,44,27,40,36,21,22,44,2,79,62,8,4,6,8,7,16,14,7,9,,2,
2021,156,189,43,73,44,26,43,64,23,36,39,5,94,60,8,7,5,9,5,25,6,9,11,1,1,
2022,200,200,64,66,76,39,63,54,31,36,35,9,97,57,5,2,7,9,7,22,6,14,23,2,3,1
2023,212,199,65,79,79,33,63,56,38,35,51,7,89,61,9,12,7,6,5,16,4,18,16,1,5,
2024,179,154,45,78,48,31,58,39,32,27,35,6,56,53,10,5,10,6,4,22,6,5,28,6,3,
