,Documents,Share
1980,4,3.0867436706321032e-06
1981,5,3.888547992848183e-06
1982,1,7.574684495454053e-07
1983,,
1984,1,7.022388075423256e-07
1985,7,4.727915232532379e-06
1986,4,2.5647371721464413e-06
1987,8,4.8661800486618e-06
1988,4,2.328291418267076e-06
1989,4,2.1868977488621297e-06
1990,3,1.507680880244405e-06
1991,6,3.01142837066668e-06
1992,4,1.925107541320027e-06
1993,3,1.380483914831505e-06
1994,2,8.734681007265945e-07
1995,1,4.1168002088041066e-07
1996,7,2.6585936571272527e-06
1997,8,2.931717370718593e-06
1998,10,3.4393146684019155e-06
1999,11,3.6552683216170908e-06
2000,13,3.560134923636475e-06
2001,10,2.7347749608380225e-06
2002,13,3.049530712410253e-06
2003,24,5.307749978437265e-06
2004,34,6.919085768987193e-06
2005,35,6.6648182903941305e-06
2006,87,1.5191560337385347e-05
2007,95,1.5177951899952054e-05
2008,128,1.9238822018952043e-05
2009,170,2.3578392816301714e-05
2010,225,2.918909957076456e-05
2011,273,3.2589496966192396e-05
2012,318,3.6820650317526e-05
2013,446,4.9053784394979314e-05
2014,412,4.2858513021810196e-05
2015,560,5.705663757695132e-05
2016,654,6.456696349370063e-05
2017,856,8.582159995323926e-05
2018,1092,0.00010925769899083705
2019,879,8.54526364909006e-05
2020,912,8.290531494883733e-05
2021,998,9.901979334231787e-05
2022,1138,0.00011798881532386479
2023,1181,0.00011710470370229347
2024,950,0.00010073860484667213
