,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,1,2,2,,1,,,2,,,,,,,,,,,,,,,,,
1981,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,
1982,1,,1,1,,,1,,1,,,2,,,,,1,,1,,,,,,,
1983,1,1,1,2,,,3,,1,,,,,,2,,,,,,,,,,,
1984,3,1,1,4,,,,,,,1,2,,,3,,1,,,,,,,,,1
1985,3,1,5,1,,1,,,1,,,,1,,,,2,,,,,,,,,2
1986,5,1,1,4,,,2,,3,1,,1,,,,,,,1,,,,,,,
1987,3,1,4,7,1,,,,,,,1,,,,,,1,,2,,1,,3,,
1988,5,1,1,6,,,,1,1,,,1,,,,,4,,,1,,,,4,,
1989,6,1,2,7,,1,3,,2,,,3,,,1,,5,,,2,1,,,4,1,
1990,9,1,4,4,1,4,2,,2,,1,7,,1,2,,1,3,1,1,,,,,1,
1991,3,2,2,13,2,2,3,,3,2,,4,,,,,2,1,,1,,,,,,
1992,10,1,2,8,4,1,,,10,,1,3,,,2,,4,,,,1,,,1,,
1993,10,1,3,9,3,1,2,,9,1,,1,,,3,1,3,,,2,,,,1,1,
1994,2,,2,2,1,2,1,1,,,,,,1,1,1,,,1,4,,,,1,,
1995,3,2,2,10,6,,2,,2,,,,1,1,,,,,,3,,,,1,,
1996,4,3,4,14,1,1,4,,6,,3,3,1,3,2,1,2,,1,2,,,,,,
1997,6,4,3,19,3,1,5,2,12,,5,4,,4,,2,7,,,2,,,,,,
1998,8,2,5,13,3,5,4,1,9,,1,1,,2,3,1,4,1,2,,,,,,,1
1999,8,8,5,16,2,3,3,2,6,1,,1,1,,1,2,5,4,,4,1,2,,,,2
2000,10,4,7,23,2,4,3,1,14,1,,2,,1,1,1,2,2,2,2,,,,,,1
2001,18,2,9,13,,6,2,,10,4,1,,1,,3,3,,3,1,4,2,1,,,,1
2002,17,1,8,13,4,5,6,,4,,1,1,1,2,5,2,1,1,1,2,,,,2,,
2003,22,4,3,15,4,6,12,1,4,2,,3,4,,7,1,,3,,1,,1,,2,,
2004,25,6,6,27,7,6,11,2,11,3,4,4,1,1,3,1,3,2,,2,,2,2,6,,
2005,26,2,7,39,5,5,18,3,10,3,4,2,5,2,5,3,1,1,,5,1,1,,4,,
2006,39,9,7,34,9,5,14,2,11,5,1,7,3,6,7,1,8,3,1,3,,,2,1,2,
2007,30,6,8,32,13,14,15,1,25,1,3,6,4,4,7,2,7,2,2,5,4,1,5,5,3,
2008,46,12,15,54,12,7,21,3,23,2,4,6,5,5,5,1,15,1,3,9,3,1,2,,2,
2009,57,10,25,48,18,12,24,3,13,3,3,9,11,5,8,1,9,9,2,1,2,2,3,4,,
2010,71,34,34,102,18,22,36,10,27,5,5,17,7,10,10,,11,11,,7,2,3,6,6,5,1
2011,87,22,16,157,9,23,47,6,51,14,6,16,9,13,13,7,20,9,4,18,6,5,5,2,6,
2012,98,16,34,182,28,25,61,6,32,4,12,29,5,16,18,3,23,10,1,11,6,3,3,6,,
2013,110,35,26,252,36,35,102,9,68,17,9,15,11,18,22,7,11,20,8,17,7,11,17,3,6,
2014,147,42,36,247,43,36,105,10,63,19,29,25,13,32,24,4,14,11,6,21,2,10,20,11,5,
2015,138,48,42,170,32,30,90,12,43,19,16,15,9,31,14,2,18,11,10,13,6,10,25,6,3,
2016,153,61,38,142,28,38,76,8,49,22,27,26,14,27,10,5,22,10,3,23,3,10,36,8,4,
2017,147,44,55,130,28,30,83,11,55,14,20,37,12,28,15,6,19,15,7,32,8,12,45,15,13,4
2018,178,52,69,228,55,46,121,17,60,25,33,34,19,42,21,2,39,26,13,30,6,16,34,13,4,5
2019,225,80,91,255,48,63,160,15,80,28,32,35,14,71,18,7,37,24,20,69,6,24,41,12,9,
2020,358,88,109,347,81,81,175,43,105,55,43,20,26,85,12,11,87,25,17,177,17,36,53,26,3,
2021,408,142,136,380,103,108,318,51,116,61,34,39,33,107,29,24,77,23,34,231,22,80,50,22,6,
2022,466,154,142,458,147,110,290,68,174,54,35,56,50,81,34,18,65,32,41,190,37,78,69,22,7,4
2023,688,273,175,518,158,106,356,79,189,96,64,57,87,159,28,28,66,54,45,141,39,88,88,28,13,2
2024,758,228,119,413,120,111,319,65,144,144,47,55,62,125,15,35,52,36,27,126,24,49,104,15,8,3
