,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,5,18,3,2,3,3,3,1,,,1,1,1,,1,,,3,,1,,,,,,
1981,11,12,9,3,3,1,2,,2,1,,1,1,1,1,,,1,,,,,,,,
1982,7,15,5,2,1,1,,,1,1,1,,3,,,,1,2,1,1,,1,,,,
1983,16,10,6,,,,1,,1,3,1,,1,,2,,1,2,,,1,,,,,
1984,10,16,6,2,4,,2,,1,1,1,3,,,5,1,2,1,,,,,,2,,
1985,14,19,5,2,1,1,4,1,,,3,,5,3,2,,,6,,,1,,,,,
1986,13,12,6,1,,1,2,1,,5,1,2,1,2,3,,,6,,,2,,,,,
1987,11,11,7,4,7,2,3,1,1,2,2,1,1,,,1,,2,,3,3,1,,,,
1988,25,15,6,2,2,2,3,4,,3,,,6,1,3,1,1,7,,,1,2,,,,2
1989,29,11,10,2,3,1,2,,,3,1,2,2,1,,,,5,1,,1,,,,,
1990,35,7,9,1,3,3,1,1,1,4,1,,3,,3,,1,6,,2,2,1,,,,2
1991,31,15,11,2,6,,1,1,,1,,1,2,,1,1,,3,,2,1,2,,,,
1992,28,2,14,4,3,7,2,,2,4,,1,3,,1,,,5,1,,1,,,,,
1993,30,7,15,4,5,2,1,1,1,3,2,,6,3,2,,,4,1,,,,,,,
1994,28,13,10,6,4,2,1,,,1,2,,2,1,2,,1,5,,,,,,,,
1995,43,13,2,6,1,2,,1,1,6,,,4,,1,,,10,,,1,,,,,
1996,33,14,13,5,1,,,1,,3,1,,3,2,,,,6,,,2,,,,,
1997,42,8,15,9,6,5,1,1,1,9,2,1,4,3,1,,1,6,,,,,,,,1
1998,41,3,13,4,8,2,1,4,,7,1,,3,,1,2,2,11,,,,,1,1,,1
1999,34,8,19,3,6,,3,,1,3,,5,5,,2,,1,2,1,3,,,,,,
2000,40,7,11,2,6,4,,6,,6,3,3,3,,3,,,6,,,1,1,,,,
2001,46,9,13,5,5,8,,3,,7,4,2,2,,3,1,,6,1,1,4,,,,,1
2002,50,9,13,10,7,9,4,6,1,3,3,1,5,1,,3,,12,1,1,2,,,,,2
2003,66,14,13,7,7,5,3,3,1,7,1,2,6,1,1,1,,7,,2,1,,,,,
2004,57,17,19,12,9,9,2,10,2,8,4,,2,3,3,2,,8,,1,2,1,,,1,
2005,65,16,14,10,19,8,2,4,,12,6,1,7,5,,2,1,12,1,,3,1,,1,,2
2006,92,21,11,9,11,7,3,6,,15,2,3,4,2,3,3,1,17,,1,3,2,,,,5
2007,115,24,23,11,16,7,4,6,2,15,1,,4,7,2,1,,7,,,7,1,1,1,,4
2008,145,31,13,11,14,8,3,14,,17,3,1,11,4,2,1,,8,1,3,6,4,,,,2
2009,149,24,12,8,15,13,7,10,,19,9,2,6,2,4,3,,19,3,1,3,3,,1,,3
2010,187,29,19,7,21,13,11,12,2,18,3,3,5,5,3,3,1,23,,,8,3,1,,,4
2011,201,41,26,17,14,4,7,13,1,15,4,3,10,7,3,1,,23,,,17,2,1,1,,6
2012,245,42,35,13,34,19,7,4,2,17,5,6,16,14,2,1,1,21,,2,6,5,1,2,,2
2013,314,54,56,14,48,21,7,20,4,34,9,3,23,7,3,2,,17,,1,13,7,3,3,1,1
2014,308,78,111,25,45,25,12,17,6,42,9,5,19,18,3,,,26,,2,18,10,,3,,
2015,387,103,70,36,54,29,15,22,1,24,4,3,12,18,7,2,1,22,4,2,16,14,,,,
2016,396,98,80,33,55,25,15,20,4,31,3,2,26,19,5,1,4,24,5,9,16,28,2,1,1,3
2017,392,102,87,36,63,23,26,22,6,48,10,1,28,37,2,4,1,29,3,1,22,11,3,,3,2
2018,394,145,85,49,62,24,31,13,4,59,20,3,37,43,1,1,1,20,2,7,26,12,5,2,2,4
2019,469,175,81,60,76,29,43,25,6,59,27,6,38,70,7,6,1,35,7,7,27,21,3,3,1,6
2020,685,255,155,64,110,46,36,46,7,60,32,2,61,51,10,6,4,55,3,34,42,29,1,3,,5
2021,736,251,132,59,150,65,41,58,19,87,22,8,83,62,8,7,2,64,9,22,42,26,5,5,4,7
2022,792,242,181,101,165,75,67,64,18,112,38,7,87,93,12,14,8,76,12,26,37,30,12,6,,1
2023,781,303,189,131,178,88,87,70,16,102,32,13,102,135,7,13,5,77,9,28,46,32,8,6,2,1
2024,798,217,146,116,136,64,63,56,12,106,21,12,102,113,13,8,7,79,4,18,55,26,5,6,2,1
