,Documents,Share
1980,49,3.781260996524327e-05
1981,55,4.277402792133001e-05
1982,46,3.4843548679088646e-05
1983,47,3.431345708080089e-05
1984,60,4.213432845253954e-05
1985,70,4.7279152325323795e-05
1986,59,3.782987328916001e-05
1987,66,4.0145985401459855e-05
1988,90,5.238655691100921e-05
1989,78,4.264450610281153e-05
1990,91,4.5732986700746955e-05
1991,81,4.065428300400018e-05
1992,79,3.802087394107053e-05
1993,89,4.0954356140001314e-05
1994,79,3.450198997870048e-05
1995,91,3.746288190011737e-05
1996,86,3.2662722073277676e-05
1997,117,4.2876366546759424e-05
1998,110,3.783246135242107e-05
1999,100,3.3229712014700823e-05
2000,102,2.793336632391696e-05
2001,122,3.3364254522223875e-05
2002,148,3.471773426436288e-05
2003,151,3.3394593614334465e-05
2004,172,3.5002433890170505e-05
2005,194,3.694213566675604e-05
2006,224,3.911390247786572e-05
2007,261,4.1699425746184064e-05
2008,309,4.644371878012642e-05
2009,317,4.396676778098613e-05
2010,383,4.968633393601256e-05
2011,417,4.977956130000817e-05
2012,507,5.870462173265939e-05
2013,668,7.34706905288031e-05
2014,783,8.145197984484802e-05
2015,851,8.670571174640281e-05
2016,910,8.984088192548558e-05
2017,968,9.70505943396444e-05
2018,1079,0.000107957012098089
2019,1307,0.0001270609737128636
2020,1820,0.00016544701009526747
2021,1980,0.000196452095007805
2022,2296,0.00023805124778874653
2023,2476,0.0002455133330794908
2024,2195,0.00023275919751415298
