,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,198605,120901,88858,116566,45958,75770,26981,26620,31129,27049,72016,50921,21699,14720,24369,20186,52570,12844,6946,16831,7432,7405,3173,6729,5225,3519
1981,205494,120235,57997,118381,43167,73828,28391,27533,32307,27645,72003,54052,21779,14623,24807,21839,53258,12746,6715,17128,7003,7521,3374,6572,5218,2790
1982,210635,121938,59734,120231,42933,76850,30407,28506,32006,28175,73354,52644,22758,15225,25903,22029,53280,13600,6194,17976,7057,7910,3458,6834,5441,2883
1983,220619,125963,60931,127500,44909,77745,33257,28929,33096,29544,76198,56870,24750,16409,26508,22540,55121,13910,5855,18835,7493,8199,3722,6782,5404,2785
1984,232832,133278,65525,133491,47464,81462,35233,30404,34963,29678,80613,59105,25855,17552,28368,23702,55923,14751,5695,19463,7719,8365,4176,7092,5619,3048
1985,242855,137353,66231,141953,48645,85347,37913,31381,37681,30843,83642,62723,26898,19130,29767,25415,56273,16345,5239,19766,8021,8860,4488,7475,5920,3085
1986,253704,144850,71991,148287,51047,89829,43201,33553,38349,32723,89874,66206,29243,20563,30349,26399,56629,17270,5461,20349,8668,9459,4718,7506,6237,3278
1987,272616,152383,72816,157815,53162,94216,47006,34171,40760,35340,92605,71851,32078,22786,31515,27599,58915,18361,5344,21422,9036,9942,4530,7458,6352,3192
1988,280727,161637,76312,164738,55018,97980,51368,36436,42293,37763,97098,75935,33768,24191,33156,29062,58686,19577,5354,22692,9525,10885,5099,7653,6626,3217
1989,299400,171447,78771,175001,57576,103299,55217,38289,44676,38998,102277,79301,36491,26718,34312,30273,59584,21087,5373,23726,9696,11415,5775,8059,6838,3509
1990,315033,185538,116539,188533,66340,116974,61672,40612,47048,40770,109418,83744,38962,28923,36825,33117,62382,22403,5681,24908,10994,11968,5882,8536,7068,4306
1991,314283,190612,83275,197513,63796,112527,66020,40722,52034,41634,111705,87288,40245,30391,37053,32383,62054,22237,5999,25387,10194,12633,5785,8268,7035,3357
1992,319380,205775,89789,206633,68066,115961,71183,42719,52704,41992,121617,89989,42891,33082,37384,34607,62812,22148,6221,27371,10034,13308,5497,8024,7281,3506
1993,330002,218496,93454,215923,72113,119050,75966,44410,56821,45008,126022,95649,45436,36454,39899,33944,64665,23415,6683,27373,10454,14000,5241,7872,7363,3742
1994,343437,234103,98236,218892,76480,126052,80326,45966,58617,47155,134002,98635,48058,39908,40175,35471,64909,23716,6678,29265,10688,14654,5462,8159,7895,3694
1995,369524,250591,101783,234165,84875,131608,84609,48268,61936,50269,139889,99718,51103,43955,41070,37558,66791,25021,7745,30485,10759,15628,5585,8622,8331,3872
1996,399794,269950,110015,250344,88723,142153,92354,52494,68726,51519,150467,107376,54276,47272,43952,41193,69413,26712,8082,31552,11426,16926,6305,9426,8568,4206
1997,405260,286201,107829,252069,89685,141991,95776,53968,70005,55004,157711,109703,57991,51412,44326,42526,69007,27816,8056,33046,11779,17337,6440,8940,8656,4135
1998,444308,306928,120648,263764,96576,154040,101877,57947,74538,57894,166221,114295,62928,56503,45664,44178,71038,29169,9111,34249,12338,18187,6887,9866,8829,4494
1999,425857,329205,116398,277674,100293,152133,110666,59940,82718,59041,176400,115887,67003,62303,47629,43041,71174,27712,9158,36086,11903,19211,6653,9080,9099,4209
2000,533346,389265,161884,332977,133709,177376,132690,71784,95033,70180,251013,123242,79686,74840,67767,49255,85783,32663,11033,40993,14567,22859,8159,10816,10493,5250
2001,496913,409108,139991,347436,124136,176709,143463,73304,103254,69280,211853,134356,84055,80692,60108,47327,79378,31112,11087,42895,13203,23998,8193,11143,10508,4648
2002,538899,454684,150904,523454,138712,191175,282406,82097,116597,77304,226869,147471,94617,95573,66876,52732,81222,32871,13241,46041,14477,30210,9316,12305,11202,5026
2003,621670,492304,159784,494238,149553,212046,244382,88220,122986,85423,242224,154485,102892,104626,72589,57413,87668,36338,15251,49819,15723,31585,10424,13665,12120,5471
2004,673445,534999,179494,510792,162606,234713,251416,96087,136237,94123,263841,153166,112561,116898,72536,59888,105878,39417,16924,51743,17249,34109,11146,15169,13869,5779
2005,709906,586183,184932,589035,178904,236582,300331,102159,156129,100231,271282,169031,118186,129594,79290,61908,106396,40522,18457,56657,17456,38894,12398,16470,14482,6118
2006,792894,645147,203965,647735,195812,261738,329397,117419,169793,109418,294749,172813,127657,141877,84765,68179,109866,45498,21059,60518,19403,43646,13477,19728,18239,7054
2007,833038,774231,224497,671630,211589,272439,346283,128450,176987,123890,370043,178305,150381,162701,91602,71008,121124,46736,23750,65800,20568,48026,15126,19728,16468,7473
2008,910394,803396,257343,719167,231304,292977,370518,139630,182555,134034,362664,180498,154605,176989,95598,76159,123751,50599,27125,70362,22645,53356,16531,20806,21265,8123
2009,953274,905205,282790,765453,254293,309426,408207,153242,185436,151251,406319,194529,173506,197455,109303,81843,127106,53337,30276,74412,26258,58154,18190,22158,19163,9333
2010,1010374,1008408,300591,823136,276953,322710,438285,169438,203380,160868,442620,184911,185970,219833,111301,90489,125233,55311,34841,77362,26847,63318,21129,24629,17481,10042
2011,1084137,1103699,304561,890719,291942,338568,468511,190542,232439,173570,519189,229707,203420,244613,113354,91242,135297,58423,40435,85597,29206,71363,23189,26927,19483,9529
2012,1156345,1170885,328049,892995,312878,350885,476476,199417,229131,190800,507893,198117,218338,262610,121267,94560,136895,60607,43954,85759,30706,75023,24545,28069,20702,10082
2013,1191576,1273702,339249,934174,329236,355397,489857,216540,255591,207795,544626,206706,226725,272061,125758,101227,130535,62395,49102,93605,32226,79335,26290,28167,19982,10475
2014,1230655,1399160,358912,936860,348085,365094,502668,225456,249364,220382,627951,219947,235776,286020,130690,102283,164526,64047,51403,98818,33850,85365,28178,27595,20628,11181
2015,1289423,1413995,366042,990771,347106,386946,509854,234377,262109,233524,619349,212662,237406,296632,130033,105246,124515,65825,53028,98038,35215,85546,29512,26510,20607,11324
2016,1278815,1528025,378282,973975,366308,377418,516008,238839,260192,238672,654238,213131,240735,299233,133810,103075,125895,66068,53854,101109,34494,87011,29152,25103,24157,10597
2017,1308810,1552564,380851,987787,356755,376035,521073,247922,260794,244866,622213,209213,242742,305654,131085,107282,115945,64436,55196,101486,35424,88471,30726,24466,22585,11229
2018,1360495,1530643,401768,1066563,382378,406424,564447,254873,289672,249063,602276,213400,241142,307619,141006,113219,115440,65071,59156,105485,36373,91530,32619,24277,20535,11203
