,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
CHINA MAINLAND,849314.0,0.5923604956589461,0.9999999999999999,0.994422231855877,0.6543301575446384,0.8552342410727696,0.9083414659800912,0.9847934909497092,0.6543301575446384,0.592360495658946,0.5923604956589463
USA,434215.0,0.13229803398623913,1.0,0.981199051280889,0.2029310541957994,0.7187891994267744,0.7615099945270398,0.9728804951895166,0.20293105419579946,0.13229803398623904,0.132298033986239
UNITED KINGDOM,146758.0,0.06256930977268663,1.0,0.8724336158015891,0.3302756406602793,0.7892251987104341,0.6261979422693892,0.9402490530568265,0.3302756406602793,0.0625693097726867,0.0625693097726867
INDIA,134122.0,0.5027542398781613,0.9999999999999999,0.9295794987763596,0.6962359164510326,0.9128034231746883,0.779632759083094,0.9798552167989343,0.6962359164510327,0.5027542398781611,0.502754239878161
ENGLAND,129441.0,0.07867671894390976,0.9999999999999997,0.85421798588847,0.3772998127554181,0.8008922988937139,0.6216553245248325,0.9395479956127002,0.3772998127554179,0.07867671894390983,0.0786767189439098
GERMANY (FED REP GER),127318.0,-0.07306286416746116,1.0000000000000002,0.8383764601111523,0.22816464116545343,0.7617499713361006,0.5415489197747604,0.9101971710880047,0.22816464116545343,-0.07306286416746118,-0.07306286416746122
ITALY,97652.0,0.05218207423823382,1.0,0.8830741875607936,0.3288794801205596,0.8623305156393163,0.4877797656541903,0.9228597135225662,0.32887948012055973,0.052182074238233775,0.05218207423823379
JAPAN,88091.0,0.25919290635242703,1.0,0.8763216608847157,0.5023735047271943,0.9058595959234841,0.5758407638775779,0.9565745034669308,0.5023735047271942,0.2591929063524272,0.2591929063524271
CANADA,83053.0,0.11128138394864202,1.0,0.7835024002439632,0.503488863041066,0.8849944660231868,0.4936366427716188,0.969205186632544,0.5034888630410661,0.11128138394864216,0.11128138394864205
FRANCE,80489.0,-0.06163537470593345,1.0,0.6921510554869321,0.4607656991853424,0.7940984798229042,0.5046944555799591,0.9116711219682188,0.4607656991853421,-0.06163537470593337,-0.06163537470593333
AUSTRALIA,79858.0,0.21626210379075878,1.0,0.7906827076333196,0.6015407082562808,0.8893662712885682,0.5811968192890614,0.9736059539899384,0.6015407082562807,0.21626210379075894,0.21626210379075886
SOUTH KOREA,78984.0,0.6036515446951692,0.9999999999999998,0.9092359506761587,0.7454123081427071,0.9728502390529887,0.6983469585713901,0.9856682981258653,0.7454123081427071,0.6036515446951694,0.6036515446951694
SPAIN,77476.0,-0.08702863351220808,0.9999999999999999,0.7444285973474201,0.3360421393225062,0.8482756834937489,0.3817362105334622,0.9294273395530874,0.3360421393225064,-0.08702863351220828,-0.08702863351220824
BRAZIL,57239.0,0.3061092399727825,1.0,0.6908760718109249,0.8038553607429914,0.9067611558665206,0.6279787009560054,0.958857606697147,0.8038553607429911,0.30610923997278233,0.3061092399727822
TURKIYE,52881.0,0.6065034858350803,1.0,0.8529802487802342,0.8603252629537629,0.9366350362644993,0.7612003849565389,0.9873280720903862,0.8603252629537631,0.6065034858350804,0.6065034858350803
SAUDI ARABIA,50624.0,0.4695930836534896,1.0,0.8217820728132224,0.7688483660264005,0.9259587083171721,0.7126106824945034,0.9673655236125622,0.7688483660264004,0.4695930836534896,0.46959308365348956
NETHERLANDS,49683.0,0.16443510122083274,1.0000000000000002,0.6766939850259581,0.6976359475819884,0.8778234352919257,0.5588976892501799,0.9218566148900317,0.6976359475819882,0.16443510122083285,0.16443510122083274
IRAN,44445.0,0.24210673976603142,1.0,0.7822393990532882,0.5202512145798223,0.9423057315877525,0.44848053300541824,0.9746895680228047,0.5202512145798224,0.24210673976603103,0.242106739766031
POLAND,39395.0,0.25173721995429404,1.0,0.7681291063529465,0.5942563831517506,0.9543115820020857,0.4578545343131858,0.9801877471552379,0.5942563831517501,0.2517372199542945,0.2517372199542944
SWITZERLAND,39265.0,0.07811274426969698,1.0,0.5999571558622802,0.6633153564642591,0.8991954897885014,0.4233831883695592,0.9250960217935161,0.6633153564642592,0.07811274426969692,0.07811274426969698
RUSSIA,38991.0,0.6119599774263451,1.0,0.8533573006587007,0.8968653698938468,0.9200768108986173,0.8171570117901262,0.9408647911464632,0.8968653698938468,0.6119599774263452,0.611959977426345
SWEDEN,34623.0,0.07521284050501081,0.9999999999999999,0.5992098478551013,0.662834928547281,0.9216283998603643,0.3566481974788098,0.9409978353064086,0.662834928547281,0.07521284050501079,0.07521284050501073
TAIWAN,31792.0,0.24834576692550647,1.0000000000000002,0.7656883214695174,0.6427643813590672,0.950749961788302,0.4295751161278285,0.9744422050566474,0.642764381359067,0.24834576692550644,0.24834576692550642
HONG KONG,30242.0,0.5391656257394778,0.9999999999999998,0.744646959335652,0.9268340785461942,0.9425322532837872,0.7315813377643423,0.95839024588211,0.9268340785461939,0.5391656257394779,0.5391656257394778
BELGIUM,28249.0,0.024995995390679298,1.0000000000000002,0.5192731543895981,0.7071795622623162,0.9332707286039833,0.27033672521496627,0.9371870710974988,0.7071795622623163,0.024995995390679183,0.024995995390679177
PAKISTAN,27292.0,0.3734954357312831,0.9999999999999998,0.7141336555550837,0.7367116072693495,0.947089913557118,0.5835905409345228,0.9868222814299853,0.7367116072693495,0.3734954357312828,0.3734954357312827
EGYPT,26500.0,0.3815447969785249,0.9999999999999998,0.6748686340304868,0.8282105691769859,0.9348095497651099,0.627401525424424,0.9544566917892414,0.828210569176986,0.38154479697852484,0.3815447969785247
DENMARK,24883.0,0.13840809770054502,1.0,0.5523626058744362,0.7766522681331861,0.9267459056156665,0.38609179056607557,0.9250898972273152,0.776652268133186,0.13840809770054502,0.13840809770054496
AUSTRIA,22127.0,-0.02877455541060781,1.0,0.4298163019763777,0.6904767896063079,0.9437399373558045,0.15022079726043588,0.9410062936700463,0.690476789606308,-0.028774555410607843,-0.02877455541060785
PORTUGAL,20981.0,-0.046152482087561175,1.0000000000000002,0.44044802282934437,0.7000654120850848,0.9471850585422552,0.15419331399262937,0.9874670391580354,0.7000654120850847,-0.0461524820875612,-0.046152482087561286
SINGAPORE,19872.0,0.5171233118272269,1.0000000000000002,0.6690664280403198,0.954191055213899,0.9424109712128994,0.7007769118861011,0.9038016783404217,0.954191055213899,0.5171233118272268,0.5171233118272266
MEXICO,19730.0,0.20096488169839974,1.0,0.4923119730734726,0.8955196246870927,0.9277544052373937,0.49184344289882154,0.9528061737193289,0.8955196246870927,0.20096488169839988,0.20096488169839982
NORWAY,19487.0,0.36471659729266415,1.0,0.5938862330886642,0.9005192588460562,0.9430145804579376,0.5907461454112503,0.967867765045012,0.9005192588460563,0.364716597292664,0.36471659729266404
SCOTLAND,19479.0,0.02311053495948046,0.9999999999999999,0.35104336045558715,0.8403841068590726,0.920105067073376,0.32536658672722213,0.8802889460831979,0.8403841068590724,0.023110534959480455,0.023110534959480455
SOUTH AFRICA,18600.0,0.14838966774230114,1.0000000000000002,0.47145311719478344,0.8610526386777957,0.9209259934049454,0.47013374114153605,0.9330629406563293,0.8610526386777955,0.14838966774230092,0.14838966774230106
MALAYSIA,17999.0,0.30058968553357196,1.0,0.6569958071333329,0.7040763447625245,0.9467601398504393,0.47804632752811965,0.9734199840860076,0.7040763447625243,0.3005896855335719,0.3005896855335719
ISRAEL,17498.0,0.2322527420695217,1.0000000000000002,0.47444101406836015,0.908490759832051,0.9223532093887192,0.5065561008473841,0.9410824433729139,0.908490759832051,0.23225274206952182,0.2322527420695218
