,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
Veterinary,8718.0,1.0000000000000004,0.16061282145593755,0.9784928492871022,0.2859206109707054,0.3960714373621384,0.9237158111613648,0.930538337136313,0.9784928492871019,1.0000000000000002,0.16061282145593775
Dentistry,34465.0,1.0000000000000002,0.3926696612645562,0.9399487563009966,0.611071824268007,0.6667103938128156,0.9183207809320124,0.9372731906968679,0.939948756300997,1.0,0.3926696612645565
Chemical Engineering,19978.0,0.9999999999999999,0.42899038394074895,0.9303812650607359,0.6083337309776918,0.5862776717212703,0.9258238391774705,0.954005330679244,0.9303812650607356,1.0000000000000002,0.42899038394074884
"Pharmacology, Toxicology and Pharmaceutics",23050.0,0.9999999999999999,0.21258400408420544,0.9271300136017969,0.4509976628693291,0.45318487781501987,0.9324272430138616,0.9658109372848265,0.9271300136017966,0.9999999999999998,0.21258400408420558
Nursing,34123.0,0.9999999999999996,0.0011887803278926275,0.8244221216571918,0.37751738559748116,0.2855049454997913,0.9232768167618203,0.9460501857766808,0.8244221216571919,1.0000000000000002,0.0011887803278927197
Energy,66726.0,0.9999999999999996,0.3527866328158553,0.8127627624886989,0.7219380080634952,0.6187871210603569,0.9044112019855755,0.949622801317577,0.8127627624886992,0.9999999999999998,0.35278663281585504
Chemistry,89953.0,0.9999999999999997,0.3493381110624127,0.793635009339878,0.7221636103480396,0.6528993152583684,0.8975748410791229,0.9574697199705925,0.7936350093398774,1.0000000000000004,0.34933811106241314
"Business, Management and Accounting",243578.0,1.0,0.6526828461915949,0.7676357241737476,0.9633110005206734,0.8240958875978467,0.9210809640304659,0.9197862713810531,0.7676357241737473,0.9999999999999998,0.6526828461915942
Arts and Humanities,243116.0,1.0000000000000009,0.42331730887725544,0.722975331282654,0.8581777205779779,0.8267686700848922,0.8367995070914763,0.9539710999371698,0.7229753312826545,1.0000000000000002,0.4233173088772546
Neuroscience,93672.0,1.0,0.31953595050402284,0.7059567223775646,0.745279038197562,0.6371563896471256,0.8989247948907264,0.9557082804372926,0.7059567223775646,0.9999999999999999,0.3195359505040226
Decision Sciences,67877.0,1.0000000000000002,0.10531756918464948,0.6573720414244715,0.6385286278813149,0.3876007997245559,0.9298456008479988,0.9675887640655976,0.6573720414244719,1.0,0.10531756918464953
Social Sciences,961779.0,1.0,0.5842162276044378,0.6554260638537416,0.9859821600325108,0.9240459946179762,0.7947263978627711,0.941140720321573,0.655426063853741,1.0000000000000002,0.5842162276044381
Earth and Planetary Sciences,106004.0,1.0,0.3366961315875594,0.6426491161936135,0.8043875164535713,0.6208748545616685,0.9099083072401721,0.9596194528068847,0.6426491161936132,0.9999999999999999,0.3366961315875593
Mathematics,75569.0,0.9999999999999998,0.06480800954178206,0.638305042944048,0.6156803638735914,0.41093224203034606,0.9071873751913989,0.9590350721187312,0.6383050429440478,1.0,0.06480800954178202
Materials Science,204484.0,1.0000000000000002,0.3655502069727269,0.635758022232463,0.8679445312024452,0.7277646639800393,0.8589620602325685,0.9591678970201396,0.6357580222324626,1.0000000000000004,0.36555020697272667
Physics and Astronomy,140076.0,1.0,0.1955176824835556,0.6147777108791301,0.7327983644801781,0.6527409784655985,0.8423834344292004,0.9206544808654348,0.6147777108791295,1.0,0.19551768248355594
Health Professions,188332.0,1.0,0.29945734447386185,0.5578294981033777,0.8548793897824559,0.6489641642804067,0.8907351045109851,0.9698224853453302,0.5578294981033773,1.0,0.2994573444738619
Immunology and Microbiology,59547.0,0.9999999999999996,0.13591508940795324,0.5489956916125255,0.6880149778506207,0.34362275673032766,0.939425582307298,0.9541972456212541,0.5489956916125258,1.0,0.13591508940795327
"Biochemistry, Genetics and Molecular Biology",311128.0,1.0000000000000002,0.33126228196724644,0.45298566484955094,0.923054235605222,0.6513286442696782,0.8982406145321198,0.9649472834915256,0.4529856648495511,1.0,0.3312622819672464
Engineering,1122557.0,1.0000000000000002,0.403330276349606,0.4327539093520979,0.9900625641155518,0.8211820633882012,0.8063329953026253,0.977244953914515,0.432753909352098,0.9999999999999993,0.4033302763496062
Computer Science,499552.0,1.0000000000000004,0.3444533036051983,0.43227944316423883,0.9499673709357965,0.6929970219785647,0.8843790294030308,0.982946695704746,0.4322794431642386,1.0,0.3444533036051982
Agricultural and Biological Sciences,323625.0,1.0000000000000002,0.1647647111890186,0.37341321953043927,0.8981662652359558,0.671087776026022,0.8126439480596982,0.9654804665867278,0.3734132195304396,0.9999999999999997,0.16476471118901814
"Economics, Econometrics and Finance",204119.0,0.9999999999999994,0.0630143687312723,0.3615360283104562,0.8359207379533938,0.5345141368490367,0.8480061167801763,0.9506528964283044,0.3615360283104561,0.9999999999999997,0.0630143687312724
Psychology,210696.0,0.9999999999999999,0.08394508344737917,0.35428933230111503,0.8278118231053452,0.5045660987463857,0.858917210987443,0.9802654785021133,0.354289332301116,0.9999999999999997,0.08394508344737885
Medicine,1340989.0,0.9999999999999999,0.17612646731708884,0.237214369856212,0.9851605730206734,0.7446238513670701,0.7540521675400249,0.9798839202673415,0.23721436985621144,1.0000000000000002,0.1761264673170891
Environmental Science,343500.0,1.0,-0.0948467753833995,-0.08538289404741468,0.9133631638294228,0.2678038186491823,0.8944986379097306,0.9837955203942558,-0.0853828940474148,0.9999999999999998,-0.0948467753833994
