,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
Medicine,1340989.0,1.0,0.4225210084033613,0.4380792316926771,0.9990396158463385,0.8084033613445378,0.7938055222088836,1.0,0.4380792316926771,1.0,0.4225210084033613
Social Sciences,961779.0,1.0,0.45872749099639853,0.5072268907563026,0.9964465786314526,0.9223049219687875,0.6908523409363746,1.0,0.5072268907563026,1.0,0.45872749099639853
Agricultural and Biological Sciences,323625.0,1.0,0.3384873949579832,0.4435534213685474,0.9884753901560625,0.7489555822328932,0.8247298919567827,1.0,0.4435534213685474,1.0,0.3384873949579832
Engineering,1122557.0,1.0,0.37834333733493397,0.4036014405762305,0.9977911164465786,0.8574789915966387,0.7342617046818728,1.0,0.4036014405762305,1.0,0.37834333733493397
Environmental Science,343500.0,1.0,-0.11520084519155313,-0.07150060024009604,0.996710605583942,0.40177671068427373,0.7793704532967517,1.0,-0.07150060024009604,1.0,-0.11520084519155313
Computer Science,499552.0,1.0,0.39688828074538834,0.4134933973589436,0.998823501452399,0.7956302521008404,0.8464548971202615,1.0,0.4134933973589436,1.0,0.39688828074538834
"Biochemistry, Genetics and Molecular Biology",311128.0,1.0,0.5137575030012005,0.5793517406962785,0.9868427370948379,0.7938055222088836,0.8857142857142857,1.0,0.5793517406962785,1.0,0.5137575030012005
Psychology,210696.0,1.0,0.2010132296672953,0.3621128451380552,0.9754375858174318,0.5753181272509004,0.8761795003605997,1.0,0.3621128451380552,1.0,0.2010132296672953
Arts and Humanities,243116.0,1.0,0.5006002400960384,0.6421608643457383,0.9745498199279712,0.8248259303721489,0.8681392557022809,1.0,0.6421608643457383,1.0,0.5006002400960384
Health Professions,188332.0,1.0,0.36633853541416567,0.5492917166866746,0.9552460984393758,0.7662424969987995,0.8484513805522209,1.0,0.5492917166866746,1.0,0.36633853541416567
Materials Science,204484.0,1.0,0.5278751500600241,0.6605042016806723,0.9736854741896759,0.8142617046818728,0.8851380552220889,1.0,0.6605042016806723,1.0,0.5278751500600241
"Business, Management and Accounting",243578.0,1.0,0.14842737094837935,0.2703961584633853,0.9863625450180072,0.599327731092437,0.8088835534213685,1.0,0.2703961584633853,1.0,0.14842737094837935
"Economics, Econometrics and Finance",204119.0,1.0,0.30967587034813926,0.4134933973589436,0.990108043217287,0.6468667466986795,0.8880192076830732,1.0,0.4134933973589436,1.0,0.30967587034813926
Physics and Astronomy,140076.0,1.0,0.5723546785486127,0.687875150060024,0.980959927291808,0.8071548619447779,0.9174770105168046,1.0,0.687875150060024,1.0,0.5723546785486127
Earth and Planetary Sciences,106004.0,1.0,0.5089678024949027,0.7155342136854742,0.9453288196919195,0.7758463385354142,0.917765132680685,1.0,0.7155342136854742,1.0,0.5089678024949027
Neuroscience,93672.0,1.0,0.6199759903961585,0.7590396158463385,0.9589915966386554,0.7948619447779112,0.9432412965186074,1.0,0.7590396158463385,1.0,0.6199759903961585
Chemistry,89953.0,1.0,0.5402641056422569,0.732436974789916,0.9475630252100841,0.7318607442977191,0.9466986794717888,1.0,0.732436974789916,1.0,0.5402641056422569
Immunology and Microbiology,59547.0,1.0,0.29959903007507294,0.5753181272509004,0.9203102117949629,0.5180792316926771,0.9394703356930161,1.0,0.5753181272509004,1.0,0.29959903007507294
Energy,66726.0,1.0,0.34747532963988265,0.744921968787515,0.8425652479078747,0.6424489795918368,0.9169968069103371,1.0,0.744921968787515,1.0,0.34747532963988265
Mathematics,75569.0,1.0,0.43051287026205054,0.6444657863145258,0.9579811766712377,0.6257382953181273,0.9545716491990006,1.0,0.6444657863145258,1.0,0.43051287026205054
Nursing,34123.0,1.0,0.3239842507933286,0.7621128451380552,0.8207184793666162,0.48494597839135656,0.9718086739998525,1.0,0.7621128451380552,1.0,0.3239842507933286
Decision Sciences,67877.0,1.0,0.21354654379609703,0.5072268907563026,0.9383178470374941,0.45315726290516206,0.9544046678541553,1.0,0.5072268907563026,1.0,0.21354654379609703
Dentistry,34465.0,1.0,0.47496938715700376,0.8874429771908764,0.7923359506713742,0.6377430972388956,0.9677543281139518,1.0,0.8874429771908764,1.0,0.47496938715700376
"Pharmacology, Toxicology and Pharmaceutics",23050.0,1.0,0.4553770800131298,0.8604561824729892,0.7947369687037117,0.6100840336134454,0.97250834381798,1.0,0.8604561824729892,1.0,0.4553770800131298
Chemical Engineering,19978.0,1.0,0.5251152522382067,0.9064585834333734,0.7996542460238333,0.6357262905162064,0.9777660403129516,1.0,0.9064585834333734,1.0,0.5251152522382067
Veterinary,8718.0,1.0,0.4512209774714836,0.9768547418967587,0.5742550498727118,0.5743577430972389,0.9827838765383048,1.0,0.9768547418967587,1.0,0.4512209774714836
