,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
Engineering,1122557.0,1.0,0.7269530129527307,0.7305889245016399,0.9998860090094319,0.9692278864121645,0.838967082758803,1.0,0.7305889245016399,1.0,0.7269530129527307
Physics and Astronomy,140076.0,1.0,0.6635821680983585,0.6888509664027815,0.9981056962621964,0.9319757130591779,0.8501620726162206,1.0,0.6888509664027815,1.0,0.6635821680983585
Materials Science,204484.0,1.0,0.6239514990556329,0.6421802516679177,0.9991871919948145,0.9280168213754552,0.8208067429383629,1.0,0.6421802516679177,1.0,0.6239514990556329
Chemical Engineering,19978.0,1.0,0.45034561718957705,0.5660262706571081,0.9807751694082093,0.7356164843250662,0.9003700348031917,1.0,0.5660262706571081,1.0,0.45034561718957705
Computer Science,499552.0,1.0,0.5080560830451505,0.5151460137707249,0.9998002463125041,0.8957314141439281,0.7637585432887313,1.0,0.5151460137707249,1.0,0.5080560830451505
Neuroscience,93672.0,1.0,0.4606254476207348,0.5027361338136062,0.9971523188827046,0.8865492664346415,0.7802132777946468,1.0,0.5027361338136062,1.0,0.4606254476207348
Chemistry,89953.0,1.0,0.44708911348126706,0.48071467263125217,0.9981075896696948,0.815744732730919,0.8354882633002787,1.0,0.48071467263125217,1.0,0.44708911348126706
Mathematics,75569.0,1.0,0.3966521829273071,0.4375087907119706,0.9976262616379943,0.7916022014475967,0.8220060422610476,1.0,0.4375087907119706,1.0,0.3966521829273071
Energy,66726.0,1.0,0.35504372142531926,0.4164274197452842,0.9941227428115602,0.7534796529737104,0.8150762581960126,1.0,0.4164274197452842,1.0,0.35504372142531926
Veterinary,8718.0,1.0,0.11939090835746378,0.39137674587339016,0.918600534568349,0.5136078360239434,0.8575942603275322,1.0,0.39137674587339016,1.0,0.11939090835746378
"Biochemistry, Genetics and Molecular Biology",311128.0,1.0,0.3447330750635404,0.3563966251424446,0.9997197461589514,0.8967680912463079,0.6670980804135895,1.0,0.3563966251424446,1.0,0.3447330750635404
Dentistry,34465.0,1.0,0.23405774410585822,0.34585991528131343,0.9838595153656244,0.6972801385181444,0.7983403686201337,1.0,0.34585991528131343,1.0,0.23405774410585822
Arts and Humanities,243116.0,1.0,0.2770481327546937,0.30422553395222524,0.9990285041489184,0.8923911698623981,0.5935123395976938,1.0,0.30422553395222524,1.0,0.2770481327546937
Decision Sciences,67877.0,1.0,0.20545063184121454,0.24556734249785533,0.9978757113245763,0.6488753583160713,0.813333475759937,1.0,0.24556734249785533,1.0,0.20545063184121454
"Business, Management and Accounting",243578.0,1.0,0.21755896490300874,0.2397333539707106,0.9992803376329022,0.7869803687091432,0.6607487237559755,1.0,0.2397333539707106,1.0,0.21755896490300874
"Pharmacology, Toxicology and Pharmaceutics",23050.0,1.0,0.13304381350268477,0.228698224852071,0.9897908278597348,0.566411416637661,0.8190939030651692,1.0,0.228698224852071,1.0,0.13304381350268477
"Economics, Econometrics and Finance",204119.0,1.0,0.1741222739791691,0.19369644485954368,0.9994936135707383,0.7537702891677301,0.6876831195035573,1.0,0.19369644485954368,1.0,0.1741222739791691
Psychology,210696.0,1.0,0.14184851792949993,0.16159101812838136,0.9994851894157252,0.7204137186181208,0.6678773136585292,1.0,0.16159101812838136,1.0,0.14184851792949993
Agricultural and Biological Sciences,323625.0,1.0,0.07446331323708168,0.08764958278936132,0.9996220141170302,0.8336542182647008,0.49479406041689,1.0,0.08764958278936132,1.0,0.07446331323708168
Earth and Planetary Sciences,106004.0,1.0,0.01289273184304346,0.04202318240142123,0.9987706983525231,0.8311005050146835,0.44913531188562167,1.0,0.04202318240142123,1.0,0.01289273184304346
Social Sciences,961779.0,1.0,0.028220407709544457,0.03381106903381643,0.9999188388468794,0.9267598235072534,0.3120858181706956,1.0,0.03381106903381643,1.0,0.028220407709544457
Medicine,1340989.0,1.0,-0.005176385036346238,-0.0025516415235835796,0.9999767342094114,0.9019078876889486,0.3173257035961754,1.0,-0.0025516415235835796,1.0,-0.005176385036346238
Nursing,34123.0,1.0,-0.22908220020949469,-0.1509805935744721,0.9926114204702721,0.5577175775455782,0.5390031085186443,1.0,-0.1509805935744721,1.0,-0.22908220020949469
Health Professions,188332.0,1.0,-0.1935602508001844,-0.17311918452363873,0.9991652361812138,0.7227377447864413,0.40457763729366425,1.0,-0.17311918452363873,1.0,-0.1935602508001844
Environmental Science,343500.0,1.0,-0.19829186141367622,-0.19190443572257657,0.9999118045559707,0.7760939973662309,0.256331591778281,1.0,-0.19190443572257657,1.0,-0.19829186141367622
Immunology and Microbiology,59547.0,1.0,-0.23963098952930093,-0.2024270532015494,0.9969688934563622,0.5946352068331032,0.5083648731982223,1.0,-0.2024270532015494,1.0,-0.23963098952930093
