,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,DShareC vs CShareD
BQ,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
US,965919.0,0.1576068376068376,1.0,0.9965811965811966,0.19521367521367522,0.7852991452991454,0.6752136752136753,1.0,0.19521367521367522,0.1576068376068376
CN,1117725.0,0.4741880341880342,1.0,0.9938461538461538,0.5316239316239316,0.7688888888888888,0.8960683760683761,1.0,0.5316239316239316,0.4741880341880342
ID,440952.0,0.7962393162393162,1.0,0.984957264957265,0.8482051282051282,0.9528205128205128,0.9179487179487179,1.0,0.8482051282051282,0.7962393162393162
GB,279389.0,0.03794871794871795,1.0,0.9596581196581196,0.2423931623931624,0.9165811965811966,0.3504273504273504,1.0,0.2423931623931624,0.03794871794871795
BR,207753.0,0.27247863247863247,1.0,0.9514529914529914,0.49196581196581196,0.8796581196581197,0.6615384615384615,1.0,0.49196581196581196,0.27247863247863247
IN,374608.0,0.055726495726495726,1.0,0.9494017094017094,0.29504273504273504,0.7155555555555555,0.6882051282051282,1.0,0.29504273504273504,0.055726495726495726
FR,181830.0,0.15763378585660398,1.0,0.9372542451907842,0.4317948717948718,0.9485382255232525,0.40923076923076923,1.0,0.4317948717948718,0.15763378585660398
ES,150961.0,0.10905982905982906,1.0,0.9357264957264957,0.3606837606837607,0.9617094017094017,0.3292307692307692,1.0,0.3606837606837607,0.10905982905982906
DE,211601.0,0.09743589743589744,1.0,0.9357264957264957,0.3634188034188034,0.9241025641025641,0.4276923076923077,1.0,0.3634188034188034,0.09743589743589744
AU,130123.0,0.1794871794871795,1.0,0.935042735042735,0.4386324786324786,0.9603418803418804,0.4064957264957265,1.0,0.4386324786324786,0.1794871794871795
UA,45575.0,0.5542827914827658,1.0,0.9273380200501301,0.7702564102564102,0.9840998605104256,0.6362393162393163,1.0,0.7702564102564102,0.5542827914827658
JP,167589.0,0.34672594112493804,1.0,0.9252863872624086,0.6225641025641026,0.8866473030936531,0.6943589743589743,1.0,0.6225641025641026,0.34672594112493804
TR,125184.0,0.09811965811965812,1.0,0.9193162393162393,0.4064957264957265,0.9466666666666667,0.3435897435897436,1.0,0.4064957264957265,0.09811965811965812
CA,146926.0,0.16923076923076924,1.0,0.9186324786324787,0.442051282051282,0.9528205128205128,0.39282051282051283,1.0,0.442051282051282,0.16923076923076924
RU,142985.0,0.38461538461538464,1.0,0.9124786324786325,0.6608547008547009,0.9507692307692308,0.5972649572649573,1.0,0.6608547008547009,0.38461538461538464
PL,77159.0,0.09811965811965812,1.0,0.8892307692307693,0.4482051282051282,0.971965811965812,0.2553846153846154,1.0,0.4482051282051282,0.09811965811965812
IT,159132.0,0.033846153846153845,1.0,0.8871794871794871,0.38803418803418804,0.9152136752136752,0.37572649572649575,1.0,0.38803418803418804,0.033846153846153845
MY,60898.0,0.24786324786324787,1.0,0.8488888888888889,0.6355555555555555,0.9596581196581196,0.4700854700854701,1.0,0.6355555555555555,0.24786324786324787
NL,79561.0,0.11794871794871795,1.0,0.8468376068376068,0.5446153846153846,0.9671794871794872,0.3176068376068376,1.0,0.5446153846153846,0.11794871794871795
KR,113286.0,0.1029059829059829,1.0,0.8365811965811966,0.48786324786324786,0.8652991452991453,0.5234188034188034,1.0,0.48786324786324786,0.1029059829059829
MX,56162.0,0.16512820512820514,1.0,0.827008547008547,0.5541880341880342,0.971965811965812,0.3463247863247863,1.0,0.5541880341880342,0.16512820512820514
PT,44861.0,-0.12068376068376069,1.0,0.8044444444444444,0.3353846153846154,0.984957264957265,0.0044444444444444444,1.0,0.3353846153846154,-0.12068376068376069
RE,748.0,0.7849302337190402,1.0,0.8002321227518302,0.9988706945228685,0.9951895237621912,0.8136645962732919,1.0,0.9988706945228685,0.7849302337190402
NO,33970.0,0.27111111111111114,1.0,0.7982905982905983,0.7162393162393162,0.9924786324786324,0.36547008547008547,1.0,0.7162393162393162,0.27111111111111114
SE,52773.0,0.07692307692307693,1.0,0.7962393162393162,0.5487179487179488,0.9788034188034188,0.225982905982906,1.0,0.5487179487179488,0.07692307692307693
DK,41096.0,0.005811965811965812,1.0,0.7866666666666666,0.5131623931623932,0.9678632478632478,0.20683760683760682,1.0,0.5131623931623932,0.005811965811965812
HK,41167.0,0.4817094017094017,1.0,0.7791452991452992,0.8892307692307693,0.971965811965812,0.6246153846153846,1.0,0.8892307692307693,0.4817094017094017
FI,27891.0,0.06735042735042734,1.0,0.7784615384615384,0.5664957264957265,0.9938461538461538,0.12136752136752137,1.0,0.5664957264957265,0.06735042735042734
PA,2630.0,0.7196854034356488,1.0,0.7668891038511048,0.9945299145299146,0.997434713126593,0.736068376068376,1.0,0.9945299145299146,0.7196854034356488
SA,76959.0,0.19658119658119658,1.0,0.764102564102564,0.7128205128205128,0.8564102564102564,0.5931623931623932,1.0,0.7128205128205128,0.19658119658119658
IR,78282.0,-0.07418803418803419,1.0,0.7511111111111111,0.5029059829059829,0.8994871794871795,0.3305982905982906,1.0,0.5029059829059829,-0.07418803418803419
MW,1777.0,0.7179751244350887,1.0,0.7504704254457288,0.9952136752136752,0.9946982667256971,0.747008547008547,1.0,0.9952136752136752,0.7179751244350887
PF,207.0,0.7486356746409402,1.0,0.7486356746409402,1.0,0.9759756040869884,0.826625386996904,1.0,1.0,0.7486356746409402
SJ,54.0,0.7483357769119654,1.0,0.7483357769119654,1.0,0.9385906354489059,0.8571428571428571,1.0,1.0,0.7483357769119654
GI,73.0,0.7471291358632858,1.0,0.7471291358632858,1.0,0.9734230568218772,0.8391608391608392,1.0,1.0,0.7471291358632858
PH,17520.0,0.5904273504273504,1.0,0.744957264957265,0.9637606837606838,0.984957264957265,0.6656410256410257,1.0,0.9637606837606838,0.5904273504273504
BO,2873.0,0.6546889145270639,1.0,0.7405890282470289,0.9863247863247864,0.9982893694069239,0.6779487179487179,1.0,0.9863247863247864,0.6546889145270639
