,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1997,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
1998,4.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,
1999,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2002,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
2003,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,5.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
2005,2.0,,1.0,1.0,,,2.0,,,,,,2.0,,,2.0,,,,,,,,,,
2006,4.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,2.0,,,,,
2007,5.0,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,
2008,2.0,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,
2009,5.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,
2010,3.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,
2011,2.0,,1.0,,3.0,,,,2.0,,,,,,,,,,,1.0,,,,,,
2012,3.0,1.0,1.0,1.0,3.0,,3.0,1.0,,1.0,,1.0,,,4.0,,,,,,,,,,,
2013,8.0,2.0,1.0,1.0,4.0,1.0,,1.0,,,,,,,2.0,,,,,,1.0,,,,,
2014,9.0,5.0,1.0,2.0,6.0,3.0,,,,,,1.0,2.0,,1.0,,2.0,,,1.0,,,,,,
2015,10.0,7.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,1.0,,,1.0,,,,,,,,
2016,5.0,6.0,,2.0,2.0,2.0,1.0,,1.0,,,,,,2.0,,,,1.0,,,,,,,
2017,4.0,8.0,,,4.0,,,1.0,2.0,2.0,,,1.0,,3.0,,,1.0,,,,,,,,
2018,9.0,6.0,,1.0,5.0,3.0,,,3.0,1.0,,1.0,,,2.0,,,,,,,,,,,
2019,9.0,1.0,2.0,,3.0,1.0,3.0,1.0,3.0,4.0,,,1.0,,4.0,,,,,,,,,,,
2020,12.0,1.0,,2.0,10.0,1.0,4.0,2.0,2.0,3.0,,1.0,,,4.0,,1.0,,,,,,,,,
2021,7.0,6.0,,2.0,3.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,9.0,,,,,2.0,,,,,,
2022,16.0,12.0,2.0,3.0,10.0,2.0,2.0,1.0,2.0,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,,
2023,9.0,13.0,2.0,1.0,9.0,3.0,1.0,2.0,4.0,1.0,,2.0,2.0,1.0,6.0,,,,,,,1.0,,,,
2024,8.0,5.0,1.0,3.0,5.0,3.0,2.0,2.0,3.0,,,,,,2.0,1.0,,,,,1.0,,,,,
