,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,3.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,
1981,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
1982,2.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
1983,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,
1984,,2.0,2.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,
1985,1.0,1.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,
1986,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
1987,1.0,4.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
1988,1.0,4.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,
1989,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,
1990,3.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
1991,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
1992,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1993,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,
1994,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
1995,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
1996,1.0,1.0,,,,1.0,,1.0,,2.0,,2.0,,,,,,,,,,,,,,
1997,2.0,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1998,,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,2.0,,
1999,2.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
2000,2.0,2.0,,3.0,2.0,,,,3.0,,,,,,1.0,,,,,,,,,,,
2001,9.0,10.0,2.0,1.0,,,1.0,,1.0,3.0,,,2.0,,,,,,,,,,,,,
2002,9.0,8.0,,2.0,2.0,2.0,,,1.0,3.0,,,2.0,,,,,,,,,4.0,,,,
2003,14.0,6.0,,1.0,2.0,,,,1.0,7.0,,,1.0,,1.0,,,,,,1.0,,,,,
2004,16.0,16.0,5.0,,,,,1.0,,3.0,,,4.0,,,,,,2.0,,2.0,2.0,,,,
2005,23.0,6.0,3.0,7.0,,3.0,,,,,,1.0,,1.0,,,,1.0,,,2.0,3.0,,1.0,,
2006,19.0,5.0,3.0,4.0,,,,2.0,3.0,4.0,,,,,,,,1.0,,,,1.0,,,,
2007,29.0,9.0,,2.0,2.0,1.0,1.0,3.0,3.0,5.0,,2.0,3.0,,,,,1.0,,,2.0,,,,,
2008,18.0,6.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,,1.0,5.0,,,,,1.0,,,,2.0,,,,
2009,20.0,17.0,5.0,1.0,4.0,,,3.0,1.0,5.0,,5.0,7.0,1.0,1.0,,,,,,2.0,4.0,,,,
2010,23.0,17.0,8.0,8.0,,6.0,1.0,3.0,1.0,11.0,,3.0,2.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,
2011,31.0,24.0,3.0,8.0,7.0,3.0,5.0,3.0,2.0,6.0,,8.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,,
2012,33.0,14.0,5.0,9.0,5.0,3.0,,2.0,2.0,6.0,2.0,10.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,5.0,,2.0,,2.0,,1.0
2013,43.0,23.0,10.0,9.0,7.0,3.0,5.0,3.0,5.0,2.0,1.0,7.0,5.0,4.0,,1.0,,2.0,,4.0,2.0,1.0,,,,
2014,45.0,27.0,9.0,17.0,5.0,4.0,4.0,2.0,4.0,6.0,2.0,6.0,10.0,6.0,,,3.0,3.0,1.0,1.0,3.0,4.0,,1.0,,1.0
2015,57.0,17.0,8.0,6.0,7.0,4.0,4.0,1.0,7.0,4.0,1.0,9.0,5.0,2.0,2.0,,3.0,,1.0,2.0,3.0,2.0,,,,1.0
2016,62.0,28.0,18.0,27.0,20.0,4.0,14.0,4.0,3.0,3.0,8.0,2.0,7.0,3.0,1.0,1.0,4.0,6.0,,1.0,5.0,,,2.0,,
2017,60.0,36.0,19.0,26.0,8.0,8.0,11.0,7.0,3.0,10.0,2.0,7.0,7.0,2.0,,3.0,10.0,2.0,2.0,1.0,7.0,5.0,,2.0,,
2018,191.0,59.0,26.0,32.0,14.0,16.0,7.0,19.0,6.0,12.0,4.0,18.0,18.0,1.0,8.0,4.0,7.0,3.0,2.0,1.0,6.0,3.0,3.0,,,
2019,211.0,105.0,51.0,44.0,18.0,28.0,12.0,14.0,25.0,15.0,5.0,27.0,22.0,1.0,2.0,2.0,2.0,8.0,3.0,3.0,4.0,9.0,3.0,5.0,,4.0
2020,260.0,171.0,66.0,97.0,37.0,51.0,16.0,26.0,25.0,18.0,9.0,23.0,37.0,,10.0,3.0,6.0,6.0,7.0,9.0,7.0,8.0,3.0,4.0,5.0,
2021,280.0,198.0,76.0,61.0,68.0,48.0,27.0,46.0,28.0,28.0,9.0,42.0,38.0,2.0,12.0,4.0,6.0,8.0,6.0,22.0,11.0,9.0,7.0,3.0,,4.0
2022,253.0,224.0,66.0,97.0,65.0,75.0,21.0,63.0,30.0,34.0,13.0,40.0,40.0,8.0,17.0,6.0,9.0,18.0,6.0,32.0,14.0,12.0,9.0,1.0,1.0,2.0
2023,270.0,303.0,105.0,112.0,57.0,88.0,31.0,53.0,50.0,40.0,14.0,75.0,34.0,8.0,12.0,8.0,6.0,18.0,18.0,25.0,11.0,25.0,11.0,2.0,,2.0
2024,331.0,365.0,146.0,229.0,90.0,98.0,49.0,54.0,61.0,31.0,19.0,77.0,56.0,30.0,15.0,8.0,17.0,14.0,25.0,45.0,13.0,27.0,15.0,7.0,1.0,6.0
