,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1985,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1986,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1987,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,1.0,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,
1989,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1990,3.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,
1991,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,
1992,,2.0,,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,
1993,,2.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,
1994,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,
1995,4.0,1.0,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,
1996,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,
1997,5.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1998,5.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1999,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2000,11.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
2001,3.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,
2002,3.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
2003,2.0,1.0,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,
2004,4.0,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,
2005,7.0,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
2006,4.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,
2007,5.0,1.0,,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,
2008,15.0,1.0,,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,
2009,17.0,,,,4.0,,3.0,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,
2010,14.0,2.0,,,2.0,1.0,2.0,1.0,3.0,,,,,,,1.0,,,,1.0,,,1.0,,,
2011,62.0,8.0,1.0,2.0,,3.0,8.0,14.0,4.0,14.0,,2.0,,,,3.0,1.0,,,,2.0,1.0,3.0,,,
2012,67.0,9.0,1.0,1.0,2.0,,8.0,10.0,4.0,13.0,,,1.0,,,3.0,2.0,2.0,,,2.0,,5.0,2.0,,
2013,76.0,5.0,3.0,,,,10.0,10.0,,6.0,,,2.0,,,3.0,,6.0,,,,,5.0,2.0,,2.0
2014,71.0,7.0,3.0,5.0,4.0,2.0,7.0,4.0,3.0,5.0,1.0,2.0,1.0,,1.0,2.0,,5.0,,1.0,2.0,,5.0,2.0,,
2015,64.0,9.0,,1.0,4.0,,17.0,7.0,1.0,9.0,,1.0,1.0,,,7.0,1.0,1.0,,,,,7.0,2.0,,1.0
2016,52.0,8.0,3.0,1.0,2.0,5.0,9.0,3.0,2.0,9.0,,,,,1.0,3.0,,1.0,,,,,11.0,,1.0,
2017,124.0,3.0,1.0,1.0,4.0,4.0,11.0,6.0,3.0,7.0,,1.0,1.0,,,2.0,,3.0,,,2.0,1.0,5.0,2.0,,
2018,287.0,8.0,1.0,7.0,2.0,,30.0,14.0,6.0,17.0,1.0,2.0,,,,7.0,3.0,7.0,,,4.0,,4.0,1.0,1.0,3.0
2019,368.0,12.0,5.0,5.0,2.0,2.0,33.0,12.0,6.0,20.0,,3.0,2.0,2.0,,9.0,4.0,11.0,,,1.0,1.0,12.0,2.0,,2.0
2020,603.0,13.0,7.0,11.0,9.0,,40.0,24.0,3.0,24.0,2.0,1.0,3.0,2.0,,20.0,1.0,9.0,,1.0,7.0,1.0,9.0,2.0,,1.0
2021,878.0,18.0,9.0,9.0,8.0,3.0,63.0,45.0,5.0,55.0,2.0,3.0,5.0,5.0,,20.0,1.0,17.0,,1.0,12.0,1.0,17.0,4.0,,
2022,1027.0,33.0,9.0,21.0,4.0,3.0,88.0,62.0,12.0,59.0,3.0,4.0,2.0,4.0,,31.0,4.0,16.0,,1.0,14.0,5.0,21.0,6.0,,3.0
2023,1126.0,43.0,11.0,16.0,11.0,7.0,94.0,64.0,7.0,69.0,12.0,7.0,5.0,2.0,,39.0,8.0,29.0,,2.0,16.0,5.0,45.0,10.0,1.0,
2024,1334.0,54.0,30.0,31.0,23.0,14.0,147.0,71.0,7.0,93.0,11.0,6.0,7.0,4.0,,50.0,12.0,37.0,1.0,3.0,20.0,4.0,48.0,11.0,3.0,1.0
