,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,5,,2,3,5,2.0,2,1.0,,,2.0,,,,2.0,1.0,1.0,1.0,,,,,,,,
1981,6,3.0,5,4,3,1.0,3,,,,,,,,1.0,,1.0,,,,2.0,,,2.0,,
1982,5,1.0,2,3,8,1.0,5,1.0,,,,,,2.0,1.0,,9.0,,,,,1.0,,,,1.0
1983,2,1.0,2,2,4,,1,,1.0,1.0,,,,,,,2.0,,,,3.0,1.0,,,,
1984,8,,6,2,4,,5,,,,1.0,,,1.0,,,2.0,,,,1.0,,,,,
1985,4,,6,4,6,,3,1.0,1.0,,1.0,,,,,,1.0,1.0,,,1.0,,,,,
1986,5,1.0,5,3,8,,4,2.0,1.0,1.0,3.0,,1.0,2.0,,,4.0,,,,1.0,,,,1.0,
1987,7,1.0,6,4,2,,5,,,,2.0,,,,,1.0,2.0,,,,1.0,,,,,
1988,9,2.0,7,2,2,,8,1.0,1.0,1.0,,1.0,,,1.0,,2.0,1.0,,,4.0,,,,,
1989,5,1.0,4,6,1,,7,1.0,2.0,1.0,1.0,,1.0,,1.0,,2.0,,,,2.0,,,1.0,,
1990,6,3.0,6,3,5,1.0,8,1.0,1.0,1.0,1.0,1.0,,,3.0,,,3.0,2.0,1.0,3.0,,,1.0,,
1991,5,3.0,4,6,6,,11,,5.0,1.0,2.0,,2.0,1.0,1.0,1.0,3.0,1.0,,1.0,,,,,,
1992,10,4.0,2,7,5,,12,,2.0,,,,2.0,2.0,3.0,,3.0,,1.0,,,,,1.0,1.0,
1993,11,5.0,2,2,6,1.0,9,1.0,2.0,2.0,,,1.0,,7.0,1.0,1.0,2.0,,1.0,3.0,,,1.0,,
1994,7,6.0,11,5,7,,8,,2.0,1.0,2.0,,1.0,3.0,2.0,1.0,4.0,1.0,,,2.0,,,,1.0,
1995,10,4.0,3,5,2,,3,,1.0,,1.0,,,3.0,6.0,,5.0,,,,2.0,,,,,
1996,7,4.0,10,7,12,1.0,5,,3.0,3.0,3.0,,1.0,4.0,5.0,1.0,1.0,,2.0,,1.0,1.0,,,1.0,2.0
1997,15,2.0,3,7,3,,6,,2.0,1.0,3.0,1.0,,3.0,2.0,1.0,4.0,2.0,,,2.0,,,,,
1998,15,14.0,5,8,13,1.0,10,,4.0,1.0,2.0,1.0,2.0,3.0,9.0,,,,,2.0,,,,,,
1999,9,4.0,8,3,12,2.0,9,1.0,1.0,2.0,1.0,2.0,,3.0,5.0,,2.0,1.0,,1.0,1.0,2.0,,,,
2000,16,5.0,10,10,7,1.0,8,1.0,2.0,4.0,2.0,2.0,4.0,,6.0,,2.0,3.0,,2.0,1.0,1.0,,,1.0,1.0
2001,28,7.0,8,5,9,3.0,4,,4.0,,6.0,1.0,3.0,1.0,9.0,1.0,2.0,1.0,,,,,,,,
2002,26,8.0,9,9,9,1.0,3,2.0,5.0,2.0,5.0,1.0,,1.0,6.0,,,3.0,,,,2.0,,,1.0,
2003,25,10.0,13,7,11,4.0,7,5.0,,5.0,3.0,3.0,2.0,,3.0,2.0,1.0,7.0,,,,,1.0,1.0,1.0,
2004,37,10.0,10,9,18,3.0,8,3.0,1.0,7.0,,2.0,2.0,1.0,9.0,,,2.0,,1.0,,,,1.0,,
2005,26,9.0,19,13,20,5.0,6,3.0,5.0,1.0,6.0,2.0,4.0,1.0,4.0,1.0,1.0,4.0,,1.0,1.0,1.0,,,2.0,1.0
2006,29,13.0,14,13,20,2.0,14,3.0,7.0,5.0,3.0,1.0,8.0,1.0,10.0,,1.0,8.0,1.0,,,2.0,,,1.0,
2007,37,14.0,11,11,24,7.0,7,2.0,4.0,2.0,4.0,,1.0,6.0,10.0,2.0,5.0,2.0,1.0,3.0,2.0,1.0,,,1.0,
2008,42,44.0,12,12,18,19.0,7,3.0,14.0,3.0,4.0,5.0,5.0,5.0,11.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,,
