,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,18,1,9,11,6,,15,5,2.0,1.0,8,,,25,14,2,10,6,,1.0,1.0,,,,,
1981,22,2,9,8,3,1.0,17,9,2.0,,8,1.0,,21,5,7,16,2,3.0,1.0,,,1.0,1.0,2.0,1.0
1982,24,1,12,11,2,,13,6,1.0,,6,,,21,11,5,16,4,,1.0,,,,1.0,,
1983,25,2,14,11,4,,19,7,,4.0,6,,,31,14,7,26,5,1.0,1.0,1.0,,2.0,1.0,1.0,
1984,20,2,15,8,3,3.0,19,7,1.0,3.0,13,,,23,6,8,20,6,,3.0,1.0,1.0,2.0,3.0,1.0,
1985,27,2,16,9,7,2.0,18,6,1.0,1.0,4,,,38,7,7,9,4,,1.0,1.0,,,3.0,2.0,
1986,29,1,15,9,2,2.0,16,7,2.0,4.0,9,,,28,7,4,12,5,1.0,2.0,1.0,,1.0,1.0,,
1987,30,4,9,7,7,1.0,27,13,,2.0,4,,1.0,32,6,15,13,8,,3.0,1.0,,,2.0,,1.0
1988,44,3,21,10,8,2.0,31,15,2.0,5.0,8,,,25,5,13,24,11,1.0,,4.0,,,1.0,,
1989,53,4,16,20,5,2.0,27,14,1.0,3.0,9,,2.0,32,5,13,19,13,,7.0,2.0,,,,3.0,
1990,63,5,23,25,4,3.0,46,15,1.0,3.0,9,,1.0,35,7,14,19,7,1.0,2.0,3.0,,,4.0,1.0,1.0
1991,67,4,18,21,9,4.0,37,13,,12.0,7,,,66,5,14,16,14,,12.0,2.0,1.0,,1.0,,1.0
1992,71,6,11,21,5,4.0,29,16,4.0,7.0,8,1.0,2.0,54,4,18,14,10,1.0,6.0,2.0,1.0,,,3.0,1.0
1993,68,1,10,17,10,4.0,35,17,3.0,8.0,5,1.0,2.0,48,16,11,18,3,,9.0,4.0,1.0,,,1.0,2.0
1994,67,4,17,23,11,10.0,36,13,1.0,10.0,4,,2.0,82,11,15,21,12,1.0,10.0,,1.0,,1.0,3.0,
1995,65,5,19,34,4,7.0,48,18,4.0,4.0,11,,,111,7,13,23,4,,9.0,4.0,,,2.0,2.0,
1996,67,7,15,33,7,18.0,47,16,1.0,5.0,13,2.0,1.0,96,10,14,29,6,,19.0,7.0,1.0,1.0,2.0,,
1997,82,5,14,32,8,10.0,35,19,4.0,2.0,12,1.0,1.0,118,20,13,18,6,1.0,8.0,3.0,,1.0,2.0,2.0,
1998,79,9,13,40,9,5.0,36,17,3.0,7.0,17,,2.0,148,11,16,17,7,3.0,12.0,7.0,1.0,1.0,5.0,1.0,2.0
1999,55,5,10,59,7,9.0,48,10,2.0,8.0,19,,2.0,167,16,22,17,3,1.0,13.0,4.0,2.0,,5.0,,
2000,65,9,17,44,11,16.0,58,12,2.0,7.0,35,,4.0,159,8,18,33,7,1.0,18.0,3.0,3.0,,4.0,1.0,1.0
2001,67,5,17,58,8,7.0,56,11,1.0,1.0,37,1.0,1.0,206,11,15,42,5,2.0,12.0,3.0,,,5.0,2.0,
2002,77,8,19,95,13,22.0,54,8,3.0,6.0,37,2.0,3.0,199,19,14,39,9,3.0,26.0,2.0,2.0,1.0,2.0,,1.0
2003,75,9,19,76,11,15.0,55,8,5.0,4.0,36,1.0,1.0,210,19,16,37,8,4.0,14.0,,,,3.0,3.0,1.0
2004,69,5,21,61,14,25.0,60,10,4.0,6.0,35,,5.0,222,6,15,55,9,2.0,21.0,2.0,,,3.0,3.0,1.0
2005,86,13,20,97,17,22.0,55,13,1.0,10.0,25,,3.0,227,13,10,48,9,6.0,18.0,,1.0,1.0,5.0,2.0,
2006,89,19,25,94,17,34.0,50,18,5.0,8.0,38,2.0,4.0,227,19,11,52,10,4.0,23.0,2.0,1.0,2.0,6.0,3.0,1.0
2007,87,16,26,99,20,31.0,47,25,5.0,7.0,40,1.0,5.0,266,20,8,47,3,3.0,39.0,1.0,4.0,1.0,3.0,4.0,
2008,123,15,24,82,16,44.0,62,22,5.0,13.0,48,1.0,6.0,272,12,22,67,6,3.0,53.0,3.0,3.0,2.0,5.0,,
2009,87,21,31,69,13,38.0,54,22,8.0,10.0,42,1.0,7.0,264,32,17,35,11,2.0,45.0,3.0,2.0,1.0,1.0,4.0,2.0
2010,88,29,31,96,25,57.0,60,17,21.0,13.0,70,2.0,6.0,322,31,20,59,1,3.0,49.0,2.0,2.0,1.0,1.0,5.0,2.0
2011,119,49,24,89,22,37.0,69,24,30.0,12.0,41,6.0,19.0,349,34,16,54,9,4.0,52.0,2.0,4.0,2.0,6.0,7.0,
2012,134,49,32,111,28,51.0,98,43,21.0,13.0,59,6.0,13.0,503,24,24,60,5,9.0,50.0,1.0,7.0,2.0,3.0,5.0,
2013,186,79,48,93,33,82.0,114,33,21.0,21.0,60,11.0,10.0,433,29,19,84,9,9.0,52.0,5.0,5.0,2.0,6.0,3.0,1.0
2014,187,81,58,96,39,62.0,94,36,39.0,22.0,61,4.0,18.0,422,36,14,63,5,7.0,54.0,4.0,1.0,,4.0,8.0,2.0
2015,196,84,44,105,35,56.0,113,41,35.0,13.0,62,14.0,23.0,426,37,17,66,9,4.0,51.0,6.0,1.0,2.0,7.0,8.0,
2016,215,125,78,128,41,73.0,103,41,56.0,25.0,49,21.0,34.0,480,39,17,58,8,8.0,52.0,2.0,1.0,3.0,6.0,5.0,
2017,207,124,61,131,49,66.0,97,57,37.0,17.0,66,20.0,27.0,478,33,20,44,10,5.0,57.0,7.0,7.0,3.0,5.0,3.0,2.0
2018,199,123,58,168,65,71.0,93,50,44.0,17.0,58,23.0,39.0,523,49,20,57,18,9.0,78.0,3.0,12.0,1.0,2.0,4.0,1.0
2019,289,142,90,196,66,77.0,111,49,43.0,23.0,85,19.0,40.0,441,53,25,67,20,9.0,66.0,4.0,8.0,8.0,5.0,9.0,3.0
2020,351,162,82,163,64,74.0,119,68,50.0,27.0,78,12.0,29.0,394,85,26,71,13,8.0,63.0,7.0,3.0,6.0,10.0,10.0,
2021,375,369,134,185,84,78.0,114,109,129.0,44.0,72,36.0,76.0,332,79,30,46,21,25.0,54.0,11.0,12.0,15.0,3.0,7.0,1.0
2022,388,452,155,245,76,116.0,138,114,112.0,59.0,92,44.0,117.0,333,60,36,64,17,32.0,67.0,8.0,11.0,25.0,5.0,7.0,2.0
2023,457,547,181,311,114,167.0,146,130,138.0,52.0,103,96.0,140.0,347,63,41,82,15,45.0,64.0,9.0,13.0,44.0,15.0,9.0,2.0
2024,522,600,175,283,133,167.0,160,113,149.0,85.0,129,86.0,126.0,381,87,36,83,24,34.0,75.0,7.0,19.0,59.0,10.0,11.0,3.0
