,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,402,64,92,186,61,63,161,9,21,16,111,14,20,152,51,58,188,27,17,64,8,19,,4,14,1.0
1981,409,84,86,177,70,52,200,12,32,17,123,10,29,201,38,52,186,36,22,76,7,8,1.0,7,16,4.0
1982,412,53,81,204,65,54,208,14,40,18,106,9,35,145,40,47,192,28,10,56,13,22,1.0,10,17,
1983,444,83,85,246,59,59,198,14,36,12,102,8,34,193,37,50,191,28,16,58,15,10,2.0,7,13,10.0
1984,480,82,93,263,76,56,198,11,38,10,111,17,41,191,55,75,180,42,14,77,12,15,3.0,9,17,15.0
1985,512,89,113,267,83,73,211,13,44,14,123,18,45,222,57,59,230,38,14,75,12,16,5.0,8,23,4.0
1986,558,73,101,247,80,86,234,10,40,23,112,11,59,222,46,89,170,47,10,74,16,21,2.0,5,18,4.0
1987,1022,78,100,274,102,82,326,22,49,44,173,14,30,264,49,93,281,82,14,78,22,26,3.0,22,21,8.0
1988,1363,96,124,323,114,90,363,26,55,55,168,22,36,239,57,116,273,103,12,72,31,16,9.0,15,28,12.0
1989,1455,74,155,332,128,108,415,31,59,61,146,18,55,312,80,133,268,117,11,112,35,25,6.0,17,23,6.0
1990,1724,103,146,357,113,95,491,39,64,57,161,24,60,308,75,142,281,114,18,86,35,26,9.0,20,26,8.0
1991,1663,118,148,404,119,126,477,50,75,65,167,29,70,362,67,149,252,117,16,98,34,25,17.0,19,32,8.0
1992,1742,123,175,467,157,149,478,49,70,55,193,35,59,388,100,160,251,134,19,121,38,25,10.0,30,24,9.0
1993,1723,142,164,470,128,155,489,52,72,81,191,38,64,421,102,155,281,117,11,104,38,14,8.0,14,29,15.0
1994,1904,191,171,512,167,226,533,55,72,50,213,36,90,473,91,133,289,141,22,99,30,29,11.0,17,42,7.0
1995,1918,173,186,533,170,241,610,48,90,74,248,42,95,516,106,159,312,200,11,126,37,33,12.0,21,53,12.0
1996,2268,211,186,633,200,264,749,65,70,84,286,45,100,615,142,177,308,177,19,138,45,39,12.0,21,39,11.0
1997,2487,229,210,742,210,259,780,62,109,107,238,70,80,627,158,208,390,195,19,142,40,37,9.0,23,43,12.0
1998,2707,259,236,774,241,326,838,95,122,96,334,70,110,676,155,218,356,199,20,131,36,39,23.0,34,31,20.0
1999,2839,292,279,849,259,318,915,84,112,91,298,90,120,668,180,228,379,190,19,146,36,46,32.0,27,49,14.0
2000,3027,342,267,877,315,382,957,106,143,117,355,102,189,775,199,269,378,205,26,170,50,72,16.0,28,28,18.0
2001,3130,338,343,991,315,413,946,113,121,106,347,106,189,799,247,256,411,230,23,198,35,65,24.0,40,48,30.0
2002,3204,414,375,1506,368,1063,1065,130,127,129,441,168,185,891,258,270,401,218,28,209,35,81,27.0,27,33,18.0
2003,3469,493,355,1493,409,877,1148,169,173,171,468,167,235,933,274,251,439,254,29,225,47,94,35.0,44,44,34.0
2004,3914,544,456,1512,463,748,1275,179,211,175,500,164,282,1043,257,327,453,270,29,227,46,79,43.0,47,51,33.0
2005,4026,648,460,1727,473,1014,1301,174,196,170,521,229,313,1075,263,295,433,253,32,283,46,91,29.0,61,48,54.0
2006,4183,781,532,1981,578,1178,1408,216,225,180,605,299,328,1066,314,341,468,258,36,303,50,108,32.0,39,62,51.0
2007,4372,842,549,1986,635,1185,1475,269,231,210,557,336,377,1161,356,317,467,275,50,305,44,141,39.0,64,71,56.0
2008,5276,950,635,2224,670,1374,1638,281,312,259,637,373,457,1203,408,431,436,359,45,344,65,173,50.0,46,71,51.0
2009,5793,1109,709,2454,835,1452,1838,314,300,312,704,388,419,1271,478,378,450,408,86,346,49,172,56.0,59,83,74.0
2010,5426,1154,730,2610,876,1544,1836,347,363,308,801,439,470,1413,516,455,460,341,65,352,74,172,48.0,76,95,79.0
2011,5692,1299,709,2844,907,1584,1859,505,378,265,774,445,478,1538,515,505,454,327,81,399,69,220,73.0,92,88,65.0
2012,5919,1418,753,2932,961,1554,1958,436,407,298,822,501,474,1623,560,504,478,376,100,343,79,182,79.0,90,109,78.0
2013,6395,1480,848,3131,1076,1694,2071,495,487,328,844,520,559,1546,533,587,448,391,109,429,97,201,86.0,93,117,90.0
2014,6510,1629,925,3328,1116,1816,2094,507,555,362,958,533,549,1619,582,625,485,432,116,422,86,222,73.0,88,127,78.0
2015,6808,1692,975,3425,1201,1862,2277,587,592,403,987,589,619,1641,620,646,434,435,128,456,90,248,73.0,123,91,70.0
2016,6848,2031,1055,3766,1393,1833,2351,653,693,425,1006,622,574,1796,755,584,513,459,149,487,85,264,71.0,106,98,74.0
2017,6968,1940,1023,3711,1387,1789,2390,701,782,398,1058,589,513,1823,661,662,441,444,156,410,98,258,89.0,108,96,76.0
2018,7584,2146,1085,3833,1578,1922,2322,720,860,446,940,630,588,1872,704,681,463,429,166,457,118,286,125.0,106,127,75.0
2019,7905,2158,1098,4167,1637,1908,2421,838,850,442,1042,696,611,1785,701,714,493,414,148,456,88,266,105.0,102,104,104.0
2020,9232,2617,1238,4192,2102,2034,2543,973,1133,549,1094,741,715,1813,1090,751,438,468,177,500,109,249,125.0,107,72,110.0
2021,9545,3112,1371,4171,2263,2146,2598,1127,1005,542,998,762,730,1725,1078,801,447,503,214,472,115,276,130.0,90,112,96.0
2022,9087,2899,1162,4216,1959,2122,2478,1157,901,592,987,776,687,1677,743,783,437,475,215,620,121,274,96.0,98,89,100.0
2023,8986,2999,1177,4528,1937,2208,2300,1118,875,600,996,781,708,1733,751,774,502,473,174,598,102,297,106.0,81,92,90.0
2024,9387,2884,1129,4439,1993,2181,2351,1096,880,686,977,846,644,1680,743,732,456,422,217,597,131,304,132.0,79,95,112.0
