,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1988,2.0,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,
1989,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1990,1.0,2.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
1991,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
1992,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1998,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
1999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
2001,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2004,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,
2006,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
2007,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
2008,1.0,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,
2009,1.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,
2010,3.0,4.0,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,
2011,4.0,2.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,
2012,3.0,1.0,,2.0,2.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,1.0,1.0,,,,
2013,9.0,6.0,,3.0,7.0,9.0,,,3.0,,,2.0,2.0,,4.0,,,,3.0,,,,,,,
2014,12.0,6.0,1.0,,1.0,1.0,1.0,3.0,1.0,4.0,,2.0,1.0,,,,,1.0,,,,,,2.0,,
2015,12.0,4.0,,,2.0,,,1.0,,2.0,,,2.0,,2.0,,,,,1.0,,,,1.0,,
2016,22.0,3.0,2.0,,1.0,,2.0,2.0,1.0,,,,3.0,,,,,4.0,,,1.0,,,,,
2017,13.0,3.0,,,,,,1.0,2.0,,,,,,,1.0,,1.0,,,1.0,,,1.0,,
2018,9.0,7.0,3.0,4.0,7.0,6.0,,,2.0,3.0,,,1.0,,7.0,2.0,,,1.0,,,,,,,
2019,16.0,3.0,1.0,,4.0,1.0,1.0,,1.0,,,1.0,,,,2.0,,,,,,,,1.0,,
2020,27.0,5.0,3.0,2.0,5.0,7.0,3.0,1.0,8.0,6.0,,,2.0,,10.0,2.0,,,1.0,,1.0,,,,,
2021,36.0,12.0,1.0,,3.0,1.0,3.0,1.0,,,,,,,,3.0,,1.0,,,,,,,,
2022,26.0,4.0,1.0,,2.0,2.0,4.0,2.0,,2.0,,2.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0
2023,33.0,7.0,,3.0,4.0,,5.0,,,5.0,,,,,,4.0,,2.0,,1.0,,1.0,,,,
2024,32.0,3.0,,,4.0,,3.0,5.0,1.0,2.0,,1.0,1.0,,2.0,2.0,1.0,3.0,,,,,,,,
