,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,2.0,3.0,2.0,2,3.0,,1.0,,2.0,,1.0,,,3.0,,,1.0,,,,,,1.0,,,
1981,5.0,5.0,,4,,2.0,1.0,,1.0,,,,,4.0,,,,,1.0,1.0,,,,,,
1982,4.0,1.0,1.0,2,1.0,1.0,1.0,,3.0,,4.0,,,2.0,1.0,,2.0,,,3.0,,,,1.0,,
1983,1.0,2.0,3.0,6,2.0,,4.0,,2.0,1.0,2.0,,1.0,,1.0,,1.0,,,1.0,,,,,,
1984,1.0,1.0,,5,,,2.0,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,,2.0,,,3.0,,,1.0,1.0,,
1985,7.0,3.0,,6,,2.0,1.0,1.0,,,1.0,,1.0,7.0,,,2.0,,,5.0,,,,,,
1986,,,3.0,4,2.0,1.0,,,4.0,,1.0,,,3.0,,,1.0,1.0,,6.0,,,,,,
1987,6.0,2.0,2.0,4,,1.0,4.0,1.0,1.0,,3.0,,2.0,2.0,,,2.0,1.0,,4.0,,,,,,1.0
1988,8.0,,3.0,5,1.0,3.0,1.0,,3.0,,5.0,,,5.0,,,2.0,,,2.0,,,3.0,,,
1989,7.0,2.0,,5,,2.0,1.0,,,1.0,4.0,1.0,6.0,2.0,,,,,,2.0,,,,,1.0,
1990,24.0,5.0,3.0,9,1.0,2.0,7.0,1.0,3.0,1.0,2.0,1.0,4.0,4.0,,,5.0,2.0,1.0,6.0,,,1.0,,3.0,
1991,41.0,6.0,,6,1.0,4.0,5.0,,3.0,,1.0,1.0,2.0,4.0,,2.0,4.0,2.0,,6.0,,1.0,,,,
1992,22.0,5.0,5.0,15,2.0,,2.0,,1.0,2.0,3.0,1.0,7.0,8.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,,2.0,2.0,,
1993,16.0,6.0,4.0,13,,,1.0,,5.0,5.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,
1994,41.0,7.0,5.0,5,8.0,,7.0,3.0,5.0,7.0,,1.0,6.0,1.0,,1.0,1.0,2.0,,,2.0,,,2.0,2.0,1.0
1995,36.0,5.0,1.0,5,1.0,1.0,4.0,2.0,4.0,4.0,,,9.0,,2.0,3.0,1.0,1.0,,,3.0,,1.0,,,
1996,12.0,6.0,2.0,2,2.0,3.0,4.0,,4.0,8.0,,3.0,3.0,4.0,,1.0,2.0,2.0,,,1.0,,2.0,,,1.0
1997,15.0,4.0,1.0,6,1.0,,3.0,6.0,3.0,5.0,,,4.0,7.0,,2.0,1.0,,1.0,1.0,,,,,,
1998,24.0,14.0,8.0,2,1.0,2.0,5.0,,2.0,9.0,,,15.0,6.0,,,1.0,1.0,,2.0,,,2.0,,,
1999,47.0,14.0,3.0,6,4.0,1.0,7.0,9.0,1.0,9.0,1.0,2.0,9.0,3.0,,1.0,,4.0,,1.0,,,4.0,2.0,,
2000,44.0,4.0,4.0,10,1.0,2.0,11.0,1.0,2.0,3.0,1.0,,7.0,3.0,,1.0,,2.0,1.0,5.0,,,1.0,1.0,,
2001,41.0,10.0,11.0,7,3.0,4.0,5.0,7.0,1.0,5.0,2.0,5.0,9.0,4.0,1.0,1.0,1.0,2.0,,1.0,,2.0,2.0,2.0,,
2002,77.0,14.0,16.0,22,6.0,12.0,19.0,10.0,7.0,11.0,3.0,4.0,12.0,8.0,1.0,5.0,,2.0,,1.0,,,4.0,,,
2003,123.0,20.0,14.0,25,7.0,14.0,9.0,11.0,2.0,15.0,6.0,6.0,12.0,9.0,2.0,4.0,7.0,5.0,1.0,5.0,,2.0,3.0,1.0,,
2004,136.0,11.0,22.0,29,5.0,10.0,17.0,12.0,7.0,11.0,3.0,6.0,8.0,5.0,2.0,5.0,2.0,,,4.0,,,4.0,4.0,1.0,2.0
2005,129.0,22.0,23.0,39,7.0,10.0,20.0,9.0,5.0,14.0,7.0,9.0,16.0,11.0,3.0,1.0,4.0,3.0,,4.0,2.0,1.0,4.0,2.0,,2.0
2006,134.0,25.0,23.0,33,10.0,15.0,29.0,6.0,13.0,8.0,3.0,11.0,31.0,15.0,3.0,6.0,4.0,11.0,2.0,7.0,,2.0,,,,3.0
2007,158.0,39.0,42.0,40,18.0,13.0,27.0,20.0,10.0,11.0,8.0,11.0,35.0,17.0,2.0,8.0,6.0,2.0,,8.0,,2.0,4.0,2.0,2.0,1.0
2008,194.0,62.0,45.0,55,19.0,21.0,30.0,28.0,11.0,15.0,1.0,21.0,66.0,13.0,6.0,7.0,3.0,8.0,1.0,11.0,4.0,3.0,6.0,6.0,,7.0
2009,232.0,74.0,60.0,54,29.0,39.0,37.0,27.0,24.0,22.0,8.0,20.0,74.0,24.0,12.0,7.0,8.0,9.0,,11.0,4.0,4.0,4.0,5.0,1.0,2.0
2010,265.0,100.0,63.0,93,39.0,45.0,35.0,46.0,35.0,24.0,10.0,35.0,74.0,17.0,8.0,10.0,7.0,7.0,5.0,10.0,3.0,8.0,10.0,8.0,1.0,5.0
2011,337.0,125.0,71.0,124,45.0,67.0,52.0,48.0,39.0,30.0,10.0,31.0,96.0,17.0,11.0,10.0,10.0,9.0,4.0,8.0,,7.0,16.0,2.0,1.0,
2012,320.0,156.0,116.0,202,58.0,110.0,52.0,50.0,47.0,36.0,19.0,65.0,115.0,23.0,12.0,12.0,9.0,9.0,4.0,11.0,4.0,10.0,16.0,6.0,2.0,7.0
2013,374.0,175.0,103.0,198,52.0,110.0,65.0,64.0,52.0,38.0,32.0,89.0,150.0,21.0,11.0,21.0,14.0,17.0,5.0,11.0,7.0,13.0,17.0,6.0,1.0,2.0
2014,397.0,192.0,101.0,195,67.0,122.0,69.0,54.0,62.0,48.0,25.0,76.0,174.0,42.0,21.0,13.0,29.0,15.0,9.0,19.0,7.0,14.0,25.0,8.0,,5.0
2015,455.0,227.0,105.0,232,87.0,111.0,86.0,59.0,90.0,49.0,27.0,72.0,232.0,32.0,15.0,10.0,11.0,16.0,15.0,30.0,7.0,22.0,24.0,3.0,1.0,3.0
2016,476.0,253.0,131.0,227,107.0,122.0,92.0,58.0,94.0,61.0,24.0,97.0,269.0,45.0,11.0,14.0,23.0,15.0,10.0,25.0,12.0,25.0,32.0,6.0,3.0,5.0
2017,471.0,324.0,173.0,287,128.0,122.0,95.0,83.0,139.0,81.0,34.0,110.0,293.0,43.0,20.0,25.0,21.0,18.0,11.0,22.0,8.0,29.0,30.0,5.0,2.0,3.0
2018,507.0,310.0,177.0,312,133.0,141.0,102.0,87.0,103.0,69.0,42.0,137.0,325.0,44.0,26.0,20.0,26.0,34.0,8.0,29.0,14.0,37.0,35.0,7.0,,6.0
2019,552.0,355.0,163.0,345,149.0,152.0,102.0,107.0,140.0,89.0,44.0,133.0,291.0,33.0,22.0,30.0,25.0,27.0,15.0,36.0,16.0,39.0,30.0,8.0,4.0,9.0
2020,589.0,443.0,185.0,348,158.0,151.0,100.0,124.0,138.0,91.0,41.0,133.0,334.0,31.0,30.0,26.0,23.0,17.0,15.0,61.0,24.0,43.0,30.0,6.0,3.0,7.0
2021,610.0,447.0,262.0,402,202.0,156.0,117.0,155.0,153.0,75.0,43.0,152.0,321.0,38.0,22.0,28.0,21.0,32.0,12.0,56.0,18.0,39.0,45.0,17.0,3.0,5.0
2022,663.0,501.0,225.0,411,167.0,152.0,112.0,140.0,171.0,106.0,42.0,146.0,286.0,41.0,28.0,26.0,33.0,32.0,22.0,39.0,19.0,54.0,35.0,8.0,2.0,8.0
