,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,642,117,160,259,85,84,337,33,99,24,114,22,42,279,53,68,258,46,17,97,25,25,6,29,20,4
1981,710,148,179,307,113,93,383,45,77,24,118,33,38,328,59,75,262,52,15,79,28,22,7,25,15,16
1982,729,153,186,308,105,87,407,53,105,32,151,29,48,327,59,73,284,60,11,80,22,40,7,28,23,8
1983,845,153,186,346,122,104,414,45,102,36,167,24,45,356,95,86,277,71,19,88,34,28,2,34,28,11
1984,952,189,225,374,138,127,498,63,125,41,160,30,61,351,92,117,250,84,14,119,35,28,5,40,29,19
1985,1081,188,229,429,128,122,490,67,130,62,176,38,71,341,113,98,271,97,14,106,38,23,8,36,29,9
1986,1179,210,250,403,108,138,533,54,144,63,193,38,83,389,118,119,231,97,17,106,37,46,7,37,33,19
1987,1618,312,283,489,155,159,641,75,169,96,197,40,74,479,101,147,310,120,18,104,34,34,9,50,27,22
1988,1843,292,337,522,145,181,752,98,231,98,164,62,79,438,131,176,339,145,26,125,39,45,15,42,37,22
1989,2016,341,334,538,209,206,747,94,193,82,219,51,101,468,143,223,376,150,12,129,41,52,19,57,31,30
1990,2347,354,378,660,217,227,847,132,287,111,210,51,120,516,153,269,363,184,15,152,52,47,27,46,50,32
1991,2509,356,372,646,173,211,921,98,204,115,239,72,94,528,155,240,368,185,21,145,69,44,43,61,37,29
1992,2538,436,407,739,222,251,919,112,251,122,245,73,122,577,164,258,460,210,16,142,68,56,38,78,48,54
1993,2828,490,484,859,251,289,962,126,274,133,314,58,119,628,176,225,396,199,10,158,56,55,37,69,45,59
1994,3001,574,479,921,310,357,998,159,278,166,398,93,132,688,209,293,456,239,23,162,65,66,38,74,57,45
1995,3335,663,505,1055,290,358,1155,157,297,190,404,107,160,712,214,262,513,268,22,174,76,85,28,68,34,55
1996,3450,751,571,1169,404,395,1162,184,362,221,504,147,193,837,253,306,541,266,32,219,84,80,41,85,64,50
1997,3532,895,587,1238,441,426,1266,189,393,211,519,165,239,824,226,298,571,309,22,230,82,83,54,81,61,67
1998,3966,988,682,1383,484,476,1388,220,415,204,563,197,286,955,306,370,547,322,28,251,95,132,57,82,62,77
1999,4019,1179,719,1488,505,482,1443,284,459,310,626,273,331,1000,312,388,549,338,26,288,105,143,64,81,73,67
2000,4287,1338,798,1613,564,533,1507,265,509,311,654,345,367,1064,383,403,588,327,26,289,103,145,60,86,68,67
2001,4233,1533,867,1645,686,552,1599,296,533,340,735,391,404,1164,351,447,575,325,39,302,117,166,90,93,58,52
2002,4428,1708,912,3070,800,1514,1581,342,615,363,756,465,452,1294,428,457,587,326,39,369,146,172,69,90,74,79
2003,4868,1795,1045,2714,896,1109,1751,383,648,414,831,556,595,1361,425,524,590,346,37,404,142,196,68,96,71,65
2004,5587,1891,1233,2799,956,1082,1910,517,730,426,845,508,581,1444,517,531,592,386,36,350,144,204,87,91,80,68
2005,5882,2312,1277,2981,1133,1340,1894,513,838,473,934,627,662,1494,512,529,654,391,45,400,123,224,103,108,97,102
2006,6471,2247,1456,3442,1116,1461,1940,577,894,477,975,618,703,1463,516,556,694,427,52,456,186,277,111,105,110,107
2007,6627,2450,1546,3511,1185,1502,2098,627,1020,516,979,732,765,1627,596,602,727,434,69,473,147,285,138,116,85,108
2008,7692,3092,1788,3786,1376,1630,2367,768,1259,693,985,811,919,1642,658,785,708,505,59,484,163,322,131,119,102,137
2009,8148,3355,1823,3869,1418,1684,2437,852,1395,789,1171,915,1009,1746,786,763,678,555,95,539,177,340,156,134,99,151
2010,8295,3892,1817,4176,1516,1835,2536,990,1689,821,1243,981,1128,1888,782,968,767,493,100,532,155,395,194,125,107,168
2011,8689,4151,1885,4419,1684,1694,2667,1069,1693,828,1315,1123,1267,1831,774,958,780,643,144,530,214,384,155,139,118,173
2012,9333,4525,2159,4578,1796,1948,2852,1190,1849,1059,1418,1207,1301,1983,809,1037,793,621,151,512,208,364,176,162,141,164
2013,10195,4878,2256,4742,1927,1917,2895,1291,1911,1013,1436,1184,1175,2083,804,1051,804,661,195,513,256,429,151,158,142,184
2014,10489,5169,2321,5039,2042,1933,3085,1426,2034,1119,1562,1126,1257,2181,896,1110,864,699,208,537,247,412,209,161,139,184
2015,10894,5286,2392,5069,2211,1992,3117,1503,2138,1174,1616,1124,1246,2124,936,1118,848,704,234,548,216,459,190,157,146,159
2016,10965,5786,2257,5103,2269,2012,3089,1492,2336,1221,1542,1200,1206,2207,872,1111,842,710,240,537,238,388,172,176,139,159
2017,11407,5548,2134,5039,2268,1812,3042,1615,2245,1288,1515,1143,1188,2176,833,1116,857,681,211,521,246,445,198,157,133,163
2018,12071,5950,2227,5390,2391,1965,3078,1626,2277,1372,1463,1218,1246,2057,865,1192,722,706,267,497,252,467,243,175,145,164
2019,12639,6033,2257,5335,2462,1972,3076,1571,2037,1376,1497,1243,1198,2094,916,1243,787,698,304,507,258,464,214,175,160,142
2020,13968,5452,2304,5153,2782,1902,3154,1580,1678,1357,1505,1223,1206,2122,1202,1188,726,761,271,601,284,481,276,160,165,155
2021,14516,5143,2330,5365,2921,1923,3246,1704,1642,1303,1327,1097,1052,2077,1047,1266,700,805,313,625,233,435,258,153,150,118
2022,13631,4170,2087,5184,2559,1796,2920,1612,1320,1061,1261,976,1127,1892,835,1097,607,734,287,614,230,362,209,141,133,140
2023,14032,4257,2608,5422,2729,1955,4204,1544,1332,1218,1336,1021,1086,2333,802,1103,588,716,341,565,257,363,226,137,157,147
2024,13808,4015,1971,5521,2673,1934,2918,1516,1248,1210,1391,917,1041,2194,784,1019,587,727,299,542,234,379,222,141,169,139
