,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,3,,,,1.0,,3.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,
1981,2,,1.0,,3.0,,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,
1982,2,,2.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,
1983,9,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
1984,6,,2.0,,,,1.0,,,,,,,,2.0,,,,,,,1.0,,,,
1985,5,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,
1986,14,,3.0,,2.0,,,,,,1.0,,,1.0,,,,3.0,,,,,1.0,,,
1987,13,3.0,3.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
1988,13,4.0,7.0,2.0,,1.0,1.0,,2.0,,,1.0,4.0,,,,1.0,,,,,,,,,
1989,16,3.0,5.0,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,
1990,23,1.0,9.0,2.0,1.0,2.0,2.0,,,1.0,2.0,,,,1.0,1.0,,1.0,,,,,,,,
1991,21,2.0,8.0,,3.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,5.0,2.0,,,,,
1992,22,2.0,6.0,1.0,2.0,,5.0,,,1.0,2.0,,2.0,2.0,,,3.0,3.0,,,1.0,,,1.0,,
1993,15,4.0,8.0,1.0,3.0,,2.0,1.0,1.0,1.0,,,2.0,,,,2.0,,,1.0,1.0,,,,,1.0
1994,16,3.0,10.0,1.0,4.0,,4.0,,1.0,3.0,1.0,1.0,,,,,,2.0,,1.0,1.0,,,,,
1995,26,1.0,10.0,2.0,,2.0,3.0,2.0,,,,,1.0,,,,,3.0,,,2.0,,,,,
1996,22,3.0,19.0,1.0,1.0,1.0,4.0,,,5.0,,,1.0,,,,2.0,4.0,,1.0,1.0,,,,,
1997,31,1.0,16.0,1.0,1.0,,6.0,1.0,1.0,6.0,,,,1.0,4.0,1.0,1.0,1.0,,1.0,,,,,,
1998,54,2.0,19.0,4.0,1.0,,16.0,,,8.0,1.0,,1.0,1.0,,,2.0,5.0,,,1.0,,,,,2.0
1999,46,4.0,27.0,1.0,3.0,,10.0,,1.0,2.0,1.0,,2.0,,1.0,,1.0,3.0,,,,,,,,
2000,36,17.0,30.0,3.0,11.0,1.0,4.0,1.0,1.0,1.0,,3.0,2.0,,2.0,,,7.0,,2.0,6.0,,,,1.0,
2001,68,29.0,22.0,1.0,8.0,4.0,8.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,,1.0,4.0,,,2.0,1.0,,,,1.0
2002,45,13.0,33.0,4.0,4.0,4.0,6.0,,3.0,7.0,1.0,2.0,5.0,,3.0,,2.0,2.0,,3.0,5.0,,,,,
2003,63,18.0,50.0,4.0,8.0,,7.0,,4.0,7.0,4.0,,4.0,2.0,3.0,,,5.0,,1.0,9.0,,,,,
2004,61,10.0,58.0,2.0,13.0,4.0,13.0,1.0,4.0,4.0,3.0,3.0,5.0,,5.0,1.0,,10.0,,1.0,3.0,,,1.0,,
2005,56,21.0,50.0,,2.0,3.0,11.0,5.0,4.0,11.0,2.0,1.0,7.0,4.0,3.0,,1.0,6.0,,4.0,2.0,,1.0,1.0,,2.0
2006,78,15.0,72.0,10.0,14.0,6.0,10.0,2.0,1.0,13.0,2.0,,8.0,6.0,1.0,,,14.0,1.0,1.0,5.0,,1.0,1.0,1.0,1.0
2007,117,34.0,54.0,2.0,11.0,3.0,15.0,5.0,7.0,22.0,7.0,4.0,3.0,4.0,1.0,1.0,1.0,20.0,3.0,3.0,11.0,2.0,,2.0,1.0,3.0
2008,122,22.0,77.0,13.0,17.0,3.0,16.0,2.0,5.0,6.0,4.0,1.0,4.0,5.0,2.0,,2.0,8.0,,2.0,7.0,,,,,2.0
2009,155,30.0,79.0,20.0,22.0,4.0,16.0,4.0,1.0,14.0,,5.0,6.0,5.0,8.0,1.0,4.0,17.0,1.0,6.0,5.0,2.0,1.0,2.0,,
2010,151,26.0,90.0,11.0,24.0,7.0,10.0,,,11.0,3.0,4.0,5.0,12.0,4.0,1.0,4.0,14.0,2.0,8.0,4.0,1.0,,2.0,,1.0
2011,158,43.0,116.0,23.0,30.0,7.0,28.0,1.0,9.0,6.0,4.0,5.0,13.0,3.0,4.0,1.0,4.0,15.0,2.0,5.0,10.0,,1.0,2.0,,
2012,188,34.0,119.0,39.0,41.0,11.0,31.0,3.0,1.0,18.0,3.0,9.0,10.0,7.0,4.0,1.0,5.0,29.0,3.0,13.0,7.0,1.0,1.0,6.0,3.0,2.0
2013,221,41.0,119.0,26.0,31.0,9.0,20.0,3.0,6.0,25.0,7.0,,10.0,11.0,6.0,3.0,4.0,24.0,1.0,12.0,13.0,1.0,1.0,4.0,,
2014,285,45.0,109.0,29.0,38.0,14.0,23.0,1.0,2.0,17.0,6.0,7.0,11.0,2.0,5.0,2.0,6.0,22.0,1.0,9.0,21.0,2.0,,4.0,,
2015,314,49.0,157.0,27.0,55.0,10.0,33.0,2.0,5.0,24.0,6.0,3.0,5.0,7.0,16.0,4.0,2.0,28.0,7.0,8.0,26.0,2.0,1.0,3.0,,
2016,342,45.0,191.0,40.0,50.0,18.0,41.0,5.0,8.0,26.0,5.0,8.0,14.0,9.0,9.0,4.0,4.0,30.0,6.0,11.0,19.0,3.0,2.0,1.0,,2.0
2017,329,53.0,209.0,51.0,65.0,11.0,44.0,8.0,4.0,29.0,8.0,7.0,18.0,4.0,14.0,1.0,2.0,17.0,7.0,9.0,22.0,1.0,4.0,4.0,,7.0
2018,381,65.0,250.0,43.0,71.0,14.0,44.0,8.0,10.0,41.0,6.0,6.0,25.0,19.0,11.0,4.0,6.0,22.0,11.0,12.0,13.0,5.0,5.0,6.0,2.0,3.0
2019,371,60.0,335.0,44.0,67.0,25.0,57.0,8.0,9.0,36.0,6.0,7.0,29.0,14.0,7.0,,6.0,31.0,8.0,3.0,26.0,6.0,6.0,6.0,,3.0
2020,415,67.0,306.0,74.0,85.0,32.0,65.0,9.0,12.0,44.0,10.0,13.0,33.0,17.0,12.0,2.0,11.0,27.0,5.0,24.0,34.0,4.0,4.0,11.0,2.0,
2021,504,112.0,268.0,103.0,106.0,33.0,75.0,16.0,14.0,44.0,19.0,21.0,41.0,13.0,10.0,4.0,8.0,38.0,14.0,24.0,30.0,6.0,9.0,4.0,,5.0
2022,525,113.0,321.0,94.0,81.0,29.0,56.0,17.0,20.0,54.0,36.0,19.0,39.0,20.0,21.0,3.0,1.0,34.0,21.0,35.0,48.0,8.0,7.0,11.0,,6.0
2023,543,116.0,414.0,122.0,108.0,49.0,92.0,17.0,11.0,55.0,36.0,21.0,51.0,29.0,19.0,1.0,2.0,44.0,27.0,29.0,50.0,3.0,2.0,10.0,2.0,6.0
2024,543,93.0,403.0,128.0,134.0,54.0,72.0,16.0,11.0,61.0,37.0,22.0,41.0,10.0,23.0,2.0,9.0,42.0,24.0,36.0,33.0,9.0,6.0,8.0,3.0,4.0
