,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,3,1,1.0,1.0,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,
1981,1.0,9,2,,,,,,2.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,
1982,3.0,6,4,3.0,,,1.0,1.0,,1.0,,,3.0,2.0,,,1.0,,,,,,,,,
1983,,11,2,,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,1.0
1984,1.0,7,1,,2.0,,1.0,,3.0,,,,,1.0,,,,,,,,,,,,
1985,4.0,3,2,,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,
1986,3.0,3,1,1.0,3.0,,,,2.0,1.0,,,,3.0,1.0,,,,,1.0,,,,,,
1987,10.0,5,3,2.0,2.0,,2.0,1.0,4.0,2.0,,,,,,,1.0,,,1.0,,,,,,
1988,6.0,5,2,3.0,,,,,2.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,
1989,7.0,8,9,,1.0,2.0,3.0,1.0,3.0,1.0,,,,,2.0,1.0,1.0,,,,1.0,,1.0,,1.0,
1990,3.0,4,8,1.0,1.0,,1.0,,2.0,1.0,1.0,,2.0,,2.0,,,1.0,,,,,,2.0,,
1991,18.0,4,10,4.0,1.0,,2.0,,2.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,,
1992,11.0,9,7,4.0,,,2.0,1.0,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,
1993,10.0,7,24,,2.0,,1.0,1.0,3.0,2.0,,,,1.0,1.0,,1.0,,,,2.0,1.0,,2.0,,
1994,9.0,3,19,,2.0,,3.0,1.0,4.0,,,,,2.0,1.0,,,2.0,,1.0,,,,,,
1995,8.0,7,19,,4.0,,1.0,,2.0,3.0,,,,2.0,2.0,,,,,,,,,,,
1996,8.0,15,25,2.0,2.0,1.0,6.0,,5.0,,,,,2.0,1.0,,,1.0,,,2.0,1.0,,,,1.0
1997,17.0,12,35,1.0,3.0,,7.0,,5.0,2.0,,,2.0,2.0,2.0,,,3.0,,2.0,1.0,,,,1.0,2.0
1998,11.0,9,25,3.0,3.0,1.0,7.0,2.0,3.0,1.0,,,2.0,2.0,,1.0,,3.0,,1.0,1.0,,,,,
1999,21.0,6,31,5.0,7.0,,3.0,,3.0,2.0,,4.0,,5.0,1.0,,,4.0,,5.0,2.0,,,,,
2000,31.0,20,55,4.0,13.0,3.0,8.0,1.0,5.0,1.0,1.0,3.0,1.0,7.0,2.0,,,5.0,,3.0,9.0,2.0,,,,
2001,37.0,34,47,3.0,17.0,6.0,10.0,4.0,13.0,8.0,3.0,1.0,3.0,1.0,11.0,1.0,,4.0,,4.0,4.0,1.0,,,1.0,1.0
2002,45.0,46,58,7.0,10.0,3.0,13.0,5.0,5.0,10.0,2.0,1.0,5.0,4.0,7.0,,,7.0,,5.0,4.0,2.0,,1.0,,1.0
2003,41.0,57,62,6.0,19.0,5.0,17.0,3.0,10.0,17.0,2.0,7.0,3.0,7.0,12.0,,1.0,6.0,1.0,4.0,8.0,3.0,,1.0,,
2004,60.0,74,67,11.0,21.0,5.0,13.0,5.0,8.0,3.0,4.0,2.0,1.0,10.0,7.0,1.0,,,1.0,7.0,8.0,2.0,,,,1.0
2005,64.0,82,60,7.0,37.0,6.0,13.0,7.0,13.0,12.0,2.0,4.0,1.0,2.0,12.0,,2.0,2.0,1.0,6.0,5.0,3.0,,2.0,,2.0
2006,67.0,85,79,16.0,36.0,6.0,14.0,10.0,15.0,23.0,,6.0,6.0,3.0,12.0,,1.0,5.0,1.0,6.0,7.0,2.0,1.0,1.0,,2.0
2007,90.0,77,89,29.0,40.0,12.0,17.0,8.0,20.0,19.0,6.0,6.0,10.0,15.0,14.0,1.0,,9.0,,5.0,6.0,,1.0,2.0,,
2008,92.0,83,98,7.0,44.0,9.0,17.0,13.0,20.0,21.0,3.0,3.0,15.0,15.0,19.0,,,11.0,1.0,6.0,9.0,1.0,,1.0,1.0,
2009,107.0,89,133,39.0,56.0,14.0,28.0,15.0,21.0,22.0,5.0,2.0,16.0,12.0,17.0,1.0,4.0,12.0,3.0,7.0,7.0,2.0,,1.0,,
2010,113.0,110,130,12.0,55.0,5.0,22.0,11.0,30.0,24.0,6.0,9.0,11.0,12.0,29.0,1.0,1.0,11.0,1.0,6.0,5.0,3.0,,,,1.0
2011,114.0,146,157,34.0,50.0,16.0,32.0,10.0,33.0,17.0,3.0,13.0,31.0,11.0,23.0,2.0,5.0,8.0,2.0,2.0,6.0,1.0,3.0,2.0,2.0,3.0
2012,151.0,134,185,35.0,67.0,15.0,27.0,11.0,31.0,26.0,3.0,10.0,21.0,17.0,19.0,2.0,5.0,18.0,5.0,6.0,6.0,10.0,3.0,3.0,1.0,4.0
