,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,1.0,2.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
1981,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
1982,1.0,,2.0,,2.0,,,,1.0,,,,,,4.0,1.0,,,,,,,,1.0,,
1983,1.0,,2.0,1.0,3.0,,,1.0,,,,,,,3.0,1.0,,,,,,,,,,
1984,,,,,7.0,,,,,,,,,,1.0,,,,,,,,,,,
1985,1.0,1.0,1.0,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,
1986,,,,1.0,3.0,,,,1.0,,,,,,4.0,,,,,,,,,,,
1987,,,,,3.0,,,,2.0,,,,,,2.0,,,,,,,,,,,
1988,,,,,3.0,1.0,,,,,,,,,,,,1.0,,,,,,,,
1989,,1.0,,,2.0,,,,,,,,,,2.0,,1.0,,,,,1.0,,,,
1990,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,
1991,,,1.0,,4.0,,,,1.0,,,,,,3.0,,,,,,,,,,,
1992,,1.0,,1.0,2.0,,1.0,,,,,,,,2.0,,,,,,,,,,,
1993,,2.0,,,5.0,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,
1994,,1.0,,,2.0,1.0,1.0,,,1.0,,,,,3.0,,,,,,,,,,,
1995,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
1996,,,,1.0,3.0,,1.0,,,,,1.0,,,7.0,,1.0,,,,,,,,,
1997,,,,1.0,2.0,,1.0,,,,,,1.0,1.0,5.0,,1.0,,,,,,,,,
1998,,4.0,1.0,,,,1.0,,1.0,,,1.0,,,11.0,,,,,,,,,,,
1999,,3.0,1.0,,2.0,,,,,,,2.0,,,3.0,,,,,,,,,,,
2000,3.0,2.0,,1.0,5.0,3.0,2.0,,,2.0,,,,,4.0,1.0,,,,,,,,,,
2001,3.0,2.0,,1.0,4.0,5.0,3.0,,,,,,,,8.0,,,,,,,,,,,
2002,1.0,,1.0,3.0,6.0,10.0,1.0,,1.0,,,,,,3.0,,,,,,,,,,,
2003,,3.0,,1.0,6.0,26.0,,,1.0,,,,2.0,,3.0,,,,,,,,,,,
2004,,2.0,4.0,5.0,5.0,13.0,,,,,,1.0,,,7.0,,,,,,,,,,,
2005,,2.0,1.0,4.0,6.0,8.0,1.0,1.0,,1.0,,1.0,1.0,,5.0,1.0,,,,2.0,1.0,,,,,
2006,1.0,2.0,1.0,1.0,7.0,18.0,1.0,,,1.0,,1.0,,,9.0,,,,,1.0,,2.0,,,,
2007,2.0,1.0,2.0,1.0,11.0,14.0,1.0,,,,,,1.0,,19.0,,,,,,,,,,,
2008,1.0,3.0,6.0,,13.0,22.0,1.0,,1.0,,,,1.0,,16.0,1.0,1.0,,,2.0,1.0,,,,,
2009,2.0,2.0,1.0,4.0,11.0,21.0,,2.0,,,,1.0,2.0,,18.0,,,,,2.0,,,,,,
2010,2.0,5.0,1.0,3.0,19.0,7.0,,1.0,,,,1.0,,,15.0,,,,,1.0,,,,,,
2011,,2.0,3.0,2.0,6.0,8.0,1.0,,2.0,,,2.0,,2.0,20.0,,,,,,,,,,,
2012,1.0,2.0,1.0,,14.0,10.0,2.0,,1.0,,,1.0,,1.0,26.0,,,,,,,,,,,
2013,1.0,2.0,7.0,2.0,6.0,12.0,6.0,,1.0,,,2.0,1.0,2.0,24.0,,1.0,,,3.0,,1.0,,,,
2014,1.0,1.0,,3.0,7.0,4.0,1.0,,1.0,,,,,,20.0,,,,1.0,,,,,,,
2015,2.0,1.0,3.0,1.0,12.0,8.0,4.0,1.0,,,,1.0,,,23.0,,1.0,,,,,,,,,
2016,5.0,1.0,4.0,,12.0,2.0,2.0,,,,1.0,,1.0,,20.0,,1.0,,,,,,,,,
2017,4.0,3.0,1.0,,16.0,1.0,2.0,1.0,,1.0,1.0,1.0,2.0,,23.0,,,,2.0,,,1.0,,,,
2018,2.0,4.0,4.0,1.0,12.0,1.0,,,,1.0,,,,,11.0,,,1.0,,,,,,,,
2019,8.0,5.0,1.0,2.0,15.0,1.0,3.0,1.0,,,,1.0,1.0,,12.0,,,,,,,,,,,
2020,7.0,5.0,3.0,2.0,22.0,1.0,3.0,,,2.0,,1.0,1.0,,21.0,1.0,,,,,,,,,,
2021,3.0,3.0,2.0,,18.0,2.0,4.0,,,,,,1.0,2.0,12.0,,,,,,,,,,,
2022,15.0,5.0,2.0,1.0,18.0,4.0,4.0,1.0,1.0,1.0,,,,,14.0,,,,1.0,,,,,,,
2023,5.0,7.0,2.0,1.0,20.0,3.0,1.0,2.0,2.0,,,1.0,1.0,,20.0,,,,,,,,,,,
2024,9.0,6.0,1.0,7.0,26.0,2.0,2.0,2.0,,,2.0,1.0,1.0,1.0,7.0,1.0,1.0,,,,1.0,,,,,
