,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,4,11,4,1.0,1.0,,,,1.0,1.0,,,,1.0,3.0,,,,,2.0,1.0,1.0,,,,
1981,5,9,1,1.0,,1.0,3.0,,,2.0,,1.0,,3.0,1.0,,,,,,,,1.0,,,
1982,5,7,5,,3.0,,1.0,,1.0,1.0,1.0,2.0,2.0,4.0,1.0,,,,,4.0,1.0,,,,,
1983,12,12,3,2.0,3.0,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,,,,2.0,,,,,
1984,8,9,4,1.0,2.0,,4.0,2.0,4.0,1.0,,3.0,2.0,3.0,1.0,,,,,1.0,,,,,,
1985,8,18,3,1.0,1.0,,2.0,,7.0,2.0,1.0,2.0,1.0,5.0,,,,,,,,,2.0,,,
1986,14,11,9,18.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,,1.0,2.0,2.0,,3.0,,1.0,,1.0,,,,1.0,
1987,14,12,9,7.0,3.0,,1.0,1.0,7.0,1.0,1.0,2.0,4.0,,3.0,,2.0,,,1.0,,1.0,,,,
1988,12,17,2,,3.0,2.0,4.0,4.0,6.0,2.0,,1.0,,1.0,1.0,,,,,3.0,1.0,,,,,
1989,10,30,5,2.0,4.0,2.0,1.0,2.0,10.0,,,,2.0,,,1.0,,,,,2.0,,,,,
1990,20,23,5,2.0,1.0,2.0,4.0,,8.0,,1.0,,4.0,2.0,3.0,,2.0,,,,,1.0,,,,
1991,23,23,8,2.0,1.0,4.0,5.0,4.0,8.0,6.0,,3.0,3.0,3.0,1.0,,2.0,,,,,,1.0,,,
1992,40,18,5,3.0,4.0,2.0,10.0,4.0,11.0,2.0,,,2.0,4.0,4.0,,1.0,,,,,1.0,,1.0,,
1993,30,26,10,3.0,4.0,1.0,5.0,3.0,9.0,2.0,,1.0,2.0,3.0,2.0,,2.0,,,1.0,,,1.0,2.0,,
1994,34,19,16,3.0,6.0,3.0,10.0,3.0,16.0,12.0,,2.0,,2.0,2.0,1.0,5.0,,,,5.0,1.0,,2.0,,
1995,35,23,15,6.0,6.0,6.0,11.0,5.0,16.0,3.0,1.0,5.0,7.0,3.0,6.0,4.0,3.0,,,1.0,1.0,,,2.0,,
1996,45,25,19,7.0,6.0,4.0,11.0,5.0,32.0,4.0,,3.0,5.0,8.0,7.0,1.0,1.0,2.0,3.0,,2.0,,,,,
1997,52,44,20,7.0,16.0,6.0,12.0,11.0,19.0,7.0,3.0,1.0,8.0,5.0,6.0,2.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0
1998,64,61,17,6.0,20.0,9.0,15.0,7.0,17.0,10.0,2.0,4.0,6.0,8.0,9.0,1.0,1.0,4.0,3.0,3.0,1.0,3.0,,,,
1999,69,51,30,13.0,36.0,5.0,15.0,7.0,15.0,5.0,,1.0,9.0,7.0,9.0,1.0,,6.0,3.0,2.0,2.0,2.0,1.0,,,1.0
2000,70,57,42,22.0,26.0,8.0,13.0,10.0,18.0,8.0,1.0,6.0,7.0,3.0,12.0,2.0,2.0,10.0,3.0,1.0,1.0,2.0,1.0,3.0,,
2001,95,58,27,12.0,33.0,6.0,15.0,12.0,25.0,12.0,6.0,6.0,5.0,8.0,15.0,2.0,1.0,7.0,2.0,2.0,,4.0,4.0,1.0,,1.0
2002,94,84,27,16.0,28.0,13.0,14.0,7.0,39.0,4.0,1.0,5.0,13.0,2.0,13.0,8.0,1.0,3.0,4.0,2.0,,4.0,2.0,1.0,2.0,1.0
2003,86,114,49,25.0,40.0,9.0,12.0,17.0,27.0,6.0,1.0,9.0,15.0,4.0,12.0,2.0,4.0,7.0,4.0,4.0,3.0,,1.0,,1.0,
2004,71,103,57,29.0,45.0,16.0,14.0,19.0,42.0,15.0,4.0,15.0,11.0,4.0,11.0,4.0,5.0,4.0,6.0,1.0,7.0,5.0,2.0,1.0,,
2005,73,133,65,29.0,64.0,11.0,23.0,9.0,39.0,17.0,7.0,25.0,25.0,6.0,18.0,1.0,4.0,6.0,4.0,4.0,1.0,6.0,4.0,3.0,,1.0
2006,81,177,76,32.0,77.0,20.0,20.0,20.0,37.0,22.0,5.0,31.0,19.0,9.0,19.0,3.0,6.0,7.0,5.0,2.0,3.0,6.0,7.0,1.0,1.0,
2007,121,203,79,30.0,74.0,23.0,37.0,16.0,33.0,20.0,7.0,22.0,17.0,10.0,15.0,2.0,11.0,13.0,5.0,3.0,5.0,4.0,10.0,2.0,1.0,1.0
2008,108,213,84,39.0,79.0,22.0,26.0,24.0,72.0,17.0,7.0,27.0,34.0,18.0,21.0,3.0,13.0,10.0,4.0,6.0,5.0,7.0,9.0,10.0,,2.0
2009,157,290,97,44.0,93.0,27.0,42.0,44.0,44.0,36.0,14.0,46.0,36.0,18.0,28.0,4.0,13.0,6.0,8.0,1.0,6.0,5.0,10.0,2.0,3.0,6.0
2010,135,314,92,36.0,111.0,48.0,24.0,39.0,80.0,31.0,17.0,25.0,41.0,15.0,24.0,3.0,13.0,6.0,6.0,12.0,4.0,6.0,10.0,2.0,8.0,1.0
2011,155,342,100,51.0,111.0,48.0,41.0,33.0,89.0,42.0,19.0,34.0,42.0,9.0,21.0,2.0,7.0,3.0,15.0,14.0,8.0,4.0,9.0,3.0,3.0,1.0
2012,194,362,96,54.0,93.0,38.0,29.0,43.0,77.0,43.0,20.0,40.0,24.0,4.0,23.0,6.0,11.0,7.0,5.0,15.0,14.0,8.0,9.0,1.0,,3.0
2013,184,401,116,57.0,136.0,32.0,54.0,45.0,80.0,58.0,9.0,54.0,43.0,7.0,26.0,10.0,8.0,13.0,11.0,11.0,13.0,15.0,17.0,2.0,1.0,1.0
