,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,640,308,664,170,355,58,250,55,95,89,100,15,36,217,58,43,106,74,8,64,17,46,17,9,10,10
1981,652,388,721,216,366,65,281,56,139,100,128,17,60,237,58,41,126,72,16,68,24,47,19,8,8,14
1982,662,437,678,212,359,74,262,70,137,93,116,17,63,244,72,51,96,58,7,65,25,70,21,12,5,12
1983,705,421,663,232,351,65,271,54,148,108,111,18,72,245,68,56,89,50,14,62,30,65,16,11,11,18
1984,750,434,559,247,251,58,258,55,173,110,106,19,67,302,67,44,89,74,10,63,27,63,22,9,17,21
1985,530,417,546,253,289,83,234,63,160,97,125,17,89,332,85,54,91,74,15,68,28,68,15,8,6,11
1986,762,427,579,275,368,84,296,64,164,115,111,20,79,354,102,48,112,89,10,87,28,61,13,12,9,21
1987,750,437,544,288,336,113,336,58,136,104,106,19,80,333,84,77,121,131,15,99,35,55,7,14,11,10
1988,898,425,598,267,350,116,372,76,156,122,158,21,69,409,85,81,139,112,13,101,33,60,4,26,7,13
1989,1048,469,691,406,344,108,394,94,171,138,158,34,90,472,112,91,182,135,18,91,49,55,14,39,10,24
1990,1216,506,640,462,391,162,446,89,211,137,173,35,90,511,138,136,189,116,25,109,56,56,35,22,14,20
1991,1374,489,631,434,388,169,493,103,223,165,190,37,92,493,145,108,221,156,24,107,53,54,53,36,13,20
1992,1535,571,746,548,410,207,519,113,262,200,236,40,96,693,137,119,223,194,21,112,70,52,78,33,20,41
1993,1745,796,991,620,592,215,592,155,402,244,246,34,125,646,160,109,240,175,27,161,63,85,42,32,23,24
1994,1991,987,1055,650,604,242,709,167,545,267,292,65,131,745,146,130,244,234,28,139,62,94,65,29,20,22
1995,2122,1167,1162,634,683,318,765,164,552,271,333,69,128,825,200,153,285,236,31,183,72,137,67,36,23,42
1996,2333,1297,1181,874,695,354,913,230,688,325,392,57,185,956,224,174,359,236,30,186,89,128,73,49,35,48
1997,2949,1524,1531,1107,827,403,1022,311,708,393,470,68,208,1171,226,242,501,307,31,257,106,161,113,64,45,49
1998,3533,1711,1819,1244,1070,502,1242,419,890,512,623,104,188,1301,309,229,504,389,50,264,131,210,129,68,58,68
1999,4005,2155,2561,1537,1169,572,1345,555,983,570,731,125,280,1351,339,265,583,386,41,311,136,216,167,88,59,72
2000,4471,2312,2805,1889,1465,752,1635,592,985,651,813,183,377,1474,536,336,627,400,65,318,140,312,208,94,100,110
2001,4914,2583,2892,2009,1643,878,1664,621,1198,701,954,213,372,1711,429,353,733,436,72,379,143,344,256,109,79,95
2002,5474,3145,3605,4077,1968,2334,1919,741,1142,842,1219,283,426,1901,497,487,867,490,88,471,189,438,315,110,119,98
2003,6673,3494,3995,3371,2157,1782,2233,815,1400,982,1192,351,498,1801,534,482,834,546,126,438,208,518,453,152,120,138
2004,7864,3978,4348,3398,2497,1806,2524,1070,1484,1142,1327,361,496,2159,599,520,939,678,104,485,240,573,629,164,129,223
2005,8588,4823,5028,3697,2969,1890,2594,1299,1822,1382,1261,444,592,2070,786,600,1031,680,130,491,285,763,666,186,140,131
2006,10205,5883,5650,4084,3626,2506,2940,1536,2325,1731,1560,558,617,2112,783,723,1105,861,151,516,309,838,872,234,173,186
