,Documents
1980,1172171
1981,1160840
1982,1161569
1983,1213558
1984,1249243
1985,1305065
1986,1369155
1987,1436877
1988,1498561
1989,1590556
1990,1739626
1991,1719524
1992,1798711
1993,1881573
1994,1985685
1995,2104850
1996,2293947
1997,2374976
1998,2526898
1999,2619143
2000,3137670
2001,3142477
2002,3713927
2003,3881653
2004,4147354
2005,4477864
2006,4848519
2007,5078194
2008,5521555
2009,5940034
2010,6293232
2011,6590573
2012,6839270
2013,7120332
2014,7374735
2015,7516182
2016,7590031
2017,7219061
2018,7136236
2019,7426833
2020,7608413
2021,7053164
2022,6457322
2023,6731444
2024,7075425
