,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,2393,1652,1054,1872,867,591,1361,555,705,213,487,135,275,1034,598,689,748,198,57,534,95,121,25,77,103,47
1981,2717,1715,997,2027,881,641,1395,579,731,259,531,181,285,1061,569,701,804,183,50,473,120,126,27,81,94,43
1982,2676,1873,1133,2027,953,668,1502,622,899,253,552,209,323,1066,644,808,766,227,62,499,133,153,31,86,86,37
1983,3084,1925,1152,2198,980,809,1633,724,809,264,537,189,364,1085,710,771,817,209,69,522,152,153,35,107,114,54
1984,3534,2034,1288,2337,1057,770,1667,768,871,291,605,248,343,1234,753,901,820,254,76,513,145,177,36,85,128,54
1985,3648,2141,1374,2628,1134,797,1886,813,987,300,604,263,419,1335,750,950,919,277,73,544,150,196,39,76,160,61
1986,3955,2159,1385,2925,1258,941,1893,860,955,329,693,310,475,1430,917,967,888,298,72,574,188,209,52,111,133,67
1987,5111,2207,1512,2989,1351,1024,2358,968,956,449,699,296,487,1506,871,1171,1226,313,79,629,222,207,66,124,148,64
1988,6208,2447,1569,2948,1501,1088,2824,1043,973,489,816,343,539,1616,916,1203,1251,480,79,717,278,252,72,145,147,92
1989,6514,2502,1691,3275,1546,1206,2893,1111,911,511,884,361,587,1705,986,1283,1273,481,88,704,269,262,96,153,167,92
1990,7232,2526,1816,3534,1583,1272,3131,1159,1023,694,892,427,607,1799,1105,1332,1179,581,80,753,268,250,140,164,159,82
1991,7336,2732,1703,3785,1614,1448,3255,1123,978,669,911,432,612,1870,1063,1308,1169,591,94,734,263,260,134,145,139,84
1992,7722,2778,1742,4065,1709,1565,3391,1196,1049,674,929,424,645,1936,1060,1485,1244,581,90,795,271,306,142,153,106,78
1993,8038,3054,1744,4289,1696,1640,3534,1228,1070,849,930,480,636,2085,1184,1570,1324,567,85,794,257,306,132,155,138,107
1994,8323,3129,1868,4438,1850,1722,3605,1321,1153,827,965,557,705,2133,1136,1506,1206,707,99,752,245,295,145,132,160,97
1995,9031,3127,1816,4278,1993,1681,3620,1298,1142,919,1034,529,705,2093,1153,1502,1254,652,71,787,230,323,123,175,151,112
1996,9405,3249,1865,4448,2123,1824,3903,1358,1084,893,1142,581,804,1989,1321,1751,1567,710,93,901,268,403,134,164,158,112
1997,9820,3294,1895,4197,2255,1672,3977,1405,1199,1028,1100,601,800,2109,1271,1636,1483,686,91,860,298,363,117,174,149,122
1998,10354,3320,1796,4423,2271,1582,4125,1441,1193,1077,1119,697,921,2154,1196,1711,1451,770,90,789,284,313,150,172,177,121
1999,11021,3413,1901,4152,2228,1803,4387,1489,1229,1055,1031,670,900,2043,1239,1692,1436,785,70,878,299,331,136,174,176,135
2000,11454,3504,2020,4577,2670,1932,4577,1525,1299,1094,1158,773,896,2277,1397,1796,1618,774,82,817,298,342,118,171,181,115
2001,11410,3855,1864,4442,2621,2051,4434,1687,1358,1238,1164,816,1062,2164,1374,1697,1586,796,82,778,281,414,121,165,183,114
2002,12087,4308,2049,11800,3052,8320,4700,1799,1468,1408,1710,1016,1196,3066,1821,1938,1488,756,122,992,325,592,137,207,169,131
2003,13520,4720,2249,8892,3348,5406,5312,2028,1451,1486,1533,1201,1365,3005,1731,2044,1586,846,98,1075,318,585,150,191,211,112
2004,15080,5098,2481,8609,3387,5051,5747,2203,1588,1576,1608,1153,1344,3194,1818,2125,1725,959,140,1084,371,596,133,246,209,162
2005,16346,6730,2737,9963,4061,6023,5787,2408,1759,1965,1854,1468,1451,3498,1911,2219,1801,1039,151,1239,367,660,152,194,239,160
2006,18066,6469,2890,11415,4353,6737,6566,2685,1995,2090,2108,1455,1589,3815,2221,2430,1854,1088,213,1277,381,798,158,208,240,185
2007,18664,7021,2905,10482,4484,6351,6690,2823,1961,2154,2160,1649,1694,3658,2298,2483,1868,1113,210,1301,447,830,164,228,253,157
2008,21205,8135,3008,10938,4837,6557,7196,3112,2217,2378,2231,1865,1860,3930,2454,2870,1817,1349,228,1484,521,934,203,245,293,167
2009,21962,9420,3182,11338,5393,6813,7586,3419,2667,2693,2484,2102,2357,3993,2436,2849,1967,1371,260,1553,539,1015,240,297,272,167
2010,22493,9215,3279,12501,5510,6904,7569,3653,2552,2779,2541,2081,2136,4076,2555,3652,1965,1317,322,1495,542,1029,228,258,253,217
2011,23877,9973,3361,12637,6064,6870,8000,3845,2766,3004,2732,2309,2310,4079,2756,3115,1985,1390,383,1444,547,977,235,264,273,171
2012,26809,10030,3522,12714,6077,6921,8299,3949,2562,3228,2752,2456,2426,4546,2826,3234,1870,1442,431,1489,570,1085,234,258,240,231
2013,28843,11238,3617,13210,6618,6927,8519,4364,3812,3567,2814,2472,2288,4412,2875,3467,1841,1433,477,1508,701,1128,272,280,252,212
2014,30005,10952,3848,14457,7002,6912,8682,4571,2997,3432,3021,2441,2355,4565,3144,3609,1933,1610,526,1483,652,1190,278,299,246,272
2015,31355,11625,3939,14338,6982,7060,8780,4768,3368,3751,2985,2474,2324,4385,3331,3573,1874,1580,561,1499,696,1301,265,297,251,245
2016,31995,11948,4110,14766,7436,6514,8481,4923,3167,3995,2946,2394,2364,4792,3058,3738,1762,1624,584,1516,684,1263,309,283,296,261
2017,33839,12367,4025,14926,7319,6602,8513,5222,3222,4267,3036,2627,2553,4281,3143,3613,1683,1571,705,1382,752,1260,333,300,353,289
2018,35915,12693,4176,16094,8008,6883,8813,5463,3472,4450,3051,2580,2453,4284,3348,3879,1631,1675,721,1354,755,1244,322,323,293,284
2019,37501,13577,4462,16378,8171,7203,9066,5810,3366,4489,3115,2744,2455,4361,3620,3950,1617,1794,844,1445,801,1407,338,333,280,324
2020,42093,13990,4604,18065,9153,7750,9175,6450,3375,5077,3331,2848,2869,4401,3809,3939,1595,1835,1010,1820,850,1420,404,347,348,354
2021,42698,15299,4770,17327,9767,7948,9220,7269,3412,5298,3124,2966,2939,4141,3862,4151,1484,1806,939,1902,782,1415,462,342,335,336
2022,40251,13533,4596,17314,9095,8194,8728,6969,3107,5180,3025,2803,2766,4206,3213,3944,1437,1786,1070,1938,745,1430,405,278,339,296
2023,39591,14321,4465,17591,9078,8898,8569,6944,3125,5218,2973,2837,2837,4347,3088,3820,1297,1735,1042,1910,724,1421,435,335,296,353
2024,40144,14076,4518,18083,9000,9020,8374,6767,2844,5245,3010,2774,2621,4113,2946,3749,1420,1735,1086,1713,791,1372,438,347,358,303
