,Documents
1980,16621
1981,17408
1982,18470
1983,19645
1984,21187
1985,22701
1986,24272
1987,27281
1988,30246
1989,31794
1990,34003
1991,34683
1992,36362
1993,38129
1994,39313
1995,40002
1996,42501
1997,42831
1998,43915
1999,44911
2000,47717
2001,48070
2002,66960
2003,64787
2004,67971
2005,76505
2006,83623
2007,84354
2008,92336
2009,98658
2010,101396
2011,105649
2012,110403
2013,117337
2014,120665
2015,123752
2016,125315
2017,128294
2018,134313
2019,139580
2020,151032
2021,154115
2022,146756
2023,147443
2024,146926
