,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,13,6,7,3.0,3.0,1.0,23,6,2.0,2.0,2.0,2.0,2.0,,1.0,6,3,2,,2.0,,,,,,
1981,25,12,7,1.0,,1.0,19,5,1.0,,1.0,,1.0,,,2,3,4,,,,,,3.0,,
1982,22,6,3,1.0,1.0,2.0,12,4,2.0,4.0,1.0,,,1.0,2.0,11,2,2,1.0,2.0,,,,1.0,1.0,1.0
1983,33,9,6,2.0,4.0,1.0,17,7,3.0,2.0,2.0,,,1.0,1.0,11,1,1,,1.0,1.0,,,3.0,,
1984,36,6,3,,,4.0,20,6,1.0,2.0,2.0,1.0,,,1.0,6,3,1,,2.0,1.0,,,2.0,,
1985,26,5,5,2.0,1.0,,24,5,,2.0,,,1.0,1.0,,7,3,3,1.0,,,,,3.0,,
1986,37,8,2,6.0,4.0,2.0,23,7,,,2.0,1.0,,,,7,2,5,,5.0,1.0,,,3.0,,
1987,29,12,9,3.0,1.0,2.0,23,4,1.0,3.0,4.0,,1.0,3.0,2.0,3,4,6,,3.0,1.0,,,4.0,,1.0
1988,60,13,12,4.0,3.0,2.0,42,10,,1.0,2.0,1.0,1.0,1.0,3.0,17,3,13,,3.0,2.0,1.0,,3.0,,
1989,65,12,15,4.0,2.0,2.0,37,6,3.0,6.0,1.0,,1.0,,5.0,14,3,9,,5.0,2.0,,,4.0,,
1990,78,18,16,5.0,8.0,1.0,43,10,2.0,7.0,1.0,,4.0,1.0,9.0,9,4,11,,3.0,2.0,,,2.0,,1.0
1991,80,15,18,4.0,4.0,5.0,36,10,4.0,5.0,1.0,2.0,1.0,7.0,4.0,11,7,17,,1.0,3.0,,,2.0,1.0,
1992,83,17,24,5.0,5.0,1.0,45,15,2.0,4.0,3.0,1.0,2.0,4.0,4.0,15,4,9,,1.0,6.0,,,2.0,,2.0
1993,78,23,21,10.0,8.0,5.0,55,12,4.0,3.0,,2.0,4.0,9.0,3.0,13,3,11,,4.0,3.0,,,1.0,,
1994,97,12,39,4.0,9.0,4.0,46,15,3.0,6.0,2.0,,4.0,11.0,2.0,14,2,16,,5.0,5.0,1.0,,1.0,,1.0
1995,88,21,32,9.0,8.0,2.0,52,14,1.0,4.0,,1.0,4.0,12.0,4.0,13,3,12,,3.0,1.0,2.0,,,,1.0
1996,96,27,18,10.0,8.0,3.0,43,9,1.0,9.0,5.0,3.0,6.0,8.0,3.0,12,4,10,1.0,7.0,4.0,4.0,,2.0,,2.0
1997,109,25,35,9.0,7.0,2.0,44,15,4.0,12.0,2.0,2.0,4.0,9.0,8.0,11,8,23,1.0,3.0,4.0,3.0,,,1.0,
1998,129,27,30,8.0,5.0,5.0,66,21,6.0,3.0,,3.0,9.0,8.0,5.0,10,3,18,,7.0,2.0,1.0,,1.0,,
1999,127,26,33,10.0,4.0,4.0,63,20,6.0,7.0,1.0,6.0,1.0,7.0,6.0,20,5,25,,3.0,1.0,,,2.0,,
2000,138,36,54,12.0,22.0,7.0,55,22,2.0,7.0,2.0,3.0,10.0,8.0,12.0,11,2,20,2.0,3.0,6.0,1.0,,1.0,,1.0
2001,139,33,56,20.0,19.0,4.0,70,24,8.0,16.0,,7.0,8.0,4.0,14.0,10,3,35,,10.0,1.0,,,2.0,,
2002,150,32,91,18.0,14.0,16.0,81,23,7.0,9.0,3.0,5.0,10.0,18.0,11.0,12,5,24,,6.0,3.0,1.0,,7.0,1.0,1.0
2003,141,38,95,19.0,24.0,19.0,59,30,1.0,19.0,10.0,8.0,10.0,28.0,19.0,11,2,29,,6.0,10.0,2.0,,2.0,,
2004,184,46,113,24.0,28.0,25.0,76,22,12.0,18.0,13.0,11.0,10.0,21.0,14.0,14,8,33,3.0,9.0,6.0,2.0,1.0,3.0,3.0,2.0
2005,204,43,103,23.0,29.0,22.0,87,24,2.0,15.0,10.0,8.0,11.0,51.0,13.0,13,6,28,2.0,17.0,6.0,3.0,,6.0,,3.0
2006,215,64,124,30.0,35.0,29.0,90,24,10.0,9.0,12.0,16.0,9.0,32.0,28.0,10,13,35,3.0,13.0,6.0,5.0,2.0,9.0,,1.0
2007,236,62,122,20.0,37.0,21.0,96,30,13.0,15.0,9.0,17.0,13.0,41.0,26.0,12,9,29,3.0,8.0,14.0,3.0,1.0,9.0,,2.0
2008,248,85,130,28.0,31.0,33.0,105,27,11.0,25.0,12.0,11.0,23.0,53.0,19.0,14,12,35,3.0,12.0,10.0,11.0,2.0,13.0,1.0,2.0
2009,223,72,147,44.0,49.0,18.0,99,16,9.0,24.0,16.0,16.0,17.0,38.0,28.0,11,12,34,1.0,11.0,12.0,8.0,1.0,7.0,2.0,4.0
2010,298,74,139,34.0,41.0,26.0,79,23,13.0,21.0,9.0,14.0,17.0,37.0,36.0,10,9,36,1.0,13.0,13.0,1.0,,10.0,,1.0
2011,319,94,159,45.0,46.0,53.0,101,23,21.0,26.0,15.0,19.0,39.0,48.0,28.0,15,12,41,2.0,10.0,21.0,5.0,1.0,10.0,,2.0
2012,375,126,177,62.0,75.0,61.0,95,32,21.0,35.0,13.0,29.0,40.0,53.0,44.0,10,17,43,5.0,13.0,9.0,4.0,2.0,9.0,2.0,4.0
2013,490,108,236,80.0,91.0,77.0,103,34,26.0,43.0,23.0,35.0,41.0,65.0,51.0,15,19,50,4.0,17.0,22.0,10.0,3.0,17.0,,3.0
2014,541,168,278,105.0,127.0,94.0,112,41,43.0,47.0,30.0,30.0,60.0,82.0,56.0,16,22,52,4.0,19.0,28.0,11.0,2.0,16.0,3.0,8.0
2015,611,173,275,110.0,116.0,101.0,126,43,42.0,46.0,33.0,43.0,59.0,96.0,55.0,12,31,46,6.0,19.0,26.0,6.0,2.0,23.0,,9.0
2016,640,218,311,139.0,152.0,125.0,132,55,45.0,59.0,34.0,68.0,69.0,97.0,66.0,8,28,53,8.0,22.0,20.0,8.0,3.0,17.0,3.0,6.0
2017,781,204,393,153.0,155.0,140.0,135,48,43.0,87.0,32.0,55.0,84.0,111.0,76.0,13,36,72,15.0,42.0,36.0,17.0,1.0,27.0,3.0,3.0
2018,857,266,413,181.0,166.0,117.0,131,73,52.0,89.0,45.0,93.0,86.0,144.0,93.0,9,34,72,16.0,30.0,31.0,14.0,3.0,23.0,2.0,10.0
2019,874,293,510,205.0,202.0,141.0,170,69,49.0,101.0,64.0,100.0,114.0,126.0,94.0,18,56,94,16.0,29.0,32.0,17.0,5.0,28.0,4.0,5.0
2020,1110,389,655,292.0,257.0,220.0,199,94,83.0,125.0,106.0,120.0,226.0,172.0,121.0,23,54,88,19.0,58.0,57.0,17.0,10.0,39.0,,13.0
2021,1119,464,692,387.0,330.0,252.0,211,110,102.0,97.0,91.0,154.0,187.0,186.0,147.0,25,60,90,50.0,66.0,64.0,26.0,23.0,48.0,5.0,8.0
2022,1051,473,651,474.0,371.0,262.0,192,75,90.0,116.0,114.0,113.0,235.0,184.0,181.0,21,39,91,52.0,70.0,71.0,30.0,13.0,45.0,9.0,8.0
2023,1090,481,716,473.0,392.0,286.0,206,94,89.0,121.0,108.0,117.0,257.0,178.0,150.0,23,53,87,84.0,68.0,68.0,34.0,16.0,39.0,3.0,11.0
2024,1026,451,628,510.0,386.0,280.0,190,94,87.0,116.0,107.0,116.0,231.0,144.0,150.0,26,52,74,76.0,48.0,77.0,32.0,9.0,47.0,5.0,6.0
